,Matchday,Date,H/A,Club,Club Pos.,Opponent,Opponent.1,Result,Pos.,Goals,Assists,Yellows,2nd Yellows,Reds,Minutes,Unnamed: 15,Unnamed: 16,Unnamed: 17,Player
0,25,2/1/20,H,Man Utd,(5.),Wolves ,Wolves (7.),0:0,AM,,,55',,,90',,,,Bruno Fernandes
1,26,2/17/20,A,Man Utd,(7.),Chelsea ,Chelsea (4.),0:2,AM,,1,,,,90',,,,Bruno Fernandes
2,27,2/23/20,H,Man Utd,(7.),Watford ,Watford (19.),3:0,AM,1,1,,,,90',,,,Bruno Fernandes
3,28,3/1/20,A,Man Utd,(5.),Everton ,Everton (11.),1:1,AM,1,,,,,90',,,,Bruno Fernandes
4,29,3/8/20,H,Man Utd,(5.),Man City ,Man City (2.),2:0,AM,,1,,,,88',,,,Bruno Fernandes
