Matchday,Date,H/A,Club,Club Pos.,Opponent,Opponent.1,Result,Pos.,Goals,Assists,Yellows,2nd Yellows,Reds,Minutes,Unnamed: 15,Unnamed: 16,Unnamed: 17,Player
1,,,,,,,,,,,,,,84',,,,Henrikh Mkhitaryan
2,,,,,,,,,,,,,,,,,,Henrikh Mkhitaryan
3,,,,,,,,,,,,,,4',,,,Henrikh Mkhitaryan
4,,,,,,,,,,,,,,23',,,,Henrikh Mkhitaryan
