Matchday,Date,H/A,Club,Club Pos.,Opponent,Opponent.1,Result,Pos.,Goals,Assists,Yellows,2nd Yellows,Reds,Minutes,Unnamed: 15,Unnamed: 16,Unnamed: 17,Player
6,,,,,,,,,,,,,,33',,,,Dimitri Foulquier
10,,,,,,,,,,,,,,17',,,,Dimitri Foulquier
14,,,,,,,,,,,,,,8',,,,Dimitri Foulquier
