Matchday,Date,H/A,Club,Club Pos.,Opponent,Opponent.1,Result,Pos.,Goals,Assists,Yellows,2nd Yellows,Reds,Minutes,Unnamed: 15,Unnamed: 16,Unnamed: 17,Player
5,,,,,,,,,,,,,,1',,,,Gaetan Bong
6,,,,,,,,,,,,,,9',,,,Gaetan Bong
7,,,,,,,,,,,,,,45',,,,Gaetan Bong
8,,,,,,,,,,,,,,2',,,,Gaetan Bong
