,Matchday,Date,H/A,Club,Club Pos.,Opponent,Opponent.1,Result,Pos.,Goals,Assists,Yellows,2nd Yellows,Reds,Minutes,Unnamed: 15,Unnamed: 16,Unnamed: 17,Player
0,1,8/10/19,H,Spurs,(8.),Aston Villa ,Aston Villa (19.),3:1,Hamstring Injury,Hamstring Injury,Hamstring Injury,Hamstring Injury,Hamstring Injury,Hamstring Injury,Hamstring Injury,Hamstring Injury,,,Ryan Sessegnon
1,2,8/17/19,A,Spurs,(6.),Man City ,Man City (1.),2:2,Hamstring Injury,Hamstring Injury,Hamstring Injury,Hamstring Injury,Hamstring Injury,Hamstring Injury,Hamstring Injury,Hamstring Injury,,,Ryan Sessegnon
2,3,8/25/19,H,Spurs,(6.),Newcastle ,Newcastle (18.),0:1,Hamstring Injury,Hamstring Injury,Hamstring Injury,Hamstring Injury,Hamstring Injury,Hamstring Injury,Hamstring Injury,Hamstring Injury,,,Ryan Sessegnon
3,4,9/1/19,A,Spurs,(7.),Arsenal ,Arsenal (3.),2:2,Hamstring Injury,Hamstring Injury,Hamstring Injury,Hamstring Injury,Hamstring Injury,Hamstring Injury,Hamstring Injury,Hamstring Injury,,,Ryan Sessegnon
4,5,9/14/19,H,Spurs,(9.),Crystal Palace ,Crystal Palace (4.),4:0,Hamstring Injury,Hamstring Injury,Hamstring Injury,Hamstring Injury,Hamstring Injury,Hamstring Injury,Hamstring Injury,Hamstring Injury,,,Ryan Sessegnon
5,6,9/21/19,A,Spurs,(3.),Leicester ,Leicester (5.),2:1,Hamstring Injury,Hamstring Injury,Hamstring Injury,Hamstring Injury,Hamstring Injury,Hamstring Injury,Hamstring Injury,Hamstring Injury,,,Ryan Sessegnon
6,7,9/28/19,H,Spurs,(7.),Southampton ,Southampton (13.),2:1,Hamstring Injury,Hamstring Injury,Hamstring Injury,Hamstring Injury,Hamstring Injury,Hamstring Injury,Hamstring Injury,Hamstring Injury,,,Ryan Sessegnon
7,8,10/5/19,A,Spurs,(6.),Brighton ,Brighton (16.),3:0,Hamstring Injury,Hamstring Injury,Hamstring Injury,Hamstring Injury,Hamstring Injury,Hamstring Injury,Hamstring Injury,Hamstring Injury,,,Ryan Sessegnon
8,9,10/19/19,H,Spurs,(9.),Watford ,Watford (20.),1:1,Hamstring Injury,Hamstring Injury,Hamstring Injury,Hamstring Injury,Hamstring Injury,Hamstring Injury,Hamstring Injury,Hamstring Injury,,,Ryan Sessegnon
9,10,10/27/19,A,Spurs,(7.),Liverpool ,Liverpool (1.),2:1,Hamstring Injury,Hamstring Injury,Hamstring Injury,Hamstring Injury,Hamstring Injury,Hamstring Injury,Hamstring Injury,Hamstring Injury,,,Ryan Sessegnon
10,11,11/3/19,A,Spurs,(11.),Everton ,Everton (16.),1:1,,,,,,,1',,,,Ryan Sessegnon
11,12,11/9/19,H,Spurs,(11.),Sheffield Utd. ,Sheffield Utd. (6.),1:1,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Ryan Sessegnon
12,13,11/23/19,A,Spurs,(14.),West Ham ,West Ham (16.),2:3,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Ryan Sessegnon
13,14,11/30/19,H,Spurs,(10.),Bournemouth ,Bournemouth (11.),3:2,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Ryan Sessegnon
14,15,12/4/19,A,Spurs,(5.),Man Utd ,Man Utd (9.),2:1,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Ryan Sessegnon
15,16,12/7/19,H,Spurs,(8.),Burnley ,Burnley (12.),5:0,LM,,,,,,15',,,,Ryan Sessegnon
16,17,12/15/19,A,Spurs,(7.),Wolves ,Wolves (6.),1:2,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Ryan Sessegnon
17,18,12/22/19,H,Spurs,(5.),Chelsea ,Chelsea (4.),0:2,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Ryan Sessegnon
