Matchday,Date,H/A,Club,Club Pos.,Opponent,Opponent.1,Result,Pos.,Goals,Assists,Yellows,2nd Yellows,Reds,Minutes,Unnamed: 15,Unnamed: 16,Unnamed: 17,Player
2,,,,,,,,,,,,,,74',,,,Ki Sung-Yueng
6,,,,,,,,,,,,,,17',,,,Ki Sung-Yueng
7,,,,,,,,,,,,,,45',,,,Ki Sung-Yueng
