Matchday,Date,H/A,Club,Club Pos.,Opponent,Opponent.1,Result,Pos.,Goals,Assists,Yellows,2nd Yellows,Reds,Minutes,Unnamed: 15,Unnamed: 16,Unnamed: 17,Player
8,,,,,,,,,,,,,,30',,,,Marcos Rojo
9,,,,,,,,,,,,,,90',,,,Marcos Rojo
12,,,,,,,,,,,,,,1',,,,Marcos Rojo
