Matchday,Date,H/A,Club,Club Pos.,Opponent,Opponent.1,Result,Pos.,Goals,Assists,Yellows,2nd Yellows,Reds,Minutes,Unnamed: 15,Unnamed: 16,Unnamed: 17,Player
1,,,,,,,,,,,,,,16',,,,Jonathan Kodjia
11,,,,,,,,,,,,,,4',,,,Jonathan Kodjia
17,,,,,,,,,,,,,,21',,,,Jonathan Kodjia
18,,,,,,,,,,,,,,34',,,,Jonathan Kodjia
20,,,,,,,,,,,,,,17',,,,Jonathan Kodjia
21,,,,,,,,,,,,,,19',,,,Jonathan Kodjia
