Matchday,Date,H/A,Club,Club Pos.,Opponent,Opponent.1,Result,Pos.,Goals,Assists,Yellows,2nd Yellows,Reds,Minutes,Unnamed: 15,Unnamed: 16,Unnamed: 17,Player
3,,,,,,,,,,,,,,56',,,,Ashley Young
4,,,,,,,,,,,,,,90',,,,Ashley Young
5,,,,,,,,,,,,,,90',,,,Ashley Young
6,,,,,,,,,,,,,,90',,,,Ashley Young
7,,,,,,,,,,,,,,90',,,,Ashley Young
8,,,,,,,,,,,,,,86',,,,Ashley Young
9,,,,,,,,,,,,,,90',,,,Ashley Young
10,,,,,,,,,,,,,,90',,,,Ashley Young
11,,,,,,,,,,,,,,90',,,,Ashley Young
15,,,,,,,,,,,,,,90',,,,Ashley Young
16,,,,,,,,,,,,,,1',,,,Ashley Young
20,,,,,,,,,,,,,,90',,,,Ashley Young
