,Matchday,Date,H/A,Club,Club Pos.,Opponent,Opponent.1,Result,Pos.,Goals,Assists,Yellows,2nd Yellows,Reds,Minutes,Unnamed: 15,Unnamed: 16,Unnamed: 17,Player
0,1,8/11/19,A,Arsenal,(9.),Newcastle ,Newcastle (13.),0:1,CB,,,,,,90',,,,Calum Chambers
1,2,8/17/19,H,Arsenal,(7.),Burnley ,Burnley (4.),2:1,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Calum Chambers
2,3,8/24/19,A,Arsenal,(2.),Liverpool ,Liverpool (1.),3:1,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Calum Chambers
3,4,9/1/19,H,Arsenal,(3.),Spurs ,Spurs (7.),2:2,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Calum Chambers
4,5,9/15/19,A,Arsenal,(5.),Watford ,Watford (20.),2:2,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Calum Chambers
5,6,9/22/19,H,Arsenal,(7.),Aston Villa ,Aston Villa (17.),3:2,RB,1,,,,,45',,,,Calum Chambers
6,7,9/30/19,A,Arsenal,(4.),Man Utd ,Man Utd (8.),1:1,RB,,,10',,,90',,,,Calum Chambers
7,8,10/6/19,H,Arsenal,(4.),Bournemouth ,Bournemouth (8.),1:0,RB,,,,,,90',,,,Calum Chambers
8,9,10/21/19,A,Arsenal,(3.),Sheffield Utd. ,Sheffield Utd. (13.),1:0,RB,,,90',,,90',,,,Calum Chambers
9,10,10/27/19,H,Arsenal,(5.),Crystal Palace ,Crystal Palace (6.),2:2,RB,,,51',,,90',,,,Calum Chambers
10,11,11/2/19,H,Arsenal,(5.),Wolves ,Wolves (12.),1:1,RB,,,,,,90',,,,Calum Chambers
11,12,11/9/19,A,Arsenal,(5.),Leicester ,Leicester (3.),2:0,CB,,,,,,90',,,,Calum Chambers
