Matchday,Date,H/A,Club,Club Pos.,Opponent,Opponent.1,Result,Pos.,Goals,Assists,Yellows,2nd Yellows,Reds,Minutes,Unnamed: 15,Unnamed: 16,Unnamed: 17,Player
2,,,,,,,,,,,,,,90',,,,Maya Yoshida
4,,,,,,,,,,,,,,13',,,,Maya Yoshida
5,,,,,,,,,,,,,,90',,,,Maya Yoshida
7,,,,,,,,,,,,,,90',,,,Maya Yoshida
8,,,,,,,,,,,,,,90',,,,Maya Yoshida
9,,,,,,,,,,,,,,90',,,,Maya Yoshida
10,,,,,,,,,,,,,,90',,,,Maya Yoshida
15,,,,,,,,,,,,,,5',,,,Maya Yoshida
