Matchday,Date,H/A,Club,Club Pos.,Opponent,Opponent.1,Result,Pos.,Goals,Assists,Yellows,2nd Yellows,Reds,Minutes,Unnamed: 15,Unnamed: 16,Unnamed: 17,Player
7,,,,,,,,,,,,,,56',,,,Roberto Jimenez
8,,,,,,,,,,,,,,90',,,,Roberto Jimenez
9,,,,,,,,,,,,,,90',,,,Roberto Jimenez
10,,,,,,,,,,,,,,90',,,,Roberto Jimenez
11,,,,,,,,,,,,,,90',,,,Roberto Jimenez
12,,,,,,,,,,,,,,90',,,,Roberto Jimenez
13,,,,,,,,,,,,,,90',,,,Roberto Jimenez
14,,,,,,,,,,,,,,,,,,Roberto Jimenez
15,,,,,,,,,,,,,,,,,,Roberto Jimenez
16,,,,,,,,,,,,,,,,,,Roberto Jimenez
17,,,,,,,,,,,,,,,,,,Roberto Jimenez
18,,,,,,,,,,,,,,,,,,Roberto Jimenez
19,,,,,,,,,,,,,,90',,,,Roberto Jimenez
