,Matchday,Date,H/A,Club,Club Pos.,Opponent,Opponent.1,Result,Pos.,Goals,Assists,Yellows,2nd Yellows,Reds,Minutes,Unnamed: 15,Unnamed: 16,Unnamed: 17,Player
0,24,1/21/20,H,Aston Villa,(18.),Watford ,Watford (17.),2:1,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Mbwana Samatta
1,25,2/1/20,A,Aston Villa,(16.),Bournemouth ,Bournemouth (18.),2:1,CF,1,,,,,90',,,,Mbwana Samatta
2,26,2/16/20,H,Aston Villa,(17.),Spurs ,Spurs (5.),2:3,CF,,,,,,83',,,,Mbwana Samatta
3,27,2/22/20,A,Aston Villa,(17.),Southampton ,Southampton (12.),2:0,CF,,,,,,90',,,,Mbwana Samatta
4,29,3/9/20,A,Aston Villa,(19.),Leicester ,Leicester (3.),4:0,CF,,,,,,90',,,,Mbwana Samatta
5,28,6/17/20,H,Aston Villa,(17.),Sheffield Utd. ,Sheffield Utd. (7.),0:0,CF,,,,,,21',,,,Mbwana Samatta
