Matchday,Date,H/A,Club,Club Pos.,Opponent,Opponent.1,Result,Pos.,Goals,Assists,Yellows,2nd Yellows,Reds,Minutes,Unnamed: 15,Unnamed: 16,Unnamed: 17,Player
17,,,,,,,,,,,,,,31',,,,Emile Smith Rowe
18,,,,,,,,,,,,,,66',,,,Emile Smith Rowe
