,Matchday,Date,H/A,Club,Club Pos.,Opponent,Opponent.1,Result,Pos.,Goals,Assists,Yellows,2nd Yellows,Reds,Minutes,Unnamed: 15,Unnamed: 16,Unnamed: 17,Player
0,1,8/10/19,A,Southampton,(14.),Burnley ,Burnley (10.),3:0,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Mohamed Elyounoussi
1,2,8/17/19,H,Southampton,(18.),Liverpool ,Liverpool (3.),1:2,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Mohamed Elyounoussi
2,3,8/24/19,A,Southampton,(19.),Brighton ,Brighton (5.),0:2,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Mohamed Elyounoussi
