Matchday,Date,H/A,Club,Club Pos.,Opponent,Opponent.1,Result,Pos.,Goals,Assists,Yellows,2nd Yellows,Reds,Minutes,Unnamed: 15,Unnamed: 16,Unnamed: 17,Player
3,,,,,,,,,,,,,,9',,,,Dennis Srbeny
5,,,,,,,,,,,,,,1',,,,Dennis Srbeny
8,,,,,,,,,,,,,,10',,,,Dennis Srbeny
9,,,,,,,,,,,,,,1',,,,Dennis Srbeny
11,,,,,,,,,,,,,,6',,,,Dennis Srbeny
13,,,,,,,,,,,,,,1',,,,Dennis Srbeny
16,,,,,,,,,,,,,,9',,,,Dennis Srbeny
18,,,,,,,,,,,,,,4',,,,Dennis Srbeny
