player,club,pos,double_barrel,picture,19-20 Power Rk,20-21 Power Rk,21-22 Power Rk
Gary Cahill,CRY,D,no,yes,344,381,
Gedson Fernandes,TOT,M,no,yes,479,,
George Baldock,SHU,D,no,yes,182,401,
George Hirst,LEI,F,no,yes,472,,
Georges-Kevin Nkoudou,TOT,M,yes,yes,499,,
Georginio Wijnaldum,LIV,M,no,yes,129,168,
Gerard Deulofeu,WAT,"M,F",no,yes,103,,
Giovani Lo Celso,TOT,M,no,yes,142,203,375
Glenn Murray,BHA,F,no,yes,355,,
Grady Diangana,WBA,M,no,yes,,292,
Granit Xhaka,ARS,M,no,yes,312,276,340
Grant Hanley,NOR,D,no,yes,403,,298
Gylfi Sigurdsson,EVE,M,no,yes,104,76,
Hakim Ziyech,CHE,"M,F",no,yes,,100,63
Hal Robson-Kanu,WBA,F,yes,yes,,447,
Hamza Choudhury,LEI,M,no,yes,265,336,328
Hannibal Mejbri,MUN,M,no,yes,,482,485
Harrison Ashby,WHU,D,no,yes,,,493
Harrison Reed,FUL,M,no,yes,,153,
Harry Kane,TOT,F,no,yes,29,2,29
Harry Maguire,MUN,D,no,yes,116,77,190
Harry Wilson,BOU,M,no,yes,169,,
Harry Winks,TOT,M,no,yes,202,419,247
Harvey Barnes,LEI,M,no,yes,31,23,57
Harvey Elliott,LIV,M,no,yes,483,,323
Hassane Kamara,WAT,D,no,yes,,,91
Hector Bellerin,ARS,D,no,yes,212,110,
Helder Costa,LEE,M,no,yes,,262,527
Henri Lansbury,AVL,M,no,yes,441,,
Henrikh Mkhitaryan,ARS,M,no,yes,461,,
Hugo Lloris,TOT,G,no,yes,26,191,134
Hwang Hee-Chan,WOL,F,yes,yes,,,223
Ian Poveda-Ocampo,LEE,F,yes,yes,,493,
Ibrahim Amadou,NOR,"D,M",no,yes,415,,
Ibrahima Diallo,SOU,M,no,yes,,255,213
Ibrahima Konate,LIV,D,no,yes,,,136
Ignacio Pussetto,WAT,M,no,yes,482,,
Iliman Ndiaye,SHU,M,no,yes,,486,
Ilkay Gundogan,MCI,M,no,yes,66,7,24
Illan Meslier,LEE,G,no,yes,,143,301
Imran Louza,WAT,M,no,yes,,,252
Indiana Vassilev,AVL,F,no,yes,512,,
Isaac Hayden,NEW,M,no,yes,266,405,425
Isaac Price,EVE,M,no,yes,,,536
Isaac Success Ajayi,WAT,F,no,yes,491,,
Islam Slimani,LEI,F,no,yes,,490,
Ismaila Sarr,WAT,"M,F",no,yes,94,,139
Issa Diop,WHU,D,no,yes,362,391,388
Ivan Cavaleiro,FUL,"M,F",no,yes,,214,
Ivan Toney,BRF,F,no,yes,,,129
Jack Butland,CRY,G,no,yes,,468,430
Jack Cork,BUR,M,no,yes,391,410,421
Jack Grealish,MCI,"M,F",no,yes,67,4,31
Jack Harrison,LEE,M,no,yes,,48,172
Jack OConnell,SHU,D,yes,yes,300,450,
Jack Robinson,SHU,D,no,yes,424,418,
Jack Rodwell,SHU,M,no,yes,508,,
Jack Simpson,BOU,D,no,yes,464,,
Jack Stacey,BOU,D,no,yes,397,,
Jack Stephens,SOU,D,no,yes,281,229,385
Jack Wilshere,WHU,M,no,yes,448,,
Jacob Murphy,NEW,"D,M",no,yes,,186,203
Jacob Ramsey,AVL,M,no,yes,,320,162
Jacob Sorensen,NOR,D,no,yes,,,380
Jaden Philogene-Bidace,AVL,M,yes,yes,,484,534
Jadon Sancho,MUN,"M,F",no,yes,,,46
Jairo Riedewald,CRY,M,no,yes,370,265,468
Jake Livermore,WBA,M,no,yes,,411,
Jake Vokins,SOU,D,no,yes,467,469,
Jakub Moder,BHA,M,no,yes,,287,268
Jamaal Lascelles,NEW,D,no,yes,394,406,373
Jamal Lewis,NEW,D,no,yes,367,397,443
James Garner,MUN,M,no,yes,511,,
James Justin,LEI,D,no,yes,130,65,285
James Maddison,LEI,M,no,yes,33,27,18
James McArthur,CRY,M,yes,yes,229,218,186
James McAtee,MCI,M,yes,yes,,,507
James McCarthy,CRY,M,yes,yes,260,417,
James Milner,LIV,M,no,yes,157,158,167
James Rodriguez,EVE,"M,F",no,yes,,55,
James Tarkowski,BUR,D,no,yes,99,226,191
James Tomkins,CRY,D,no,yes,282,427,434
James Ward-Prowse,SOU,M,yes,yes,95,84,52
Jamie Shackleton,LEE,M,no,yes,,393,306
Jamie Vardy,LEI,F,no,yes,47,41,43
Jan Bednarek,SOU,D,no,yes,269,138,146
Jan Vertonghen,TOT,D,no,yes,224,,
Jannik Vestergaard,LEI,D,no,yes,286,157,320
Japhet Tanganga,TOT,D,no,yes,317,312,286
Jarrad Branthwaite,EVE,D,no,yes,440,,447
Jarrod Bowen,WHU,"M,F",no,yes,78,154,17
Jason Steele,BHA,G,no,yes,,,474
Javier Manquillo,NEW,D,no,yes,231,377,293
Jay Rodriguez,BUR,F,no,yes,69,376,290
Jayden Bogle,SHU,D,no,yes,,244,
Jayson Molumby,BHA,M,no,yes,,500,
Jean-Philippe Gbamin,EVE,M,yes,yes,462,497,466
Jean-Philippe Mateta,CRY,F,yes,yes,,443,270
Jed Steer,AVL,G,no,yes,465,,484
Jeff Hendrick,NEW,M,no,yes,306,368,495
Jefferson Lerma,BOU,M,no,yes,278,,
Jeffrey Schlupp,CRY,M,no,yes,226,197,106
Jeremy Ngakia,WAT,D,no,yes,430,,300
Jeremy Sarmiento,BHA,F,no,yes,,,469
Jesse Lingard,MUN,M,no,yes,321,83,457
Jesurun Rak-Sakyi,CRY,M,yes,yes,,,472
Jesus Vallejo,WOL,"D,M",no,yes,468,,
Jetro Willems,NEW,D,no,yes,153,,
Jimmy Dunne,BUR,D,no,yes,,330,
Joachim Andersen,CRY,D,no,yes,,210,257
Joao Cancelo,MCI,D,no,yes,55,5,4
Joao Moutinho,WOL,M,no,yes,54,160,205
Joao Pedro,WAT,F,no,yes,475,,178
Joao Virginia,EVE,G,no,yes,,487,
Joe Bryan,FUL,D,no,yes,,299,
Joe Gelhardt,LEE,F,no,yes,,,309
Joe Rodon,TOT,D,no,yes,,318,518
Joel Matip,LIV,D,no,yes,132,190,11
Joel Mumbongo,BUR,F,no,yes,,518,
Joel Veltman,BHA,D,no,yes,,118,180
Joel Ward,CRY,D,no,yes,267,327,288
Joelinton,NEW,"M,F",no,yes,359,223,166
Johann Gudmundsson,BUR,M,no,yes,277,249,345
John Egan,SHU,D,no,yes,215,402,
John Fleck,SHU,M,no,yes,121,367,
John Lundstram,SHU,M,no,yes,252,404,
John McGinn,AVL,M,yes,yes,90,171,64
John Ruddy,WOL,G,no,yes,,465,470
John Stones,MCI,D,no,yes,190,18,74
Jonas Lossl,BRF,G,no,yes,,,464
Jonathan Kodjia,AVL,F,no,yes,506,,
Jonathan Rowe,NOR,F,no,yes,,,513
Jonjo Shelvey,NEW,M,no,yes,123,290,374
Jonjoe Kenny,EVE,D,no,yes,,458,299
Jonny,WOL,D,no,yes,114,372,197
Jonny Evans,LEI,D,no,yes,127,124,201
Jordan Ayew,CRY,F,no,yes,206,261,159
Jordan Henderson,LIV,M,no,yes,23,106,62
Jordan Ibe,BOU,M,no,yes,484,,
Jordan Pickford,EVE,G,no,yes,209,240,265
Jordan Thomas,NOR,D,no,yes,494,,
Jorginho,CHE,M,no,yes,51,12,34
Jose Holebas,WAT,M,no,yes,383,,
Jose Izquierdo,BHA,F,no,yes,,476,
Jose Sa,WOL,G,no,yes,,,206
Joseph Gomez,LIV,D,no,yes,49,335,262
Joseph Willock,NEW,M,no,yes,258,97,112
Josh Benson,BUR,M,no,yes,,449,
Josh Brownhill,BUR,M,no,yes,413,269,176
Josh Maja,FUL,F,no,yes,,300,
Josh Martin,NOR,M,no,yes,488,,
Josh Onomah,FUL,M,no,yes,,386,
Joshua King,WAT,F,no,yes,154,491,199
Joshua Sargent,NOR,F,no,yes,,,357
Josip Drmic,NOR,F,no,yes,379,,
Jota,AVL,M,no,yes,372,,
Juan Foyth,TOT,D,no,yes,382,,
Juan Mata,MUN,M,no,yes,244,245,367
Junior Firpo,LEE,D,no,yes,,,422
Junior Stanislas,BOU,M,no,yes,329,,
Juraj Kucka,WAT,M,no,yes,,,267
Jurgen Locadia,BHA,F,no,yes,469,,537
Kai Havertz,CHE,"M,F",no,yes,,78,65
Kaide Gordon,LIV,M,no,yes,,,492
Kalvin Phillips,LEE,M,no,yes,,187,275
Kamil Grosicki,WBA,M,no,yes,,442,
Karl Darlow,NEW,G,no,yes,,247,403
Karlan Grant,WBA,F,no,yes,,414,
Kasey McAteer,LEI,M,yes,yes,,,497
Kasper Schmeichel,LEI,G,no,yes,88,253,294
Kayky,MCI,F,no,yes,,,524
Kayne Ramsay,SOU,D,no,yes,,472,
Kean Bryan,SHU,D,no,yes,,364,
Keinan Davis,AVL,F,no,yes,348,382,535
Kelechi Iheanacho,LEI,F,no,yes,143,60,242
Kelland Watts,NEW,D,no,yes,507,,
Ken Sema,WAT,M,no,yes,,,379
Kenedy,CHE,M,no,yes,,,362
Kenny McLean,NOR,M,yes,yes,338,,418
Kenny Tete,FUL,D,no,yes,,142,
Kepa Arrizabalaga,CHE,G,no,yes,228,334,399
Kevin Danso,SOU,D,no,yes,386,,
Kevin De Bruyne,MCI,M,no,yes,1,1,3
Kevin Long,BUR,D,no,yes,371,423,448
Ki Sung-Yueng,NEW,M,yes,yes,452,,
Ki-Jana Hoever,WOL,D,yes,yes,,328,397
Kieran Dowell,NOR,M,no,yes,,,312
Kieran Gibbs,WBA,D,no,yes,,420,
Kieran Tierney,ARS,D,no,yes,160,145,59
Kieran Trippier,NEW,D,no,yes,,,279
Kiernan Dewsbury-Hall,LEI,M,yes,yes,,,192
Kieron Freeman,SHU,D,no,yes,496,,
Kiko Casilla,LEE,G,no,yes,,369,
Konstantinos Tsimikas,LIV,D,no,yes,,510,102
Kortney Hause,AVL,D,no,yes,395,239,261
Kouassi Ryan Sessegnon,TOT,M,no,yes,353,,229
Kristoffer Ajer,BRF,D,no,yes,,,158
Kristoffer Klaesson,LEE,G,no,yes,,,489
Kurt Zouma,WHU,D,no,yes,83,29,264
Kyle Bartley,WBA,D,no,yes,,258,
Kyle Edwards,WBA,M,no,yes,,461,
Kyle Walker,MCI,D,no,yes,38,56,53
Kyle Walker-Peters,SOU,D,yes,yes,203,103,142
Leander Dendoncker,WOL,M,no,yes,291,283,282
Leandro Trossard,BHA,"M,F",no,yes,97,73,117
Lee Peltier,WBA,D,no,yes,,439,
Leif Davis,LEE,D,no,yes,,517,
Leighton Baines,EVE,D,no,yes,431,,
Leo Fuhr Hjelde,LEE,D,no,yes,,,501
Leon Bailey,AVL,F,no,yes,,,319
Leon Clarke,SHU,F,no,yes,509,,
Leroy Sane,MCI,F,no,yes,495,,
Lewis Bate,LEE,M,no,yes,,,475
Lewis Brunt,LEI,M,no,yes,,,519
Lewis Cook,BOU,M,no,yes,349,,
Lewis Dobbin,EVE,F,no,yes,,,533
Lewis Dunk,BHA,D,no,yes,253,128,271
Lewis Richardson,BUR,F,no,yes,,501,
Liam Cooper,LEE,D,no,yes,,114,128
Liam Delap,MCI,F,no,yes,,522,528
Liam McCarron,LEE,M,yes,yes,,,516
Lloyd Kelly,BOU,D,no,yes,418,,
Lucas Digne,AVL,D,no,yes,36,69,123
Lucas Moura,TOT,"M,F",no,yes,68,70,40
Lucas Torreira,ARS,M,no,yes,235,,
Luis Diaz,LIV,F,no,yes,,,83
Luka Milivojevic,CRY,F,no,yes,236,315,342
Lukas Rupp,NOR,M,no,yes,414,,338
Lukasz Fabianski,WHU,G,no,yes,194,230,281
Luke Ayling,LEE,D,no,yes,,152,250
Luke Cundle,WOL,M,no,yes,,,460
Luke Freeman,SHU,M,no,yes,436,,
Luke Shaw,MUN,D,no,yes,110,42,189
Luke Thomas,LEI,D,no,yes,249,236,149
Lyanco,SOU,D,no,yes,,,344
Lys Mousset,SHU,F,no,yes,167,452,
Mads Bech Sorensen,BRF,D,no,yes,,,429
Mads Bidstrup,BRF,M,no,yes,,,515
Mads Rasmussen,BRF,D,no,yes,,,303
Malang Sarr,CHE,D,no,yes,,,216
Mamadou Sakho,CRY,D,no,yes,407,437,
Manuel Lanzini,WHU,M,no,yes,225,298,137
Marc Albrighton,LEI,M,no,yes,150,58,226
Marc Cucurella,BHA,D,no,yes,,,58
Marcal,WOL,D,no,yes,,359,124
Marco Stiepermann,NOR,M,no,yes,404,,
Marcos Alonso,CHE,D,no,yes,19,93,12
Marcos Rojo,MUN,D,no,yes,470,,
Marcus Forss,BRF,F,no,yes,,,471
Marcus Rashford,MUN,F,no,yes,14,15,225
Marek Rodak,FUL,G,no,yes,,453,
Mario Lemina,FUL,M,no,yes,,176,
Mario Vrancic,NOR,M,no,yes,421,,
Mark Noble,WHU,M,no,yes,256,309,452
Mark Travers,BOU,G,no,yes,378,,
Martin Dubravka,NEW,G,no,yes,76,285,392
Martin Kelly,CRY,D,no,yes,230,485,
Martin Montoya,BHA,D,no,yes,293,,
Martin Odegaard,ARS,M,no,yes,,363,76
Marvelous Nakamba,AVL,M,no,yes,309,348,322
Mason Greenwood,MUN,F,no,yes,65,108,60
Mason Holgate,EVE,D,no,yes,204,205,396
Mason Mount,CHE,"M,F",no,yes,63,19,10
