,player,position,position_id,date,team,opp,score,fpts,min,goals
0,Illan Meslier,G,1,Apr 30,LEE,MCI,L 0-4,4.5,90,0
1,Illan Meslier,G,1,Apr 25,LEE,@CRY,T 0-0,23.5,90,1
2,Illan Meslier,G,1,Apr 9,LEE,@WAT,W 3-0,15.5,90,1
3,Illan Meslier,G,1,Apr 2,LEE,SOU,T 1-1,10.5,90,0
4,Illan Meslier,G,1,Mar 18,LEE,@WOL,W 3-2,5.5,54,0
5,Illan Meslier,G,1,Mar 13,LEE,NOR,W 2-1,8.0,90,0
6,Illan Meslier,G,1,Mar 10,LEE,AVL,L 0-3,11.5,90,0
7,Illan Meslier,G,1,Mar 5,LEE,@LEI,L 0-1,7.5,90,0
8,Illan Meslier,G,1,Feb 26,LEE,TOT,L 0-4,12.5,90,0
9,Illan Meslier,G,1,Feb 23,LEE,@LIV,L 0-6,12.5,90,0
10,Illan Meslier,G,1,Feb 20,LEE,MUN,L 2-4,9.0,90,0
11,Illan Meslier,G,1,Feb 12,LEE,@EVE,L 0-3,12.5,90,0
12,Illan Meslier,G,1,Feb 9,LEE,@AVL,T 3-3,6.0,90,0
13,Illan Meslier,G,1,Jan 22,LEE,NEW,L 0-1,6.5,90,0
14,Illan Meslier,G,1,Jan 16,LEE,@WHU,W 3-2,7.0,90,0
15,Illan Meslier,G,1,Jan 2,LEE,BUR,W 3-1,8.5,90,0
16,Illan Meslier,G,1,Dec 18,LEE,ARS,L 1-4,14.5,90,0
17,Illan Meslier,G,1,Dec 14,LEE,@MCI,L 0-7,12.5,90,0
18,Illan Meslier,G,1,Dec 11,LEE,@CHE,L 2-3,7.5,90,0
19,Illan Meslier,G,1,Dec 5,LEE,BRF,T 2-2,4.5,90,0
20,Illan Meslier,G,1,Nov 30,LEE,CRY,W 1-0,14.0,90,1
21,Illan Meslier,G,1,Nov 27,LEE,@BHA,T 0-0,19.0,90,1
22,Illan Meslier,G,1,Nov 21,LEE,@TOT,L 1-2,8.0,90,0
23,Illan Meslier,G,1,Nov 7,LEE,LEI,T 1-1,7.5,90,0
24,Illan Meslier,G,1,Oct 31,LEE,@NOR,W 2-1,6.0,90,0
25,Illan Meslier,G,1,Oct 23,LEE,WOL,T 1-1,8.5,90,0
26,Illan Meslier,G,1,Oct 16,LEE,@SOU,L 0-1,7.5,90,0
27,Illan Meslier,G,1,Oct 2,LEE,WAT,W 1-0,13.5,90,1
28,Illan Meslier,G,1,Sep 25,LEE,WHU,L 1-2,14.5,90,0
29,Illan Meslier,G,1,Sep 17,LEE,@NEW,T 1-1,12.0,90,0
30,Illan Meslier,G,1,Sep 12,LEE,LIV,L 0-3,9.5,90,0
31,Illan Meslier,G,1,Aug 29,LEE,@BUR,T 1-1,7.0,90,0
32,Illan Meslier,G,1,Aug 21,LEE,EVE,T 2-2,11.5,90,0
33,Illan Meslier,G,1,Aug 14,LEE,@MUN,L 1-5,8.5,90,0
0,Kristoffer Klaesson,G,1,Mar 18,LEE,@WOL,W 3-2,8.5,34,0
0,Luke Ayling,D,2,Apr 30,LEE,MCI,L 0-4,5.8,90,0
1,Luke Ayling,D,2,Apr 25,LEE,@CRY,T 0-0,23.2,90,0
2,Luke Ayling,D,2,Apr 9,LEE,@WAT,W 3-0,20.8,90,0
3,Luke Ayling,D,2,Apr 2,LEE,SOU,T 1-1,10.3,88,0
4,Luke Ayling,D,2,Mar 18,LEE,@WOL,W 3-2,26.5,90,1
5,Luke Ayling,D,2,Mar 13,LEE,NOR,W 2-1,12.35,90,0
6,Luke Ayling,D,2,Mar 10,LEE,AVL,L 0-3,10.7,90,0
7,Luke Ayling,D,2,Mar 5,LEE,@LEI,L 0-1,9.4,90,0
8,Luke Ayling,D,2,Feb 26,LEE,TOT,L 0-4,3.75,90,0
9,Luke Ayling,D,2,Feb 23,LEE,@LIV,L 0-6,6.8,90,0
10,Luke Ayling,D,2,Feb 20,LEE,MUN,L 2-4,5.05,90,0
11,Luke Ayling,D,2,Feb 12,LEE,@EVE,L 0-3,8.6,90,0
12,Luke Ayling,D,2,Feb 9,LEE,@AVL,T 3-3,8.1,90,0
13,Luke Ayling,D,2,Jan 22,LEE,NEW,L 0-1,9.8,90,0
14,Luke Ayling,D,2,Jan 16,LEE,@WHU,W 3-2,15.85,90,0
15,Luke Ayling,D,2,Jan 2,LEE,BUR,W 3-1,12.55,90,0
16,Luke Ayling,D,2,Dec 18,LEE,ARS,L 1-4,8.6,90,0
