GW,HOME,AWAY,HOME538,AWAY538,FIXTURE_CODE
1,FUL,ARS,28,46,FULARS
1,CRY,SOU,37,35,CRYSOU
1,LIV,LEE,84,4,LIVLEE
1,WHU,NEW,49,26,WHUNEW
1,WBA,LEI,24,50,WBALEI
1,TOT,EVE,50,24,TOTEVE
1,SHU,WOL,32,38,SHUWOL
1,BHA,CHE,19,58,BHACHE
2,EVE,WBA,57,18,EVEWBA
2,LEE,FUL,45,28,LEEFUL
2,MUN,CRY,71,10,MUNCRY
2,ARS,WHU,57,20,ARSWHU
2,SOU,TOT,35,39,SOUTOT
2,NEW,BHA,39,32,NEWBHA
2,CHE,LIV,34,43,CHELIV
2,LEI,BUR,58,18,LEIBUR
2,AVL,SHU,41,31,AVLSHU
2,WOL,MCI,15,63,WOLMCI
3,BHA,MUN,21,54,BHAMUN
3,CRY,EVE,33,39,CRYEVE
3,WBA,CHE,15,64,WBACHE
3,BUR,SOU,40,33,BURSOU
3,SHU,LEE,45,28,SHULEE
3,TOT,NEW,60,17,TOTNEW
3,MCI,LEI,74,10,MCILEI
3,WHU,WOL,33,39,WHUWOL
3,FUL,AVL,37,35,FULAVL
3,LIV,ARS,66,15,LIVARS
4,CHE,CRY,67,13,CHECRY
4,EVE,BHA,51,24,EVEBHA
4,LEE,MCI,9,77,LEEMCI
4,NEW,BUR,38,34,NEWBUR
4,SOU,WBA,56,20,SOUWBA
4,LEI,WHU,59,19,LEIWHU
4,ARS,SHU,58,18,ARSSHU
4,WOL,FUL,56,18,WOLFUL
4,MUN,TOT,52,25,MUNTOT
4,AVL,LIV,12,70,AVLLIV
5,EVE,LIV,25,54,EVELIV
5,CHE,SOU,64,16,CHESOU
5,MCI,ARS,69,13,MCIARS
5,NEW,MUN,23,54,NEWMUN
5,SHU,FUL,47,25,SHUFUL
5,CRY,BHA,38,34,CRYBHA
5,TOT,WHU,56,22,TOTWHU
5,LEI,AVL,54,22,LEIAVL
5,WBA,BUR,33,40,WBABUR
5,LEE,WOL,33,39,LEEWOL
6,AVL,LEE,53,23,AVLLEE
6,WHU,MCI,16,65,WHUMCI
6,FUL,CRY,39,33,FULCRY
6,MUN,CHE,42,34,MUNCHE
6,LIV,SHU,80,6,LIVSHU
6,SOU,EVE,35,39,SOUEVE
6,WOL,NEW,52,21,WOLNEW
6,ARS,LEI,42,32,ARSLEI
6,BHA,WBA,56,19,BHAWBA
6,BUR,TOT,26,49,BURTOT
7,WOL,CRY,49,22,WOLCRY
7,SHU,MCI,10,72,SHUMCI
7,BUR,CHE,22,54,BURCHE
7,LIV,WHU,65,16,LIVWHU
7,AVL,SOU,40,34,AVLSOU
7,NEW,EVE,29,45,NEWEVE
7,MUN,ARS,52,24,MUNARS
7,TOT,BHA,58,20,TOTBHA
7,FUL,WBA,44,29,FULWBA
7,LEE,LEI,29,46,LEELEI
8,BHA,BUR,46,27,BHABUR
8,SOU,NEW,52,23,SOUNEW
8,EVE,MUN,31,44,EVEMUN
8,CRY,LEE,40,33,CRYLEE
8,CHE,SHU,69,11,CHESHU
8,WHU,FUL,55,21,WHUFUL
8,WBA,TOT,17,61,WBATOT
8,LEI,WOL,53,21,LEIWOL
8,MCI,LIV,53,25,MCILIV
8,ARS,AVL,56,20,ARSAVL
9,NEW,CHE,17,62,NEWCHE
9,AVL,BHA,46,29,AVLBHA
9,TOT,MCI,25,33,TOTMCI
9,MUN,WBA,78,6,MUNWBA
