player,club,pos,double_barrel,picture
Eric Garcia,MCI,D,no,yes
Erik Lamela,TOT,M,no,yes
Erik Pieters,BUR,D,no,yes
Ethan Ampadu,SHU,"D,M",no,yes
Ethan Pinnock,BRF,D,no,yes
Etienne Capoue,WAT,M,no,yes
Evan Ferguson,BHA,F,no,yes
Ezequiel Schelotto,BHA,D,no,yes
Ezgjan Alioski,LEE,"D,M",no,yes
Ezri Konsa Ngoyo,AVL,D,no,yes
Fabian Balbuena,WHU,D,no,yes
Fabian Delph,EVE,M,no,yes
Fabian Schar,NEW,D,no,yes
Fabinho,LIV,M,no,yes
Fabio Carvalho,FUL,F,no,yes
Fabio Silva,WOL,F,no,yes
Faustino Anjorin,CHE,F,no,yes
Federico Fernandez,NEW,D,no,yes
Felipe Anderson,WHU,M,no,yes
Femi Seriki,SHU,M,no,yes
Fernandinho,MCI,M,no,yes
Ferran Torres,MCI,F,no,yes
Fikayo Tomori,CHE,D,no,yes
Filip Krovinovic,WBA,M,no,yes
Finley Stevens,BRF,D,no,yes
Florian Lejeune,NEW,D,no,yes
Florin Andone,BHA,F,no,yes
Folarin Balogun,ARS,F,no,yes
Francisco Femenia Far,WAT,D,no,yes
Francisco Sierralta,WAT,D,no,yes
Frank Onyeka,BRF,M,no,yes
Fraser Forster,SOU,G,no,yes
Fred,MUN,M,no,yes
Freddie Woodman,NEW,G,no,yes
Frederic Guilbert,AVL,D,no,yes
Gabriel Jesus,MCI,F,no,yes
Gabriel Magalhaes,ARS,D,no,yes
Gabriel Martinelli,ARS,M,no,yes
Gaetan Bong,BHA,D,no,yes
Gaetano Berardi,LEE,D,no,yes
Gareth Bale,TOT,"M,F",no,yes
Gary Cahill,CRY,D,no,yes
Gedson Fernandes,TOT,M,no,yes
George Baldock,SHU,D,no,yes
George Hirst,LEI,F,no,yes
Georges-Kevin Nkoudou,TOT,M,yes,yes
Georginio Wijnaldum,LIV,M,no,yes
Gerard Deulofeu,WAT,"M,F",no,yes
Giovani Lo Celso,TOT,M,no,yes
Glenn Murray,BHA,F,no,yes
Grady Diangana,WBA,M,no,yes
Granit Xhaka,ARS,M,no,yes
Grant Hanley,NOR,D,no,yes
Gylfi Sigurdsson,EVE,M,no,yes
Hakim Ziyech,CHE,"M,F",no,yes
Hal Robson-Kanu,WBA,F,yes,yes
Hamza Choudhury,LEI,M,no,yes
Hannibal Mejbri,MUN,M,no,yes
Harrison Ashby,WHU,D,no,yes
Harrison Reed,FUL,M,no,yes
Harry Kane,TOT,F,no,yes
Harry Maguire,MUN,D,no,yes
Harry Wilson,BOU,M,no,yes
Harry Winks,TOT,M,no,yes
Harvey Barnes,LEI,M,no,yes
Harvey Elliott,LIV,M,no,yes
Hassane Kamara,WAT,D,no,yes
Hector Bellerin,ARS,D,no,yes
Helder Costa,LEE,M,no,yes
Henri Lansbury,AVL,M,no,yes
Henrikh Mkhitaryan,ARS,M,no,yes
Hugo Lloris,TOT,G,no,yes
Hwang Hee-Chan,WOL,F,yes,yes
Ian Poveda-Ocampo,LEE,F,yes,yes
Ibrahim Amadou,NOR,"D,M",no,yes
Ibrahima Diallo,SOU,M,no,yes
Ibrahima Konate,LIV,D,no,yes
Ignacio Pussetto,WAT,M,no,yes
Iliman Ndiaye,SHU,M,no,yes
Ilkay Gundogan,MCI,M,no,yes
Illan Meslier,LEE,G,no,yes
Imran Louza,WAT,M,no,yes
Indiana Vassilev,AVL,F,no,yes
Isaac Hayden,NEW,M,no,yes
Isaac Price,EVE,M,no,yes
Isaac Success Ajayi,WAT,F,no,yes
Islam Slimani,LEI,F,no,yes
Ismaila Sarr,WAT,"M,F",no,yes
Issa Diop,WHU,D,no,yes
Ivan Cavaleiro,FUL,"M,F",no,yes
Ivan Toney,BRF,F,no,yes
Jack Butland,CRY,G,no,yes
Jack Cork,BUR,M,no,yes
Jack Grealish,MCI,"M,F",no,yes
Jack Harrison,LEE,M,no,yes
Jack OConnell,SHU,D,yes,yes
Jack Robinson,SHU,D,no,yes
Jack Rodwell,SHU,M,no,yes
Jack Simpson,BOU,D,no,yes
Jack Stacey,BOU,D,no,yes
Jack Stephens,SOU,D,no,yes
Jack Wilshere,WHU,M,no,yes
Jacob Murphy,NEW,"D,M",no,yes
Jacob Ramsey,AVL,M,no,yes
Jacob Sorensen,NOR,D,no,yes
Jaden Philogene-Bidace,AVL,M,yes,yes
Jadon Sancho,MUN,"M,F",no,yes
Jairo Riedewald,CRY,M,no,yes
Jake Livermore,WBA,M,no,yes
Jake Vokins,SOU,D,no,yes
Jakub Moder,BHA,M,no,yes
Jamaal Lascelles,NEW,D,no,yes
Jamal Lewis,NEW,D,no,yes
James Garner,MUN,M,no,yes
James Justin,LEI,D,no,yes
James Maddison,LEI,M,no,yes
James McArthur,CRY,M,yes,yes
James McAtee,MCI,M,yes,yes
James McCarthy,CRY,M,yes,yes
James Milner,LIV,M,no,yes
James Rodriguez,EVE,"M,F",no,yes
James Tarkowski,BUR,D,no,yes
James Tomkins,CRY,D,no,yes
James Ward-Prowse,SOU,M,yes,yes
Jamie Shackleton,LEE,M,no,yes
Jamie Vardy,LEI,F,no,yes
Jan Bednarek,SOU,D,no,yes
Jan Vertonghen,TOT,D,no,yes
Jannik Vestergaard,LEI,D,no,yes
Japhet Tanganga,TOT,D,no,yes
Jarrad Branthwaite,EVE,D,no,yes
Jarrod Bowen,WHU,"M,F",no,yes
Jason Steele,BHA,G,no,yes
Javier Manquillo,NEW,D,no,yes
Jay Rodriguez,BUR,F,no,yes
Jayden Bogle,SHU,D,no,yes
Jayson Molumby,BHA,M,no,yes
Jean-Philippe Gbamin,EVE,M,yes,yes
Jean-Philippe Mateta,CRY,F,yes,yes
Jed Steer,AVL,G,no,yes
Jeff Hendrick,NEW,M,no,yes
Jefferson Lerma,BOU,M,no,yes
Jeffrey Schlupp,CRY,M,no,yes
Jeremy Ngakia,WAT,D,no,yes
Jeremy Sarmiento,BHA,F,no,yes
Jesse Lingard,MUN,M,no,yes
Jesurun Rak-Sakyi,CRY,M,yes,yes
Jesus Vallejo,WOL,"D,M",no,yes
Jetro Willems,NEW,D,no,yes
Jimmy Dunne,BUR,D,no,yes
Joachim Andersen,CRY,D,no,yes
Joao Cancelo,MCI,D,no,yes
Joao Moutinho,WOL,M,no,yes
Joao Pedro,WAT,F,no,yes
Joao Virginia,EVE,G,no,yes
Joe Bryan,FUL,D,no,yes
Joe Gelhardt,LEE,F,no,yes
Joe Rodon,TOT,D,no,yes
Joel Matip,LIV,D,no,yes
Joel Mumbongo,BUR,F,no,yes
Joel Veltman,BHA,D,no,yes
Joel Ward,CRY,D,no,yes
Joelinton,NEW,"M,F",no,yes
Johann Gudmundsson,BUR,M,no,yes
John Egan,SHU,D,no,yes
John Fleck,SHU,M,no,yes
John Lundstram,SHU,M,no,yes
John McGinn,AVL,M,yes,yes
John Ruddy,WOL,G,no,yes
John Stones,MCI,D,no,yes
Jonas Lossl,BRF,G,no,yes
Jonathan Kodjia,AVL,F,no,yes
Jonathan Rowe,NOR,F,no,yes
Jonjo Shelvey,NEW,M,no,yes
Jonjoe Kenny,EVE,D,no,yes
Jonny,WOL,D,no,yes
Jonny Evans,LEI,D,no,yes
Jordan Ayew,CRY,F,no,yes
Jordan Henderson,LIV,M,no,yes
Jordan Ibe,BOU,M,no,yes
Jordan Pickford,EVE,G,no,yes
Jordan Thomas,NOR,D,no,yes
Jorginho,CHE,M,no,yes
Jose Holebas,WAT,M,no,yes
Jose Izquierdo,BHA,F,no,yes
Jose Sa,WOL,G,no,yes
Joseph Gomez,LIV,D,no,yes
Joseph Willock,NEW,M,no,yes
Josh Benson,BUR,M,no,yes
Josh Brownhill,BUR,M,no,yes
Josh Maja,FUL,F,no,yes
Josh Martin,NOR,M,no,yes
Josh Onomah,FUL,M,no,yes
Joshua King,WAT,F,no,yes
Joshua Sargent,NOR,F,no,yes
Josip Drmic,NOR,F,no,yes
Jota,AVL,M,no,yes
Juan Foyth,TOT,D,no,yes
Juan Mata,MUN,M,no,yes
Junior Firpo,LEE,D,no,yes
Junior Stanislas,BOU,M,no,yes
Juraj Kucka,WAT,M,no,yes
Jurgen Locadia,BHA,F,no,yes
Kai Havertz,CHE,"M,F",no,yes
Kaide Gordon,LIV,M,no,yes
Kalvin Phillips,LEE,M,no,yes
Kamil Grosicki,WBA,M,no,yes
Karl Darlow,NEW,G,no,yes
Karlan Grant,WBA,F,no,yes
Kasey McAteer,LEI,M,yes,yes
Kasper Schmeichel,LEI,G,no,yes
Kayky,MCI,F,no,yes
Kayne Ramsay,SOU,D,no,yes
Kean Bryan,SHU,D,no,yes
Keinan Davis,AVL,F,no,yes
Kelechi Iheanacho,LEI,F,no,yes
Kelland Watts,NEW,D,no,yes
Ken Sema,WAT,M,no,yes
Kenedy,CHE,M,no,yes
Kenny McLean,NOR,M,yes,yes
Kenny Tete,FUL,D,no,yes
Kepa Arrizabalaga,CHE,G,no,yes
Kevin Danso,SOU,D,no,yes
Kevin De Bruyne,MCI,M,no,yes
Kevin Long,BUR,D,no,yes
Ki Sung-Yueng,NEW,M,yes,yes
Ki-Jana Hoever,WOL,D,yes,yes
Kieran Dowell,NOR,M,no,yes
Kieran Gibbs,WBA,D,no,yes
Kieran Tierney,ARS,D,no,yes
Kieran Trippier,NEW,D,no,yes
Kiernan Dewsbury-Hall,LEI,M,yes,yes
Kieron Freeman,SHU,D,no,yes
Kiko Casilla,LEE,G,no,yes
Konstantinos Tsimikas,LIV,D,no,yes
Kortney Hause,AVL,D,no,yes
Kouassi Ryan Sessegnon,TOT,M,no,yes
Kristoffer Ajer,BRF,D,no,yes
Kristoffer Klaesson,LEE,G,no,yes
Kurt Zouma,WHU,D,no,yes
Kyle Bartley,WBA,D,no,yes
Kyle Edwards,WBA,M,no,yes
Kyle Walker,MCI,D,no,yes
Kyle Walker-Peters,SOU,D,yes,yes
Leander Dendoncker,WOL,M,no,yes
Leandro Trossard,BHA,"M,F",no,yes
Lee Peltier,WBA,D,no,yes
Leif Davis,LEE,D,no,yes
Leighton Baines,EVE,D,no,yes
Leo Fuhr Hjelde,LEE,D,no,yes
Leon Bailey,AVL,F,no,yes
Leon Clarke,SHU,F,no,yes
Leroy Sane,MCI,F,no,yes
Lewis Bate,LEE,M,no,yes
Lewis Brunt,LEI,M,no,yes
Lewis Cook,BOU,M,no,yes
Lewis Dobbin,EVE,F,no,yes
Lewis Dunk,BHA,D,no,yes
Lewis Richardson,BUR,F,no,yes
Liam Cooper,LEE,D,no,yes
Liam Delap,MCI,F,no,yes
Liam McCarron,LEE,M,yes,yes
Lloyd Kelly,BOU,D,no,yes
Lucas Digne,AVL,D,no,yes
Lucas Moura,TOT,"M,F",no,yes
Lucas Torreira,ARS,M,no,yes
Luis Diaz,LIV,F,no,yes
Luka Milivojevic,CRY,F,no,yes
Lukas Rupp,NOR,M,no,yes
Lukasz Fabianski,WHU,G,no,yes
Luke Ayling,LEE,D,no,yes
Luke Cundle,WOL,M,no,yes
Luke Freeman,SHU,M,no,yes
Luke Shaw,MUN,D,no,yes
Luke Thomas,LEI,D,no,yes
Lyanco,SOU,D,no,yes
Lys Mousset,SHU,F,no,yes
Mads Bech Sorensen,BRF,D,no,yes
Mads Bidstrup,BRF,M,no,yes
Mads Rasmussen,BRF,D,no,yes
Malang Sarr,CHE,D,no,yes
Mamadou Sakho,CRY,D,no,yes
Manuel Lanzini,WHU,M,no,yes
Marc Albrighton,LEI,M,no,yes
Marc Cucurella,BHA,D,no,yes
Marcal,WOL,D,no,yes
Marco Stiepermann,NOR,M,no,yes
Marcos Alonso,CHE,D,no,yes
Marcos Rojo,MUN,D,no,yes
Marcus Forss,BRF,F,no,yes
Marcus Rashford,MUN,F,no,yes
Marek Rodak,FUL,G,no,yes
Mario Lemina,FUL,M,no,yes
Mario Vrancic,NOR,M,no,yes
Mark Noble,WHU,M,no,yes
Mark Travers,BOU,G,no,yes
Martin Dubravka,NEW,G,no,yes
Martin Kelly,CRY,D,no,yes
Martin Montoya,BHA,D,no,yes
Martin Odegaard,ARS,M,no,yes
Marvelous Nakamba,AVL,M,no,yes
Mason Greenwood,MUN,F,no,yes
Mason Holgate,EVE,D,no,yes
Mason Mount,CHE,"M,F",no,yes
Mat Ryan,ARS,G,no,yes
Matej Vydra,BUR,F,no,yes
Mateo Kovacic,CHE,M,no,yes
Mateusz Klich,LEE,M,no,yes
Matheus Pereira,WBA,"M,F",no,yes
Mathias Antonsen Normann,NOR,M,no,yes
Mathias Jensen,BRF,M,no,yes
Matt Doherty,TOT,D,no,yes
Matt Phillips,WBA,M,no,yes
Matt Ritchie,NEW,"D,M",no,yes
Matt Targett,NEW,D,no,yes
Matteo Guendouzi,ARS,M,no,yes
Matthew Cash,AVL,D,no,yes
Matthew Longstaff,NEW,M,no,yes
Matthew Lowton,BUR,D,no,yes
Matty James,LEI,M,no,yes
Max Aarons,NOR,D,no,yes
Max Lowe,SHU,D,no,yes
Max Meyer,CRY,M,no,yes
Max Thompson,BUR,F,no,yes
Maxime Le Marchand,FUL,D,no,yes
Maximilian Kilman,WOL,D,no,yes
Maxwel Cornet,BUR,"D,M,F",no,yes
Maya Yoshida,SOU,D,no,yes
Mbaye Diagne,WBA,F,no,yes
Mbwana Samatta,AVL,F,no,yes
Mesut Ozil,ARS,M,no,yes
Michael Hector,FUL,D,no,yes
Michael Keane,EVE,D,no,yes
Michael McGovern,NOR,G,yes,yes
Michael Obafemi,SOU,F,no,yes
Michael Olise,CRY,F,no,yes
Michail Antonio,WHU,F,no,yes
Michy Batshuayi,CRY,F,no,yes
Miguel Almiron,NEW,M,no,yes
Milot Rashica,NOR,M,no,yes
Mohamed Elneny,ARS,M,no,yes
Mohamed Elyounoussi,SOU,M,no,yes
Mohamed Salah,LIV,F,no,yes
Mohammed Salisu,SOU,D,no,yes
Moise Kean,EVE,F,no,yes
Moises Caicedo,BHA,M,no,yes
Morgan Gibbs-White,WOL,M,yes,yes
Morgan Sanson,AVL,M,no,yes
Morgan Schneiderlin,EVE,M,no,yes
Moritz Leitner,NOR,M,no,yes
Moussa Djenepo,SOU,M,no,yes
Moussa Sissoko,WAT,M,no,yes
Muhamed Besic,SHU,M,no,yes
Nabil Bentaleb,NEW,M,no,yes
Naby Keita,LIV,M,no,yes
Nacho Monreal,ARS,D,no,yes
Nampalys Mendy,LEI,M,no,yes
Nathan Ake,MCI,D,no,yes
Nathan Broadhead,EVE,F,no,yes
Nathan Collins,BUR,D,no,yes
Nathan Ferguson,CRY,D,no,yes
Nathan Holland,WHU,M,no,yes
Nathan Redmond,SOU,M,no,yes
Nathan Tella,SOU,M,no,yes
Nathan Young-Coombes,BRF,F,yes,yes
Nathaniel Chalobah,WAT,M,no,yes
Nathaniel Clyne,CRY,D,no,yes
Nathaniel Phillips,LIV,D,no,yes
Neal Maupay,BHA,F,no,yes
Neco Williams,LIV,D,no,yes
Neeskens Kebano,FUL,M,no,yes
Neil Taylor,AVL,D,no,yes
Nelson Semedo,WOL,D,no,yes
Nemanja Matic,MUN,M,no,yes
Ngolo Kante,CHE,M,yes,yes
Niall Huggins,LEE,F,no,yes
Nick Pope,BUR,G,no,yes
Nicolas Nkoulou,WAT,D,no,yes
Nicolas Otamendi,MCI,D,no,yes
Nicolas Pepe,ARS,"M,F",no,yes
Niels Nkounkou,EVE,D,no,yes
Nikola Vlasic,WHU,M,no,yes
Nuno Tavares,ARS,D,no,yes
Odion Ighalo,MUN,F,no,yes
Odsonne Edouard,CRY,F,no,yes
Okay Yokuslu,WBA,M,no,yes
Ola Aina,FUL,D,no,yes
Oleksandr Zinchenko,MCI,D,no,yes
Oliver Burke,SHU,M,no,yes
Oliver McBurnie,SHU,F,yes,yes
Oliver Norwood,SHU,M,no,yes
Oliver Skipp,TOT,M,no,yes
Olivier Giroud,CHE,F,no,yes
Ollie Watkins,AVL,F,no,yes
Ondrej Duda,NOR,M,no,yes
Onel Hernandez,NOR,M,no,yes
Oriol Romeu,SOU,M,no,yes
Orjan Nyland,AVL,G,no,yes
Oskar Buur,WOL,D,no,yes
Oumar Niasse,EVE,F,no,yes
Owen Otasowie,WOL,M,no,yes
Ozan Kabak,NOR,D,no,yes
Ozan Tufan,WAT,M,no,yes
Pablo Fornals,WHU,M,no,yes
Pablo Hernandez,LEE,M,no,yes
Pablo Mari,ARS,D,no,yes
Pablo Zabaleta,WHU,D,no,yes
Pascal Gross,BHA,M,no,yes
Pascal Struijk,LEE,D,no,yes
Patrick Bamford,LEE,F,no,yes
Patrick Cutrone,WOL,F,no,yes
Patrick Roberts,NOR,F,no,yes
Patrick van Aanholt,CRY,D,yes,yes
Patson Daka,LEI,F,no,yes
Paul Dummett,NEW,D,no,yes
Paul Pogba,MUN,M,no,yes
Paulo Gazzaniga,TOT,G,no,yes
Pedro,CHE,F,no,yes
Pedro Neto,WOL,F,no,yes
Pelenda Joshua Da Silva,BRF,M,no,yes
Pepe Reina,AVL,G,no,yes
Percy Tau,BHA,F,no,yes
Peter Etebo,WAT,M,no,yes
Phil Bardsley,BUR,D,no,yes
Phil Foden,MCI,"M,F",no,yes
Phil Jagielka,SHU,D,no,yes
Phil Jones,MUN,D,no,yes
Philip Billing,BOU,M,no,yes
Philippe Coutinho,AVL,M,no,yes
Pierre Lees-Melou,NOR,M,yes,yes
Pierre-Emerick Aubameyang,ARS,F,yes,yes
Pierre-Emile Hojbjerg,TOT,M,yes,yes
Pontus Jansson,BRF,D,no,yes
Przemyslaw Placheta,NOR,M,no,yes
Raheem Sterling,MCI,F,no,yes
Rakeem Harper,WBA,M,no,yes
Ralf Fahrmann,NOR,G,no,yes
Raphael Varane,MUN,D,no,yes
Raphinha,LEE,M,no,yes
Raul Jimenez,WOL,F,no,yes
Ravel Morrison,SHU,M,no,yes
Rayan Ait-Nouri,WOL,D,yes,yes
Reda Khadra,BHA,M,no,yes
Reece James,CHE,D,no,yes
Reiss Nelson,ARS,F,no,yes
