,Matchday,Date,H/A,Club,Club Pos.,Opponent,Opponent.1,Result,Pos.,Goals,Assists,Yellows,2nd Yellows,Reds,Minutes,Unnamed: 15,Unnamed: 16,Unnamed: 17,Player
0,1,8/11/19,H,Man Utd,(5.),Chelsea ,Chelsea (4.),4:0,RM,,1,,,,74',,,,Andreas Pereira
1,2,8/19/19,A,Man Utd,(2.),Wolves ,Wolves (10.),1:1,,,,,,,1',,,,Andreas Pereira
2,3,8/24/19,H,Man Utd,(4.),Crystal Palace ,Crystal Palace (14.),1:2,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Andreas Pereira
3,4,8/31/19,A,Man Utd,(5.),Southampton ,Southampton (18.),1:1,RM,,,,,,68',,,,Andreas Pereira
4,5,9/14/19,H,Man Utd,(8.),Leicester ,Leicester (3.),1:0,RM,,,,,,90',,,,Andreas Pereira
5,6,9/22/19,A,Man Utd,(4.),West Ham ,West Ham (8.),2:0,RW,,,,,,90',,,,Andreas Pereira
6,7,9/30/19,H,Man Utd,(8.),Arsenal ,Arsenal (4.),1:1,RM,,,32',,,74',,,,Andreas Pereira
7,8,10/6/19,A,Man Utd,(10.),Newcastle ,Newcastle (19.),1:0,CM,,,,,,90',,,,Andreas Pereira
8,9,10/20/19,H,Man Utd,(12.),Liverpool ,Liverpool (1.),1:1,AM,,,,,,90',,,,Andreas Pereira
9,10,10/27/19,A,Man Utd,(14.),Norwich ,Norwich (19.),1:3,AM,,,,,,82',,,,Andreas Pereira
10,11,11/2/19,A,Man Utd,(7.),Bournemouth ,Bournemouth (9.),1:0,AM,,,,,,68',,,,Andreas Pereira
11,12,11/10/19,H,Man Utd,(10.),Brighton ,Brighton (8.),3:1,AM,1,,,,,70',,,,Andreas Pereira
12,13,11/24/19,A,Man Utd,(7.),Sheffield Utd. ,Sheffield Utd. (5.),3:3,CM,,,,,,73',,,,Andreas Pereira
13,14,12/1/19,H,Man Utd,(9.),Aston Villa ,Aston Villa (15.),2:2,CM,,,,,,90',,,,Andreas Pereira
14,15,12/4/19,H,Man Utd,(9.),Spurs ,Spurs (5.),2:1,AM,,,,,,10',,,,Andreas Pereira
15,16,12/7/19,A,Man Utd,(6.),Man City ,Man City (3.),1:2,AM,,,75',,,16',,,,Andreas Pereira
16,17,12/15/19,H,Man Utd,(5.),Everton ,Everton (14.),1:1,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Andreas Pereira
17,18,12/22/19,A,Man Utd,(6.),Watford ,Watford (20.),2:0,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Andreas Pereira
18,19,12/26/19,H,Man Utd,(8.),Newcastle ,Newcastle (9.),4:1,AM,,1,35',,,90',,,,Andreas Pereira
19,20,12/28/19,A,Man Utd,(8.),Burnley ,Burnley (12.),0:2,AM,,1,,,,73',,,,Andreas Pereira
20,21,1/1/20,A,Man Utd,(5.),Arsenal ,Arsenal (12.),2:0,AM,,,,,,32',,,,Andreas Pereira
21,22,1/11/20,H,Man Utd,(5.),Norwich ,Norwich (20.),4:0,AM,,,,,,71',,,,Andreas Pereira
22,23,1/19/20,A,Man Utd,(5.),Liverpool ,Liverpool (1.),2:0,AM,,,,,,74',,,,Andreas Pereira
23,24,1/22/20,H,Man Utd,(5.),Burnley ,Burnley (14.),0:2,RM,,,,,,45',,,,Andreas Pereira
24,25,2/1/20,H,Man Utd,(5.),Wolves ,Wolves (7.),0:0,DM,,,,,,72',,,,Andreas Pereira
25,26,2/17/20,A,Man Utd,(7.),Chelsea ,Chelsea (4.),0:2,,,,,,,10',,,,Andreas Pereira
26,27,2/23/20,H,Man Utd,(7.),Watford ,Watford (19.),3:0,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Andreas Pereira
27,28,3/1/20,A,Man Utd,(5.),Everton ,Everton (11.),1:1,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Andreas Pereira
28,29,3/8/20,H,Man Utd,(5.),Man City ,Man City (2.),2:0,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Andreas Pereira
