player,position,team
Granit Xhaka,M,ARS
Gylfi Sigurdsson,M,EVE
Hakim Ziyech,"M,F",CHE
Hal Robson-Kanu,F,WBA
Hamza Choudhury,M,LEI
Hannibal Mejbri,M,MUN
Harrison Reed,M,FUL
Harry Kane,F,TOT
Harry Maguire,D,MUN
Harry Winks,M,TOT
Harvey Barnes,M,LEI
Hector Bellerin,D,ARS
Helder Costa,"M,F",LEE
Hugo Lloris,G,TOT
Ian Poveda-Ocampo,F,LEE
Ibrahima Diallo,M,SOU
Iliman Ndiaye,M,SHU
Ilkay Gundogan,M,MCI
Illan Meslier,G,LEE
Isaac Hayden,M,NEW
Islam Slimani,F,LEI
Issa Diop,D,WHU
Ivan Cavaleiro,"M,F",FUL
Jack Butland,G,CRY
Jack Cork,M,BUR
Jack Grealish,"M,F",AVL
Jack Harrison,M,LEE
Jack OConnell,D,SHU
Jack Robinson,D,SHU
Jack Stephens,D,SOU
Jacob Murphy,"D,M",NEW
Jacob Ramsey,M,AVL
Jaden Philogene-Bidace,M,AVL
Jairo Riedewald,M,CRY
Jake Livermore,M,WBA
Jake Vokins,D,SOU
Jakub Moder,M,BHA
Jamaal Lascelles,D,NEW
Jamal Lewis,D,NEW
James Justin,D,LEI
James Maddison,"M,F",LEI
James McArthur,M,CRY
James McCarthy,M,CRY
James Milner,M,LIV
James Rodriguez,"M,F",EVE
James Tarkowski,D,BUR
James Tomkins,D,CRY
James Ward-Prowse,M,SOU
Jamie Shackleton,M,LEE
Jamie Vardy,F,LEI
Jan Bednarek,D,SOU
Jannik Vestergaard,D,SOU
Japhet Tanganga,D,TOT
Jarrod Bowen,"M,F",WHU
Javier Manquillo,D,NEW
Jay Rodriguez,F,BUR
Jayden Bogle,"D,M",SHU
Jayson Molumby,M,BHA
Jean-Philippe Gbamin,M,EVE
Jean-Philippe Mateta,F,CRY
Jeff Hendrick,M,NEW
Jeffrey Schlupp,M,CRY
Jesse Lingard,M,WHU
Jimmy Dunne,D,BUR
Joachim Andersen,D,FUL
Joao Cancelo,D,MCI
Joao Moutinho,M,WOL
Joao Virginia,G,EVE
Joe Bryan,D,FUL
Joe Rodon,D,TOT
Joel Matip,D,LIV
Joel Mumbongo,F,BUR
Joel Veltman,"D,M",BHA
Joel Ward,D,CRY
Joelinton,F,NEW
Johann Gudmundsson,M,BUR
John Egan,D,SHU
John Fleck,M,SHU
John Lundstram,M,SHU
John McGinn,M,AVL
John Ruddy,G,WOL
John Stones,D,MCI
Jonjo Shelvey,M,NEW
Jonjoe Kenny,D,EVE
Jonny,"D,M",WOL
Jonny Evans,D,LEI
Jordan Ayew,F,CRY
Jordan Henderson,M,LIV
Jordan Pickford,G,EVE
Jorginho,M,CHE
Jose Izquierdo,F,BHA
Joseph Gomez,D,LIV
Joseph Willock,M,ARS
,,NEW
Josh Benson,M,BUR
Josh Bronwhill,M,BUR
Josh Maja,F,FUL
Josh Onomah,M,FUL
Joshua King,F,EVE
Juan Mata,M,MUN
Kai Havertz,"M,F",CHE
Kalvin Phillips,M,LEE
Kamil Grosicki,M,WBA
Karl Darlow,G,NEW
Karlan Grant,F,WBA
Kasper Schmeichel,G,LEI
Kayne Ramsay,D,SOU
Kean Bryan,D,SHU
Keinan Davis,F,AVL
Kelechi Iheanacho,F,LEI
Kenny Tete,D,FUL
Kepa Arrizabalaga,G,CHE
Kevin De Bruyne,M,MCI
Kevin Long,D,BUR
Ki-Jana Hoever,D,WOL
Kieran Gibbs,D,WBA
Kieran Tierney,D,ARS
Kiko Casilla,G,LEE
Konstantinos Tsimikas,D,LIV
Kortney Hause,D,AVL
Kurt Zouma,D,CHE
Kyle Bartley,D,WBA
Kyle Edwards,"M,F",WBA
Kyle Walker,D,MCI
Kyle Walker-Peters,D,SOU
Leander Dendoncker,"D,M",WOL
Leandro Trossard,"M,F",BHA
Lee Peltier,D,WBA
Leif Davis,D,LEE
Lewis Dunk,D,BHA
Lewis Richardson,M,BUR
Liam Cooper,D,LEE
Liam Delap,F,MCI
Lucas Digne,D,EVE
Lucas Moura,"M,F",TOT
Luka Milivojevic,M,CRY
Lukasz Fabianski,G,WHU
Luke Ayling,D,LEE
Luke Shaw,D,MUN
Luke Thomas,D,LEI
Lys Mousset,F,SHU
Mamadou Sakho,D,CRY
Manuel Lanzini,M,WHU
Marc Albrighton,M,LEI
Marcal,D,WOL
Marcos Alonso,"D,M",CHE
Marcus Rashford,"M,F",MUN
Marek Rodak,G,FUL
Mario Lemina,M,FUL
Mark Noble,M,WHU
Martin Dubravka,G,NEW
Martin Kelly,D,CRY
Martin Odegaard,M,ARS
Marvelous Nakamba,M,AVL
Mason Greenwood,"M,F",MUN
Mason Holgate,D,EVE
Mason Mount,"M,F",CHE
Mat Ryan,G,ARS
,,BHA
Matej Vydra,F,BUR
Mateo Kovacic,M,CHE
Mateusz Klich,M,LEE
Matheus Pereira,"M,F",WBA
Matt Doherty,"D,M",TOT
Matt Phillips,M,WBA
Matt Ritchie,"D,M",NEW
Matt Targett,D,AVL
Matthew Cash,D,AVL
Matthew Longstaff,M,NEW
Matthew Lowton,D,BUR
Max Lowe,D,SHU
Maxime Le Marchand,D,FUL
Maximilian Kilman,D,WOL
Mbaye Diagne,F,WBA
Michael Hector,D,FUL
Michael Keane,D,EVE
Michael Obafemi,F,SOU
Michail Antonio,"M,F",WHU
Michy Batshuayi,F,CRY
Miguel Almiron,M,NEW
Mohamed Elneny,M,ARS
Mohamed Salah,F,LIV
Mohammed Salisu,D,SOU
Moise Kean,F,EVE
Morgan Gibbs-White,M,WOL
Morgan Sanson,M,AVL
Moussa Djenepo,M,SOU
Moussa Sissoko,M,TOT
Naby Keita,M,LIV
Nampalys Mendy,M,LEI
Nathan Ake,D,MCI
Nathan Broadhead,M,EVE
Nathan Redmond,M,SOU
Nathan Tella,M,SOU
Nathaniel Clyne,D,CRY
Nathaniel Phillips,D,LIV
Neal Maupay,F,BHA
Neco Williams,D,LIV
Neeskens Kebano,M,FUL
Neil Taylor,D,AVL
Nelson Semedo,"D,M",WOL
Nemanja Matic,M,MUN
Ngolo Kante,M,CHE
Niall Huggins,F,LEE
Nick Pope,G,BUR
Nicolas Pepe,"M,F",ARS
Niels Nkounkou,D,EVE
Odion Ighalo,F,MUN
Okay Yokuslu,M,WBA
Ola Aina,D,FUL
Oleksandr Zinchenko,D,MCI
Oliver Burke,"M,F",SHU
Oliver McBurnie,F,SHU
Oliver Norwood,M,SHU
Olivier Giroud,F,CHE
Ollie Watkins,F,AVL
Oriol Romeu,M,SOU
Oskar Buur,D,WOL
Owen Otasowie,M,WOL
Ozan Kabak,D,LIV
Pablo Fornals,M,WHU
Pablo Hernandez,M,LEE
Pablo Mari,D,ARS
Pascal Gross,M,BHA
Pascal Struijk,D,LEE
Patrick Bamford,F,LEE
Patrick Cutrone,F,WOL
Patrick van Aanholt,D,CRY
Paul Dummett,D,NEW
Paul Pogba,M,MUN
Pedro Neto,"M,F",WOL
Percy Tau,F,BHA
Phil Bardsley,D,BUR
Phil Foden,"M,F",MCI
Phil Jagielka,D,SHU
Pierre-Emerick Aubameyang,"M,F",ARS
Pierre-Emile Hojbjerg,M,TOT
Raheem Sterling,"M,F",MCI
Rakeem Harper,M,WBA
Raphinha,"M,F",LEE
Raul Jimenez,F,WOL
Rayan Ait-Nouri,"D,M",WOL
Reda Khadra,M,BHA
Reece James,"D,M",CHE
Reiss Nelson,F,ARS
Rhian Brewster,F,SHU
Rhys Williams,D,LIV
Ricardo Pereira,D,LEI
Richarlison,"M,F",EVE
Riyad Mahrez,F,MCI
Rob Holding,D,ARS
Robbie Brady,M,BUR
Robert Sanchez,G,BHA
Robert Snodgrass,M,WBA
,,WHU
Roberto Firmino,F,LIV
Robin Koch,D,LEE
Robin Olsen,G,EVE
Rodri,M,MCI
Rodrigo,"M,F",LEE
Romain Saiss,D,WOL
Romaine Sawyers,M,WBA
Ross Barkley,M,AVL
,,CHE
Ruben Dias,D,MCI
Ruben Loftus-Cheek,"M,F",CHE
,,FUL
Ruben Neves,M,WOL
Ruben Vinagre,D,WOL
Rui Patricio,G,WOL
Runar Alex Runarsson,G,ARS
Ryan Bertrand,"D,M",SOU
Ryan Fraser,M,NEW
Ryan Fredericks,D,WHU
Sadio Mane,F,LIV
Said Benrahma,"M,F",WHU
Sam Field,M,WBA
Sam Johnstone,G,WBA
Sander Berge,M,SHU
Scott Carson,G,MCI
Scott Dann,D,CRY
Scott McTominay,M,MUN
Sead Kolasinac,D,ARS
Seamus Coleman,D,EVE
Sean Longstaff,M,NEW
Sebastien Haller,F,WHU
Semi Ajayi,D,WBA
Serge Aurier,D,TOT
Sergio Aguero,F,MCI
Sergio Reguilon,D,TOT
Shane Long,F,SOU
Shkodran Mustafi,D,ARS
Shola Shoretire,F,MUN
Sidnei Tavares,M,LEI
Solly March,M,BHA
Son Heung-Min,"M,F",TOT
Steven Alzate,M,BHA
Steven Bergwijn,"M,F",TOT
Stuart Armstrong,M,SOU
Stuart Dallas,"D,M",LEE
Takumi Minamino,"M,F",LIV
,,SOU
Tammy Abraham,F,CHE
Tanguy Ndombele,M,TOT
Tariq Lamptey,"D,M",BHA
Terence Kongolo,D,FUL
Thakgalo Leshabela,M,LEI
Theo Corbeanu,F,WOL
Theo Walcott,"M,F",EVE
,,SOU
Thiago,M,LIV
Thiago Silva,D,CHE
Thomas Partey,M,ARS
Tim Ream,D,FUL
Timo Werner,F,CHE
Timothy Castagne,D,LEI
Timothy Fosu-Mensah,D,MUN
Toby Alderweireld,D,TOT
Tom Cairney,M,FUL
Tom Davies,M,EVE
Tomas Soucek,M,WHU
Tosin Adarabioyo,D,FUL
Trent Alexander-Arnold,D,LIV
Trezeguet,"M,F",AVL
Tyler Roberts,"M,F",LEE
Tyone Mings,D,AVL
Tyrese Francois,M,FUL
Tyrick Mitchell,D,CRY
Vicente Guaita,G,CRY
Victor Lindelof,D,MUN
Virgil van Dijk,D,LIV
Vitinha,M,WOL
Vladimir Coufal,D,WHU
Wes Morgan,D,LEI
Wesley,F,AVL
Wesley Fofana,D,LEI
Wilfred Ndidi,M,LEI
Wilfried Zaha,"M,F",CRY
Will Norris,G,BUR
William Fish,D,MUN
William Smallbone,M,SOU
Willian,"M,F",ARS
Willian Jose,F,WOL
Willy Boly,D,WOL
Willy Caballero,G,CHE
Xherdan Shaqiri,M,LIV
Yan Valery,D,SOU
Yerry Mina,D,EVE
Youri Tielemans,M,LEI
Yves Bissouma,M,BHA
Zack Steffen,G,MCI
Grand Total,,
