"Player","Team","Position","Rk","Status","Opponent","FPts","FP/G","% Owned"
"Dwight McNeil","BUR","M","1","Eoghanoc","BOU 0<br/>@BUR 3 F","37.45","37.45","-"
"Diogo Jota","WOL","M,F","2","Damo","NOR 0<br/>@WOL 3 F","32.5","32.5","-"
"Bruno Fernandes","MUN","M","3","MKFC","WAT 0<br/>@MUN 3 F","29.95","29.95","-"
"Patrick van Aanholt","CRY","D","4","mcavinur","NEW 0<br/>@CRY 1 F","29.3","29.3","-"
"Matt Doherty","WOL","D,M","5","Damo","NOR 0<br/>@WOL 3 F","28.8","28.8","-"
"Pierre-Emerick Aubameyang","ARS","M,F","6","ColmOF","EVE 2<br/>@ARS 3 F","27.95","27.95","-"
"Trent Alexander-Arnold","LIV","D","7","ColmOF","WHU 2<br/>@LIV 3 F","27.4","27.4","-"
"Stuart Armstrong","SOU","M,F","8","mcavinur","AVL 0<br/>@SOU 2 F","24.25","24.25","-"
"Phil Bardsley","BUR","D","9","MAX","BOU 0<br/>@BUR 3 F","23.95","23.95","-"
"Moussa Djenepo","SOU","M","10","FA","AVL 0<br/>@SOU 2 F","23.5","23.5","-"
"Mason Greenwood","MUN","M,F","11","ColmOF","WAT 0<br/>@MUN 3 F","23.25","23.25","-"
"Riyad Mahrez","MCI","M,F","12","ColmOF","MCI 1<br/>@LEI 0 F","22.85","22.85","-"
"Jordan Ayew","CRY","M,F","13","RBF","NEW 0<br/>@CRY 1 F","22.25","22.25","-"
"Mohamed Salah","LIV","F","14","Damo","WHU 2<br/>@LIV 3 F","21.75","21.75","-"
"Andrew Robertson","LIV","D","15","mcavinur","WHU 2<br/>@LIV 3 F","21.5","21.5","-"
"Martin Dubravka","NEW","G","16","RBF","NEW 0<br/>@CRY 1 F","20.5","20.5","-"
"Nick Pope","BUR","G","17","MAX","BOU 0<br/>@BUR 3 F","20.5","20.5","-"
"Jonny","WOL","D,M","18","ColmOF","NOR 0<br/>@WOL 3 F","20.4","20.4","-"
"Luke Shaw","MUN","D","19","FA","WAT 0<br/>@MUN 3 F","20.4","20.4","-"
"Richarlison","EVE","M,F","20","ColmL","EVE 2<br/>@ARS 3 F","20.1","20.1","-"
"Joel Ward","CRY","D","21","FA","NEW 0<br/>@CRY 1 F","19.75","19.75","-"
"Ross Barkley","CHE","M","22","Damo","TOT 1<br/>@CHE 2 F","19.6","19.6","-"
"Sadio Mane","LIV","M,F","23","RBF","WHU 2<br/>@LIV 3 F","19.5","19.5","-"
"Dominic Calvert-Lewin","EVE","F","24","MKFC","EVE 2<br/>@ARS 3 F","19.45","19.45","-"
"Harry Maguire","MUN","D","25","MKFC","WAT 0<br/>@MUN 3 F","19.45","19.45","-"
"Ederson","MCI","G","26","ColmL","MCI 1<br/>@LEI 0 F","19.25","19.25","-"
"Kasper Schmeichel","LEI","G","27","MKFC","MCI 1<br/>@LEI 0 F","19","19","-"
"Rui Patricio","WOL","G","28","Damo","NOR 0<br/>@WOL 3 F","19","19","-"
"Shane Long","SOU","F","29","FA","AVL 0<br/>@SOU 2 F","18.75","18.75","-"
"Pepe Reina","LIV/AVL","G","30","FA","AVL 0<br/>@SOU 2 F","18.75","18.75","-"
"Jan Bednarek","SOU","D","31","RBF","AVL 0<br/>@SOU 2 F","18.6","18.6","-"
"Ruben Neves","WOL","M","32","MKFC","NOR 0<br/>@WOL 3 F","18.5","18.5","-"
