"Player","Team","Position","Rk","Status","Opponent","FPts","FP/G","% Owned"
"David Silva","MCI","M","1","MAX","BOU 1<br/>@MCI 2 F","28.25","28.25","-"
"Marcus Rashford","MUN","M,F","2","ColmL","MUN 2<br/>@CRY 0 F","28.1","28.1","-"
"Cesar Azpilicueta","CHE","D","3","RBF","NOR 0<br/>@CHE 1 F","26.45","26.45","-"
"Declan Rice","WHU","M","4","MKFC","WAT 1<br/>@WHU 3 F","25.7","25.7","-"
"Luke Thomas","LEI","D","5","FA","SHU 0<br/>@LEI 2 F","23.5","23.5","-"
"Alexandre Lacazette","ARS","F","6","ColmL","LIV 1<br/>@ARS 2 F","22.75","22.75","-"
"Sadio Mane","LIV","M,F","7","RBF","LIV 1<br/>@ARS 2 F","22.5","22.5","-"
"Harry Kane","TOT","F","8","MKFC","TOT 3<br/>@NEW 1 F","22.25","22.25","-"
"Michail Antonio","WHU","M,F","9","MAX","WAT 1<br/>@WHU 3 F","21.25","21.25","-"
"Andre Gomes","EVE","M","10","FA","AVL 1<br/>@EVE 1 F","21.25","21.25","-"
"David de Gea","MUN","G","11","FA","MUN 2<br/>@CRY 0 F","21","21","-"
"Tomas Soucek","WHU","M","12","mcavinur","WAT 1<br/>@WHU 3 F","20.9","20.9","-"
"Marcos Alonso","CHE","D,M","13","MKFC","NOR 0<br/>@CHE 1 F","20.65","20.65","-"
"Allan Saint-Maximin","NEW","M,F","14","MAX","TOT 3<br/>@NEW 1 F","20.5","20.5","-"
"Phil Bardsley","BUR","D","15","MAX","WOL 1<br/>@BUR 1 F","19.45","19.45","-"
"Timothy Fosu-Mensah","MUN","D","16","FA","MUN 2<br/>@CRY 0 F","19.45","19.45","-"
"Emiliano Martinez","ARS","G","17","mcavinur","LIV 1<br/>@ARS 2 F","19","19","-"
"Wilfred Ndidi","LEI","M","18","MAX","SHU 0<br/>@LEI 2 F","18.6","18.6","-"
"Andrew Robertson","LIV","D","19","mcavinur","LIV 1<br/>@ARS 2 F","18.4","18.4","-"
"Ruben Vinagre","WOL","D,M","20","FA","WOL 1<br/>@BUR 1 F","18.3","18.3","-"
"Bruno Fernandes","MUN","M","21","MKFC","MUN 2<br/>@CRY 0 F","18","18","-"
"Anthony Martial","MUN","F","22","RBF","MUN 2<br/>@CRY 0 F","18","18","-"
"Aaron Wan-Bissaka","MUN","D","23","MKFC","MUN 2<br/>@CRY 0 F","18","18","-"
"James Justin","LEI","D","24","RBF","SHU 0<br/>@LEI 2 F","17.95","17.95","-"
"Antonio Rudiger","CHE","D","25","FA","NOR 0<br/>@CHE 1 F","17.85","17.85","-"
"Matt Ritchie","NEW","D,M","26","ColmL","TOT 3<br/>@NEW 1 F","17.7","17.7","-"
"Willian","CHE","M,F","27","MAX","NOR 0<br/>@CHE 1 F","17.5","17.5","-"
"Neal Maupay","BHA","F","28","FA","BHA 1<br/>@SOU 1 F","17.5","17.5","-"
"Abdoulaye Doucoure","WAT","M","29","Damo","WAT 1<br/>@WHU 3 F","16.75","16.75","-"
"Harry Maguire","MUN","D","30","MKFC","MUN 2<br/>@CRY 0 F","16.75","16.75","-"
"Christian Pulisic","CHE","M,F","31","Eoghanoc","NOR 0<br/>@CHE 1 F","16.5","16.5","-"
"Olivier Giroud","CHE","F","32","MAX","NOR 0<br/>@CHE 1 F","16.35","16.35","-"
"Adama Traore","WOL","M,F","33","MKFC","WOL 1<br/>@BUR 1 F","16.35","16.35","-"
"Conor Hourihane","AVL","M","34","FA","AVL 1<br/>@EVE 1 F","15.75","15.75","-"
"Victor Lindelof","MUN","D","35","FA","MUN 2<br/>@CRY 0 F","15.7","15.7","-"
"Giovani Lo Celso","TOT","M","36","FA","TOT 3<br/>@NEW 1 F","15.6","15.6","-"
"Wes Morgan","LEI","D","37","FA","SHU 0<br/>@LEI 2 F","15.6","15.6","-"
"Ezri Konsa Ngoyo","AVL","D","38","FA","AVL 1<br/>@EVE 1 F","15.55","15.55","-"
"Jamie Vardy","LEI","F","39","ColmOF","SHU 0<br/>@LEI 2 F","15.5","15.5","-"
"Pablo Fornals","WHU","M","40","FA","WAT 1<br/>@WHU 3 F","15.35","15.35","-"
"Nathan Redmond","SOU","M,F","41","Eoghanoc","BHA 1<br/>@SOU 1 F","15.35","15.35","-"
"Kasper Schmeichel","LEI","G","42","MKFC","SHU 0<br/>@LEI 2 F","15.25","15.25","-"
"Raul Jimenez","WOL","F","43","Eoghanoc","WOL 1<br/>@BUR 1 F","15.1","15.1","-"
"Gabriel Jesus","MCI","F","44","MAX","BOU 1<br/>@MCI 2 F","14.75","14.75","-"
"Troy Deeney","WAT","F","45","mcavinur","WAT 1<br/>@WHU 3 F","14.5","14.5","-"
