"Player","Team","Position","Rk","Status","Opponent","FPts","FP/G","% Owned","+/-"
"Willian","CHE","M,F","1","ZKL","CHE 2<br/>@TOT 0 F","33.75","33.75","99%","0%"
"Jack Grealish","AVL","M,F","2","mcavinur","SOU 3<br/>@AVL 1 F","27","27","99%","0%"
"Danny Ings","SOU","F","3","Damo","SOU 3<br/>@AVL 1 F","27","27","97%","+0.4%"
"Ben Foster","WAT","G","4","ZKL","MUN 0<br/>@WAT 2 F","27","27","46%","+6.4%"
"Riyad Mahrez","MCI","M,F","5","ColmOF","LEI 1<br/>@MCI 3 F","25","25","100%","0%"
"Emiliano Buendia","NOR","M","6","ColmL","WOL 2<br/>@NOR 1 F","23.25","23.25","93%","+0.3%"
"Marcos Alonso","CHE","D","7","Eoghanoc","CHE 2<br/>@TOT 0 F","22.6","22.6","79%","-1.6%"
"Kevin De Bruyne","MCI","M","8","Eoghanoc","LEI 1<br/>@MCI 3 F","22.35","22.35","100%","0%"
"Djibril Sidibe","EVE","D","9","MKFC","ARS 0<br/>@EVE 0 F","21.85","21.85","67%","+8.6%"
"Jack Stephens","SOU","D","10","W (Tue)","SOU 3<br/>@AVL 1 F","21.3","21.3","4%","+2.6%"
"Miguel Almiron","NEW","M","11","W (Tue)","CRY 0<br/>@NEW 1 F","21.1","21.1","63%","+1.7%"
"Christian Kabasele","WAT","D","12","W (Tue)","MUN 0<br/>@WAT 2 F","20.75","20.75","31%","+10.6%"
"Kasper Schmeichel","LEI","G","13","MKFC","LEI 1<br/>@MCI 3 F","20","20","93%","+0.4%"
"Florian Lejeune","NEW","D","14","W (Tue)","CRY 0<br/>@NEW 1 F","19.85","19.85","4%","-0.4%"
"Benjamin Mendy","MCI","D","15","W (Tue)","LEI 1<br/>@MCI 3 F","19.75","19.75","86%","-2.9%"
"Gerard Deulofeu","WAT","M,F","16","W (Tue)","MUN 0<br/>@WAT 2 F","19.5","19.5","94%","+1.5%"
"Jamie Vardy","LEI","F","17","ColmOF","LEI 1<br/>@MCI 3 F","19.35","19.35","100%","0%"
"Raul Jimenez","WOL","F","18","Eoghanoc","WOL 2<br/>@NOR 1 F","19","19","100%","0%"
"Martin Dubravka","NEW","G","19","RSC","CRY 0<br/>@NEW 1 F","19","19","61%","+2.5%"
"Todd Cantwell","NOR","M","20","RSC","WOL 2<br/>@NOR 1 F","18.35","18.35","81%","-2%"
"Gabriel Jesus","MCI","F","21","mcavinur","LEI 1<br/>@MCI 3 F","18.25","18.25","99%","-0.7%"
"Lucas Digne","EVE","D","22","ZKL","ARS 0<br/>@EVE 0 F","18.05","18.05","100%","+0.1%"
"Adama Traore","WOL","F","23","MKFC","WOL 2<br/>@NOR 1 F","18","18","88%","+1.3%"
"Paul Dummett","NEW","D","24","W (Tue)","CRY 0<br/>@NEW 1 F","17.9","17.9","3%","-0.4%"
"Calum Chambers","ARS","D,M","25","W (Tue)","ARS 0<br/>@EVE 0 F","17.75","17.75","25%","+1.6%"
"Adrian Mariappa","WAT","D","26","W (Tue)","MUN 0<br/>@WAT 2 F","17.4","17.4","1%","0%"
"Fred","MUN","M","27","W (Tue)","MUN 0<br/>@WAT 2 F","17.3","17.3","48%","+1.9%"
"Ismaila Sarr","WAT","M,F","28","W (Tue)","MUN 0<br/>@WAT 2 F","17.25","17.25","41%","-0.2%"
"Fabian Schar","NEW","D","29","W (Tue)","CRY 0<br/>@NEW 1 F","16.85","16.85","61%","-1%"
"David Luiz","ARS","D","30","ColmL","ARS 0<br/>@EVE 0 F","16.85","16.85","53%","+0.6%"
"Chris Basham","SHU","D","31","RSC","SHU 1<br/>@BHA 0 F","16.75","16.75","68%","-2.1%"
