"Player","Team","Position","Rk","Status","Opponent","FPts","FP/G","% Owned"
"Raheem Sterling","MCI","M,F","1","ColmL","MCI 4<br/>@WAT 0 F","30.5","30.5","-"
"Harry Kane","TOT","F","2","MKFC","LEI 0<br/>@TOT 3 F","26.6","26.6","-"
"Matt Doherty","WOL","D,M","3","Damo","CRY 0<br/>@WOL 2 F","24.8","24.8","-"
"Kevin De Bruyne","MCI","M","4","Eoghanoc","MCI 4<br/>@WAT 0 F","24.25","24.25","-"
"Lucas Moura","TOT","M,F","5","mcavinur","LEI 0<br/>@TOT 3 F","24.15","24.15","-"
"Jonny","WOL","D,M","6","ColmOF","CRY 0<br/>@WOL 2 F","24","24","-"
"Trent Alexander-Arnold","LIV","D","7","ColmOF","CHE 3<br/>@LIV 5 F","23.3","23.3","-"
"Hugo Lloris","TOT","G","8","FA","LEI 0<br/>@TOT 3 F","23.25","23.25","-"
"Joao Cancelo","MCI","D","9","mcavinur","MCI 4<br/>@WAT 0 F","23","23","-"
"Christian Pulisic","CHE","M,F","10","Eoghanoc","CHE 3<br/>@LIV 5 F","21.75","21.75","-"
"Aymeric Laporte","MCI","D","11","FA","MCI 4<br/>@WAT 0 F","21.25","21.25","-"
"Tyrone Mings","AVL","D","12","FA","ARS 0<br/>@AVL 1 F","21.05","21.05","-"
"Kyle Walker","MCI","D","13","ColmOF","MCI 4<br/>@WAT 0 F","20.85","20.85","-"
"Erik Pieters","BUR","D","14","FA","BUR 2<br/>@NOR 0 F","19.8","19.8","-"
"Trezeguet","AVL","M,F","15","FA","ARS 0<br/>@AVL 1 F","19.75","19.75","-"
"Aaron Ramsdale","BOU","G","16","FA","SOU 2<br/>@BOU 0 F","19.75","19.75","-"
"Ben Foster","WAT","G","17","FA","MCI 4<br/>@WAT 0 F","19.5","19.5","-"
"Jack Stephens","SOU","D","18","FA","SOU 2<br/>@BOU 0 F","19.15","19.15","-"
"Kyle Walker-Peters","TOT/SOU","D","19","FA","SOU 2<br/>@BOU 0 F","19","19","-"
"Ryan Bertrand","SOU","D,M","20","ColmOF","SOU 2<br/>@BOU 0 F","18.5","18.5","-"
"Alex McCarthy","SOU","G","21","FA","SOU 2<br/>@BOU 0 F","18.5","18.5","-"
"Andrew Robertson","LIV","D","22","mcavinur","CHE 3<br/>@LIV 5 F","18.3","18.3","-"
"Daniel Podence","WOL","M","23","FA","CRY 0<br/>@WOL 2 F","17.75","17.75","-"
"Ben Davies","TOT","D","24","ColmOF","LEI 0<br/>@TOT 3 F","17.75","17.75","-"
"Naby Keita","LIV","M","25","Damo","CHE 3<br/>@LIV 5 F","17.75","17.75","-"
"Tim Krul","NOR","G","26","FA","BUR 2<br/>@NOR 0 F","17.75","17.75","-"
"Dan Burn","BHA","D","27","FA","NEW 0<br/>@BHA 0 F","17.4","17.4","-"
"Michael Keane","EVE","D","28","FA","EVE 1<br/>@SHU 0 F","17.3","17.3","-"
"Declan Rice","WHU","M","29","MKFC","WHU 1<br/>@MUN 1 F","17.2","17.2","-"
"Phil Bardsley","BUR","D","30","MAX","BUR 2<br/>@NOR 0 F","17.15","17.15","-"
"Lucas Digne","EVE","D","31","ColmOF","EVE 1<br/>@SHU 0 F","17.05","17.05","-"
"Martin Dubravka","NEW","G","32","RBF","NEW 0<br/>@BHA 0 F","17","17","-"
"Jannik Vestergaard","SOU","D","33","FA","SOU 2<br/>@BOU 0 F","17","17","-"
"Rui Patricio","WOL","G","34","Damo","CRY 0<br/>@WOL 2 F","17","17","-"
"Eric Garcia","MCI","D","35","MAX","MCI 4<br/>@WAT 0 F","16.95","16.95","-"
"Jack Grealish","AVL","M,F","36","mcavinur","ARS 0<br/>@AVL 1 F","16.95","16.95","-"
"Serge Aurier","TOT","D","37","MAX","LEI 0<br/>@TOT 3 F","16.85","16.85","-"
"Nathan Redmond","SOU","M,F","38","Eoghanoc","SOU 2<br/>@BOU 0 F","16.5","16.5","-"
"Danny Rose","TOT/NEW","D,M","39","FA","NEW 0<br/>@BHA 0 F","16.4","16.4","-"
"Frederic Guilbert","AVL","D,M","40","Eoghanoc","ARS 0<br/>@AVL 1 F","16.3","16.3","-"
"Willy Boly","WOL","D","41","mcavinur","CRY 0<br/>@WOL 2 F","16.1","16.1","-"
"Djibril Sidibe","EVE","D","42","FA","EVE 1<br/>@SHU 0 F","16.05","16.05","-"
"Adam Webster","BHA","D","43","FA","NEW 0<br/>@BHA 0 F","16.05","16.05","-"
"Mason Greenwood","MUN","M,F","44","ColmOF","WHU 1<br/>@MUN 1 F","16","16","-"
"Phil Foden","MCI","M,F","45","ColmOF","MCI 4<br/>@WAT 0 F","15.75","15.75","-"
"Chris Wood","BUR","F","46","FA","BUR 2<br/>@NOR 0 F","15.6","15.6","-"
"Johann Gudmundsson","BUR","M","47","FA","BUR 2<br/>@NOR 0 F","15.5","15.5","-"
"Jordan Pickford","EVE","G","48","FA","EVE 1<br/>@SHU 0 F","15.5","15.5","-"
"Javier Manquillo","NEW","D","49","FA","NEW 0<br/>@BHA 0 F","15.45","15.45","-"
"Ruben Neves","WOL","M","50","MKFC","CRY 0<br/>@WOL 2 F","15.45","15.45","-"
"Che Adams","SOU","F","51","FA","SOU 2<br/>@BOU 0 F","15.35","15.35","-"
"Lewis Dunk","BHA","D","52","RBF","NEW 0<br/>@BHA 0 F","15.35","15.35","-"
"Kevin Long","BUR","D","53","FA","BUR 2<br/>@NOR 0 F","15.35","15.35","-"
"Sadio Mane","LIV","M,F","54","RBF","CHE 3<br/>@LIV 5 F","15.25","15.25","-"
"Jarrad Branthwaite","EVE","D","55","FA","EVE 1<br/>@SHU 0 F","15.15","15.15","-"
"Ezri Konsa Ngoyo","AVL","D","56","FA","ARS 0<br/>@AVL 1 F","15.05","15.05","-"
"Nick Pope","BUR","G","57","MAX","BUR 2<br/>@NOR 0 F","15","15","-"
"Georginio Wijnaldum","LIV","M","58","FA","CHE 3<br/>@LIV 5 F","14.75","14.75","-"
"Richarlison","EVE","M,F","59","ColmL","EVE 1<br/>@SHU 0 F","14.75","14.75","-"
"Roberto Firmino","LIV","M,F","60","Eoghanoc","CHE 3<br/>@LIV 5 F","14.5","14.5","-"
"Adama Traore","WOL","M,F","61","MKFC","CRY 0<br/>@WOL 2 F","14.5","14.5","-"
"James Tarkowski","BUR","D","62","Eoghanoc","BUR 2<br/>@NOR 0 F","14.45","14.45","-"
"Ashley Westwood","BUR","M","63","MKFC","BUR 2<br/>@NOR 0 F","14.25","14.25","-"
"Davinson Sanchez","TOT","D","64","FA","LEI 0<br/>@TOT 3 F","14.2","14.2","-"
"Emil Krafth","NEW","D","65","FA","NEW 0<br/>@BHA 0 F","14.15","14.15","-"
"Olivier Giroud","CHE","F","66","MAX","CHE 3<br/>@LIV 5 F","14.1","14.1","-"
"Willian","CHE","M,F","67","MAX","CHE 3<br/>@LIV 5 F","14","14","-"
"Michail Antonio","WHU","M,F","68","MAX","WHU 1<br/>@MUN 1 F","13.5","13.5","-"
"Mark Noble","WHU","M","69","FA","WHU 1<br/>@MUN 1 F","13.5","13.5","-"
"Gylfi Sigurdsson","EVE","M","70","ColmOF","EVE 1<br/>@SHU 0 F","13.5","13.5","-"
"Toby Alderweireld","TOT","D","71","FA","LEI 0<br/>@TOT 3 F","13.4","13.4","-"
"Raul Jimenez","WOL","F","72","Eoghanoc","CRY 0<br/>@WOL 2 F","13.3","13.3","-"
"Anthony Martial","MUN","F","73","RBF","WHU 1<br/>@MUN 1 F","13.25","13.25","-"
"Federico Fernandez","NEW","D","74","FA","NEW 0<br/>@BHA 0 F","13.1","13.1","-"
"Mat Ryan","BHA","G","75","FA","NEW 0<br/>@BHA 0 F","13","13","-"
"Mohamed Salah","LIV","F","76","Damo","CHE 3<br/>@LIV 5 F","13","13","-"
"Dwight McNeil","BUR","M","77","Eoghanoc","BUR 2<br/>@NOR 0 F","12.85","12.85","-"
"Tariq Lamptey","CHE/BHA","D","78","MAX","NEW 0<br/>@BHA 0 F","12.3","12.3","-"
"Pepe Reina","LIV/AVL","G","79","FA","ARS 0<br/>@AVL 1 F","12.25","12.25","-"
"Oriol Romeu","SOU","M","80","FA","SOU 2<br/>@BOU 0 F","12.05","12.05","-"
"Alex Oxlade-Chamberlain","LIV","M,F","81","FA","CHE 3<br/>@LIV 5 F","11.75","11.75","-"
"Rodrigo","MCI","M","82","mcavinur","MCI 4<br/>@WAT 0 F","11.35","11.35","-"
"Matt Targett","AVL","D,M","83","FA","ARS 0<br/>@AVL 1 F","11.3","11.3","-"
"Ederson","MCI","G","84","ColmL","MCI 4<br/>@WAT 0 F","11.25","11.25","-"
"James Ward-Prowse","SOU","M","85","Damo","SOU 2<br/>@BOU 0 F","11.25","11.25","-"
"Chris Basham","SHU","D","86","RBF","EVE 1<br/>@SHU 0 F","11.2","11.2","-"
"Reece James","CHE","D","87","MAX","CHE 3<br/>@LIV 5 F","11.15","11.15","-"
"Andros Townsend","CRY","M,F","88","FA","CRY 0<br/>@WOL 2 F","11","11","-"
"Danny Ings","SOU","F","89","Damo","SOU 2<br/>@BOU 0 F","10.8","10.8","-"
"Moussa Sissoko","TOT","M","90","FA","LEI 0<br/>@TOT 3 F","10.75","10.75","-"
"Son Heung-Min","TOT","M,F","91","Damo","LEI 0<br/>@TOT 3 F","10.7","10.7","-"
"Tammy Abraham","CHE","F","92","Damo","CHE 3<br/>@LIV 5 F","10.5","10.5","-"
