Player,Team,Position,Rk,Status,Opponent,FPts,FP/G,% Owned,+/-
Gerard Deulofeu,WAT,F,1,MKFC,ARS 2<br/>@WAT 2 F,34.5,34.5,80%,-13.8%
Tammy Abraham,CHE,F,2,Damo,CHE 5<br/>@WOL 2 F,28.55,28.55,97%,-2.7%
Son Heung-Min,TOT,"M,F",3,Eoghanoc,CRY 0<br/>@TOT 4 F,28.25,28.25,100%,-0.1%
Joshua King,BOU,F,4,mcavinur,EVE 1<br/>@BOU 3 F,27.85,27.85,98%,-1.8%
Emiliano Buendia,NOR,M,5,ColmL,MCI 2<br/>@NOR 3 F,27.35,27.35,90%,-9.7%
Serge Aurier,TOT,D,6,ZKL,CRY 0<br/>@TOT 4 F,26.75,26.75,49%,16.1%
Rodrigo,MCI,M,7,Seanmacd,MCI 2<br/>@NOR 3 F,26.25,26.25,90%,10.3%
Moussa Djenepo,SOU,M,8,FA,SOU 1<br/>@SHU 0 F,25.45,25.45,14%,-13%
Sadio Mane,LIV,"M,F",9,Seanmacd,NEW 1<br/>@LIV 3 F,25.25,25.25,100%,0%
Fikayo Tomori,CHE,D,10,FA,CHE 5<br/>@WOL 2 F,25.15,25.15,12%,5.4%
Mason Mount,CHE,M,11,Seanmacd,CHE 5<br/>@WOL 2 F,25.1,25.1,93%,-7.2%
Hugo Lloris,TOT,G,12,Eoghanoc,CRY 0<br/>@TOT 4 F,24.25,24.25,99%,-0.7%
Pierre-Emerick Aubameyang,ARS,F,13,ColmOF,ARS 2<br/>@WAT 2 F,23.1,23.1,100%,-0.1%
Toby Alderweireld,TOT,D,14,Damo,CRY 0<br/>@TOT 4 F,22.9,22.9,82%,-4.7%
Callum Wilson,BOU,F,15,Eoghanoc,EVE 1<br/>@BOU 3 F,22.75,22.75,99%,-0.7%
Lukasz Fabianski,WHU,G,16,FA,WHU 0<br/>@AVL 0 F,22.5,22.5,80%,-6.3%
Roberto Firmino,LIV,"M,F",17,Eoghanoc,NEW 1<br/>@LIV 3 F,22.25,22.25,100%,0%
Tom Cleverley,WAT,M,18,FA,ARS 2<br/>@WAT 2 F,22.25,22.25,6%,-7.6%
Solly March,BHA,"M,F",19,FA,BUR 1<br/>@BHA 1 F,20.7,20.7,62%,8.9%
Bernardo Silva,MCI,"M,F",20,mcavinur,MCI 2<br/>@NOR 3 F,20.5,20.5,100%,-0.1%
Christian Atsu,NEW,M,21,FA,NEW 1<br/>@LIV 3 F,20.5,20.5,33%,-13.9%
Angus Gunn,SOU,G,22,FA,SOU 1<br/>@SHU 0 F,20.25,20.25,25%,11.7%
Teemu Pukki,NOR,F,23,ColmOF,MCI 2<br/>@NOR 3 F,19.85,19.85,99%,-1.1%
Frederic Guilbert,AVL,D,24,FA,WHU 0<br/>@AVL 0 F,19.85,19.85,16%,2.9%
Andrew Robertson,LIV,D,25,mcavinur,NEW 1<br/>@LIV 3 F,19.8,19.8,100%,-0.1%
Sofiane Boufal,SOU,M,26,FA,SOU 1<br/>@SHU 0 F,19.75,19.75,11%,-9.4%
Joao Moutinho,WOL,M,27,ZKL,CHE 5<br/>@WOL 2 F,19.5,19.5,98%,5.2%
Mohamed Salah,LIV,F,28,Damo,NEW 1<br/>@LIV 3 F,19,19,100%,0%
Kenny McLean,NOR,M,29,FA,MCI 2<br/>@NOR 3 F,18.7,18.7,1%,0.9%
Erik Lamela,TOT,M,30,Eoghanoc,CRY 0<br/>@TOT 4 F,18.35,18.35,87%,-6.6%
Jorginho,CHE,M,31,MKFC,CHE 5<br/>@WOL 2 F,17.75,17.75,55%,-11.9%
Ashley Young,MUN,D,32,FA,LEI 0<br/>@MUN 1 F,17.7,17.7,37%,-16.7%
Ryan Fredericks,WHU,D,33,FA,WHU 0<br/>@AVL 0 F,17.4,17.4,5%,4.7%
Sergio Aguero,MCI,F,34,ZKL,MCI 2<br/>@NOR 3 F,17,17,100%,-0.1%
David de Gea,MUN,G,35,Seanmacd,LEI 0<br/>@MUN 1 F,17,17,99%,-1.5%
Cedric Soares (prior),SOU,D,36,FA,SOU 1<br/>@SHU 0 F,17,17,4%,-9.6%
Harry Maguire,MUN,D,37,ColmOF,LEI 0<br/>@MUN 1 F,16.95,16.95,100%,-0.2%
Bernd Leno,ARS,G,38,Damo,ARS 2<br/>@WAT 2 F,16.75,16.75,84%,-9.2%
Diego Rico,BOU,D,39,FA,EVE 1<br/>@BOU 3 F,16.55,16.55,2%,2.2%
Issa Diop,WHU,D,40,FA,WHU 0<br/>@AVL 0 F,16.4,16.4,29%,-24.4%
Trent Alexander-Arnold,LIV,D,41,ColmOF,NEW 1<br/>@LIV 3 F,16.3,16.3,100%,0%
Dean Henderson,SHU,G,42,FA,SOU 1<br/>@SHU 0 F,16,16,16%,-3.9%
Tim Krul,NOR,G,43,FA,MCI 2<br/>@NOR 3 F,16,16,6%,5.8%
Marcus Rashford,MUN,F,44,ColmL,LEI 0<br/>@MUN 1 F,15.95,15.95,100%,0%
Jannik Vestergaard,SOU,D,45,MKFC,SOU 1<br/>@SHU 0 F,15.85,15.85,74%,-6.2%
Ainsley Maitland-Niles,ARS,M,46,ZKL,ARS 2<br/>@WAT 2 F,15.6,15.6,74%,-12.3%
Bjorn Engels,AVL,D,47,FA,WHU 0<br/>@AVL 0 F,15.6,15.6,8%,-4.9%
Marcos Alonso,CHE,D,48,FA,CHE 5<br/>@WOL 2 F,15.3,15.3,74%,7.2%
Jetro Willems,NEW,D,49,FA,NEW 1<br/>@LIV 3 F,15.25,15.25,2%,-4.2%
Raheem Sterling,MCI,F,50,ColmL,MCI 2<br/>@NOR 3 F,15,15,100%,0%
Kasper Schmeichel,LEI,G,51,MKFC,LEI 0<br/>@MUN 1 F,15,15,74%,-12.9%
Victor Lindelof,MUN,D,52,FA,LEI 0<br/>@MUN 1 F,14.9,14.9,68%,-18.2%
Harry Kane,TOT,F,53,MKFC,CRY 0<br/>@TOT 4 F,14.85,14.85,100%,0%
Oliver Norwood,SHU,M,54,ZKL,SOU 1<br/>@SHU 0 F,14.8,14.8,65%,-8.7%
Todd Cantwell,NOR,M,55,FA,MCI 2<br/>@NOR 3 F,14.6,14.6,79%,5.8%
Aaron Wan-Bissaka,MUN,D,56,MKFC,LEI 0<br/>@MUN 1 F,14.5,14.5,100%,-0.3%
Nick Pope,BUR,G,57,ZKL,BUR 1<br/>@BHA 1 F,14.5,14.5,83%,-4.1%
Pierre-Emile Hojbjerg,SOU,M,58,FA,SOU 1<br/>@SHU 0 F,14.45,14.45,38%,-22.1%
Dominic Calvert-Lewin,EVE,F,59,FA,EVE 1<br/>@BOU 3 F,14.45,14.45,30%,3%
Scott McTominay,MUN,M,60,FA,LEI 0<br/>@MUN 1 F,14.3,14.3,40%,-27%
Tyrone Mings,AVL,D,61,mcavinur,WHU 0<br/>@AVL 0 F,14.25,14.25,74%,-6.2%
Richarlison,EVE,"M,F",62,ColmL,EVE 1<br/>@BOU 3 F,14,14,100%,-0.2%
Jeff Hendrick,BUR,M,63,FA,BUR 1<br/>@BHA 1 F,14,14,1%,1.1%
Jan Bednarek,SOU,D,64,Seanmacd,SOU 1<br/>@SHU 0 F,13.8,13.8,10%,-3.8%
Patrick Cutrone,WOL,F,65,FA,CHE 5<br/>@WOL 2 F,13.75,13.75,20%,-13.1%
Maya Yoshida,SOU,D,66,FA,SOU 1<br/>@SHU 0 F,13.7,13.7,2%,-5.1%
Gabriel Jesus,MCI,F,67,mcavinur,MCI 2<br/>@NOR 3 F,13.5,13.5,97%,-3.1%
Abdoulaye Doucoure,WAT,M,68,FA,ARS 2<br/>@WAT 2 F,13.5,13.5,79%,-0.8%
Etienne Capoue,WAT,M,69,FA,ARS 2<br/>@WAT 2 F,13.45,13.45,24%,-23.1%
Jan Vertonghen,TOT,D,70,FA,CRY 0<br/>@TOT 4 F,13.3,13.3,64%,-2.3%
Pascal Gross,BHA,M,71,ColmL,BUR 1<br/>@BHA 1 F,13.25,13.25,83%,2.8%
Declan Rice,WHU,M,72,MKFC,WHU 0<br/>@AVL 0 F,13.1,13.1,42%,-11.7%
Roberto Pereyra,WAT,M,73,FA,ARS 2<br/>@WAT 2 F,13,13,48%,1.7%
Granit Xhaka,ARS,M,74,FA,ARS 2<br/>@WAT 2 F,13,13,47%,-19.3%
Tom Heaton,AVL,G,75,mcavinur,WHU 0<br/>@AVL 0 F,13,13,29%,1.8%
Felipe Anderson,WHU,M,76,ZKL,WHU 0<br/>@AVL 0 F,12.75,12.75,100%,-0.4%
Neil Taylor,AVL,D,77,FA,WHU 0<br/>@AVL 0 F,12.75,12.75,2%,2.2%
Neal Maupay,BHA,F,78,FA,BUR 1<br/>@BHA 1 F,12.5,12.5,30%,3.1%
Angelo Ogbonna,WHU,D,79,FA,WHU 0<br/>@AVL 0 F,12.4,12.4,4%,-2.6%
Anwar El Ghazi,AVL,M,80,FA,WHU 0<br/>@AVL 0 F,12.35,12.35,12%,-21.2%
Martin Dubravka,NEW,G,81,FA,NEW 1<br/>@LIV 3 F,12.25,12.25,26%,-7.3%
Ryan Fraser,BOU,M,82,Seanmacd,EVE 1<br/>@BOU 3 F,12.2,12.2,97%,-2.6%
Isaac Hayden,NEW,M,83,FA,NEW 1<br/>@LIV 3 F,12.1,12.1,27%,7.1%
Danny Rose (prior),TOT,"D,M",84,FA,CRY 0<br/>@TOT 4 F,11.8,11.8,86%,6.1%
Arthur Masuaku,WHU,D,85,ColmOF,WHU 0<br/>@AVL 0 F,11.75,11.75,69%,-4.1%
Aaron Ramsdale,BOU,G,86,FA,EVE 1<br/>@BOU 3 F,11.75,11.75,4%,-2.2%
Erik Pieters,BUR,D,87,Seanmacd,BUR 1<br/>@BHA 1 F,11.7,11.7,74%,-5.7%
Wilfred Ndidi,LEI,M,88,ZKL,LEI 0<br/>@MUN 1 F,11.5,11.5,96%,9.7%
John McGinn,AVL,M,89,ColmL,WHU 0<br/>@AVL 0 F,11.5,11.5,92%,-1.5%
Joel Matip,LIV,D,90,ZKL,NEW 1<br/>@LIV 3 F,11.4,11.4,98%,-1.9%
Jack Grealish,AVL,M,91,mcavinur,WHU 0<br/>@AVL 0 F,11.35,11.35,97%,-2.6%
Luka Milivojevic,CRY,M,92,Seanmacd,CRY 0<br/>@TOT 4 F,11.35,11.35,96%,-4.3%
Marvelous Nakamba,AVL,M,93,FA,WHU 0<br/>@AVL 0 F,11.35,11.35,1%,1.1%
Davy Propper,BHA,M,94,FA,BUR 1<br/>@BHA 1 F,11.25,11.25,45%,11.5%
Michy Batshuayi,CHE,F,95,FA,CHE 5<br/>@WOL 2 F,10.75,10.75,14%,1.1%
David McGoldrick,SHU,F,96,FA,SOU 1<br/>@SHU 0 F,10.7,10.7,7%,-6.5%
Sam Byram,NOR,D,97,FA,MCI 2<br/>@NOR 3 F,10.6,10.6,1%,0.6%
