"Player","Team","Position","Rk","Status","Opponent","FPts","FP/G","% Owned"
"Nicolas Pepe","ARS","M,F","1","mcavinur","NEW 0<br/>@ARS 4 F","38.5","38.5","-"
"Kevin De Bruyne","MCI","M","2","Eoghanoc","WHU 0<br/>@MCI 2 F","32.25","32.25","-"
"Harry Maguire","MUN","D","3","MKFC","MUN 2<br/>@CHE 0 F","28.95","28.95","-"
"Son Heung-Min","TOT","M,F","4","Damo","TOT 3<br/>@AVL 2 F","28.95","28.95","-"
"Richarlison","EVE","M,F","5","ColmL","CRY 1<br/>@EVE 3 F","26.35","26.35","-"
"Dominic Calvert-Lewin","EVE","F","6","MKFC","CRY 1<br/>@EVE 3 F","23.1","23.1","-"
"Jonny","WOL","D,M","7","ColmOF","LEI 0<br/>@WOL 0 F","22.55","22.55","-"
"Aaron Wan-Bissaka","MUN","D","8","MKFC","MUN 2<br/>@CHE 0 F","22.55","22.55","-"
"Etienne Capoue","WAT","M","9","FA","WAT 1<br/>@BHA 1 F","21.35","21.35","-"
"Pepe Reina","LIV/AVL","G","10","FA","TOT 3<br/>@AVL 2 F","20.5","20.5","-"
"Pierre-Emerick Aubameyang","ARS","M,F","11","ColmOF","NEW 0<br/>@ARS 4 F","19.95","19.95","-"
"Ashley Westwood","BUR","M","12","MKFC","BUR 2<br/>@SOU 1 F","19.35","19.35","-"
"Mesut Ozil","ARS","M","13","FA","NEW 0<br/>@ARS 4 F","19.25","19.25","-"
"Trent Alexander-Arnold","LIV","D","14","ColmOF","LIV 1<br/>@NOR 0 F","18.85","18.85","-"
"Matej Vydra","BUR","F","15","FA","BUR 2<br/>@SOU 1 F","18.35","18.35","-"
"Jonny Evans","LEI","D","16","Damo","LEI 0<br/>@WOL 0 F","18","18","-"
"Rodrigo","MCI","M","17","mcavinur","WHU 0<br/>@MCI 2 F","17.85","17.85","-"
"Andrew Robertson","LIV","D","18","mcavinur","LIV 1<br/>@NOR 0 F","17.85","17.85","-"
"Lucas Moura","TOT","M,F","19","mcavinur","TOT 3<br/>@AVL 2 F","17.85","17.85","-"
"Christian Benteke","CRY","F","20","FA","CRY 1<br/>@EVE 3 F","17.7","17.7","-"
"Jordan Henderson","LIV","M","21","Eoghanoc","LIV 1<br/>@NOR 0 F","17.6","17.6","-"
"Caglar Soyuncu","LEI","D","22","FA","LEI 0<br/>@WOL 0 F","17.6","17.6","-"
"Kyle Walker","MCI","D","23","ColmOF","WHU 0<br/>@MCI 2 F","17.55","17.55","-"
"Alexandre Lacazette","ARS","F","24","ColmL","NEW 0<br/>@ARS 4 F","17.5","17.5","-"
"Rui Patricio","WOL","G","25","Damo","LEI 0<br/>@WOL 0 F","17.5","17.5","-"
"Bjorn Engels","AVL","D","26","FA","TOT 3<br/>@AVL 2 F","17.4","17.4","-"
"Billy Sharp","SHU","F","27","FA","BOU 1<br/>@SHU 2 F","17.35","17.35","-"
"Eric Bailly","MUN","D","28","FA","MUN 2<br/>@CHE 0 F","17.3","17.3","-"
"Bernard","EVE","M,F","29","FA","CRY 1<br/>@EVE 3 F","17.25","17.25","-"
"Jack Grealish","AVL","M,F","30","mcavinur","TOT 3<br/>@AVL 2 F","17.25","17.25","-"
"Gabriel Jesus","MCI","F","31","MAX","WHU 0<br/>@MCI 2 F","17.1","17.1","-"
"Lucas Digne","EVE","D","32","ColmOF","CRY 1<br/>@EVE 3 F","17.05","17.05","-"
"Kasper Schmeichel","LEI","G","33","MKFC","LEI 0<br/>@WOL 0 F","17","17","-"
"Ricardo Pereira","LEI","D","34","FA","LEI 0<br/>@WOL 0 F","16.95","16.95","-"
"Willy Boly","WOL","D","35","mcavinur","LEI 0<br/>@WOL 0 F","16.85","16.85","-"
"Abdoulaye Doucoure","WAT","M","36","Damo","WAT 1<br/>@BHA 1 F","16.6","16.6","-"
"Bernardo Silva","MCI","M,F","37","mcavinur","WHU 0<br/>@MCI 2 F","16.5","16.5","-"
"Brandon Williams","MUN","D","38","FA","MUN 2<br/>@CHE 0 F","16.45","16.45","-"
"Nicolas Otamendi","MCI","D","39","FA","WHU 0<br/>@MCI 2 F","16.3","16.3","-"
"Ben Chilwell","LEI","D","40","Eoghanoc","LEI 0<br/>@WOL 0 F","16.2","16.2","-"
"Bruno Fernandes","MUN","M","41","MKFC","MUN 2<br/>@CHE 0 F","16.1","16.1","-"
"Bukayo Saka","ARS","D,M,F","42","FA","NEW 0<br/>@ARS 4 F","15.85","15.85","-"
"Luke Shaw","MUN","D","43","FA","MUN 2<br/>@CHE 0 F","15.75","15.75","-"
"Matt Doherty","WOL","D,M","44","Damo","LEI 0<br/>@WOL 0 F","15.5","15.5","-"
"Danny Ings","SOU","F","45","Damo","BUR 2<br/>@SOU 1 F","15.5","15.5","-"
"Allan Saint-Maximin","NEW","M,F","46","MAX","NEW 0<br/>@ARS 4 F","15.5","15.5","-"
"Bernd Leno","ARS","G","47","FA","NEW 0<br/>@ARS 4 F","15","15","-"
"Wilfried Zaha","CRY","M,F","48","ColmOF","CRY 1<br/>@EVE 3 F","15","15","-"
"Callum Wilson","BOU","F","49","FA","BOU 1<br/>@SHU 2 F","14.6","14.6","-"
"Davinson Sanchez","TOT","D","50","FA","TOT 3<br/>@AVL 2 F","14.5","14.5","-"
"Oliver McBurnie","SHU","F","51","mcavinur","BOU 1<br/>@SHU 2 F","14.45","14.45","-"
"John Egan","SHU","D","52","Damo","BOU 1<br/>@SHU 2 F","14.2","14.2","-"
"Benjamin Mendy","MCI","D","53","ColmOF","WHU 0<br/>@MCI 2 F","14.2","14.2","-"
"Hector Bellerin","ARS","D","54","FA","NEW 0<br/>@ARS 4 F","14","14","-"
"Alisson","LIV","G","55","Damo","LIV 1<br/>@NOR 0 F","14","14","-"
"Shkodran Mustafi","ARS","D","56","FA","NEW 0<br/>@ARS 4 F","13.85","13.85","-"
"David Luiz","ARS","D","57","ColmL","NEW 0<br/>@ARS 4 F","13.5","13.5","-"
"Virgil van Dijk","LIV","D","58","RBF","LIV 1<br/>@NOR 0 F","13.35","13.35","-"
"Lukasz Fabianski","WHU","G","59","ColmOF","WHU 0<br/>@MCI 2 F","13","13","-"
"Tim Krul","NOR","G","60","FA","LIV 1<br/>@NOR 0 F","13","13","-"
"David de Gea","MUN","G","61","FA","MUN 2<br/>@CHE 0 F","13","13","-"
"Conor Coady","WOL","D","62","FA","LEI 0<br/>@WOL 0 F","12.9","12.9","-"
"Ben Davies","TOT","D","63","ColmOF","TOT 3<br/>@AVL 2 F","12.9","12.9","-"
"Harry Wilson","BOU","M","64","FA","BOU 1<br/>@SHU 2 F","12.85","12.85","-"
"Joseph Gomez","LIV","D","65","mcavinur","LIV 1<br/>@NOR 0 F","12.8","12.8","-"
"Mateo Kovacic","CHE","M","66","FA","MUN 2<br/>@CHE 0 F","12.8","12.8","-"
"Douglas Luiz","AVL","M","67","MAX","TOT 3<br/>@AVL 2 F","12.8","12.8","-"
"Luka Milivojevic","CRY","M","68","RBF","CRY 1<br/>@EVE 3 F","12.55","12.55","-"
"Chris Basham","SHU","D","69","RBF","BOU 1<br/>@SHU 2 F","12.05","12.05","-"
"Steven Bergwijn","TOT","F","70","Damo","TOT 3<br/>@AVL 2 F","12","12","-"
"Vicente Guaita","CRY","G","71","FA","CRY 1<br/>@EVE 3 F","12","12","-"
"Naby Keita","LIV","M","72","Damo","LIV 1<br/>@NOR 0 F","12","12","-"
"James McArthur","CRY","M","73","RBF","CRY 1<br/>@EVE 3 F","11.95","11.95","-"
"Alex McCarthy","SOU","G","74","FA","BUR 2<br/>@SOU 1 F","11.75","11.75","-"
"Matt Targett","AVL","D,M","75","FA","TOT 3<br/>@AVL 2 F","11.75","11.75","-"
"Kenny McLean","NOR","M","76","FA","LIV 1<br/>@NOR 0 F","11.65","11.65","-"
"Grant Hanley","NOR","D","77","FA","LIV 1<br/>@NOR 0 F","11.6","11.6","-"
"Joelinton","NEW","F","78","FA","NEW 0<br/>@ARS 4 F","11.5","11.5","-"
"Fred","MUN","M","79","RBF","MUN 2<br/>@CHE 0 F","11.5","11.5","-"
"Youri Tielemans","LEI","M","80","FA","LEI 0<br/>@WOL 0 F","11.5","11.5","-"
"Declan Rice","WHU","M","81","MKFC","WHU 0<br/>@MCI 2 F","11.35","11.35","-"
"Toby Alderweireld","TOT","D","82","FA","TOT 3<br/>@AVL 2 F","11.3","11.3","-"
"Eric Dier","TOT","D,M","83","FA","TOT 3<br/>@AVL 2 F","11.2","11.2","-"
"Todd Cantwell","NOR","M","84","FA","LIV 1<br/>@NOR 0 F","11.1","11.1","-"
"Ederson","MCI","G","85","ColmL","WHU 0<br/>@MCI 2 F","11","11","-"
"Aymeric Laporte","MCI","D","86","FA","WHU 0<br/>@MCI 2 F","10.9","10.9","-"
"John Lundstram","SHU","D,M","87","Eoghanoc","BOU 1<br/>@SHU 2 F","10.75","10.75","-"
"Mark Noble","WHU","M","88","FA","WHU 0<br/>@MCI 2 F","10.75","10.75","-"
"Davy Propper","BHA","M","89","FA","WAT 1<br/>@BHA 1 F","10.75","10.75","-"
"Ryan Bertrand","SOU","D,M","90","ColmOF","BUR 2<br/>@SOU 1 F","10.65","10.65","-"
"Dwight McNeil","BUR","M","91","Eoghanoc","BUR 2<br/>@SOU 1 F","10.65","10.65","-"
"Gylfi Sigurdsson","EVE","M","92","ColmOF","CRY 1<br/>@EVE 3 F","10.6","10.6","-"
"Anthony Martial","MUN","F","93","RBF","MUN 2<br/>@CHE 0 F","10.35","10.35","-"
"Kortney Hause","AVL","D","94","FA","TOT 3<br/>@AVL 2 F","10.3","10.3","-"
"Anwar El Ghazi","AVL","M,F","95","FA","TOT 3<br/>@AVL 2 F","10.25","10.25","-"
"Hugo Lloris","TOT","G","96","FA","TOT 3<br/>@AVL 2 F","10.25","10.25","-"
"Solly March","BHA","M,F","97","FA","WAT 1<br/>@BHA 1 F","10.25","10.25","-"
"Theo Walcott","EVE","M,F","98","FA","CRY 1<br/>@EVE 3 F","10.25","10.25","-"
