"Player","Team","Position","Rk","Status","Opponent","FPts","FP/G","% Owned","+/-"
"Marcus Rashford","MUN","M,F","1","ColmL","TOT 1<br/>@MUN 2 F","31.5","31.5","100%","0%"
"Sadio Mane","LIV","M,F","2","RSC","EVE 2<br/>@LIV 5 F","31.25","31.25","100%","0%"
"Serge Aurier","TOT","D","3","ZKL","TOT 1<br/>@MUN 2 F","25.15","25.15","92%","+0.2%"
"Martin Dubravka","NEW","G","4","RSC","NEW 2<br/>@SHU 0 F","24.75","24.75","61%","+2.5%"
"Bernardo Silva","MCI","M,F","5","mcavinur","MCI 4<br/>@BUR 1 F","23.75","23.75","100%","0%"
"Javier Manquillo","NEW","D","6","W (Tue)","NEW 2<br/>@SHU 0 F","23.75","23.75","2%","-0.8%"
"Tammy Abraham","CHE","F","7","Damo","AVL 1<br/>@CHE 2 F","23.55","23.55","98%","0%"
"Gabriel Jesus","MCI","F","8","mcavinur","MCI 4<br/>@BUR 1 F","23.5","23.5","99%","-0.7%"
"Pierre-Emile Hojbjerg","SOU","M","9","MKFC","NOR 1<br/>@SOU 2 F","23.25","23.25","70%","+4.1%"
"Divock Origi","LIV","F","10","FA","EVE 2<br/>@LIV 5 F","23","23","36%","+0.4%"
"Jeffrey Schlupp","CRY","D,M","11","ColmL","BOU 0<br/>@CRY 1 F","22.3","22.3","33%","-0.9%"
"Aaron Mooy","BHA","M,F","12","W (Tue)","BHA 2<br/>@ARS 1 F","22.15","22.15","20%","+4.7%"
"David Silva","MCI","M","13","ZKL","MCI 4<br/>@BUR 1 F","21.85","21.85","100%","+0.2%"
"James Maddison","LEI","M","14","Damo","WAT 0<br/>@LEI 2 F","21.5","21.5","100%","0%"
"Joao Moutinho","WOL","M","15","ZKL","WHU 0<br/>@WOL 2 F","21.1","21.1","99%","0%"
"Ricardo Pereira","LEI","D","16","mcavinur","WAT 0<br/>@LEI 2 F","21.05","21.05","100%","+0.1%"
"Rodrigo","MCI","M","17","RSC","MCI 4<br/>@BUR 1 F","20.9","20.9","93%","-0.2%"
"Felipe Anderson","WHU","M","18","ZKL","WHU 0<br/>@WOL 2 F","20.85","20.85","98%","+1.3%"
"Jonjo Shelvey","NEW","M","19","MKFC","NEW 2<br/>@SHU 0 F","20.85","20.85","72%","+2.3%"
"Leander Dendoncker","WOL","D,M","20","W (Tue)","WHU 0<br/>@WOL 2 F","20.35","20.35","14%","+0.5%"
"Adam Webster","BHA","D","21","mcavinur","BHA 2<br/>@ARS 1 F","20.15","20.15","18%","+3.4%"
"Jonny Evans","LEI","D","22","mcavinur","WAT 0<br/>@LEI 2 F","20.05","20.05","87%","+0.8%"
"Georginio Wijnaldum","LIV","M","23","FA","EVE 2<br/>@LIV 5 F","20.05","20.05","65%","+1.4%"
"Jonny","WOL","D,M","24","ColmOF","WHU 0<br/>@WOL 2 F","19.6","19.6","84%","-0.5%"
"James Ward-Prowse","SOU","M","25","Damo","NOR 1<br/>@SOU 2 F","19.45","19.45","98%","+0.1%"
"Christian Fuchs","LEI","D","26","W (Tue)","WAT 0<br/>@LEI 2 F","19.25","19.25","8%","+6.1%"
"Dele Alli","TOT","M","27","ColmL","TOT 1<br/>@MUN 2 F","19","19","100%","+0.1%"
"Vicente Guaita","CRY","G","28","mcavinur","BOU 0<br/>@CRY 1 F","18.5","18.5","64%","-1.1%"
"Tom Heaton","AVL","G","29","W (Tue)","AVL 1<br/>@CHE 2 F","18.5","18.5","25%","+2.4%"
"Rui Patricio","WOL","G","30","Damo","WHU 0<br/>@WOL 2 F","18.25","18.25","58%","-1.5%"
"Federico Fernandez","NEW","D","31","ColmOF","NEW 2<br/>@SHU 0 F","18","18","30%","-2.1%"
"Danny Ings","SOU","F","32","Damo","NOR 1<br/>@SOU 2 F","17.75","17.75","97%","+0.4%"
"Richarlison","EVE","M,F","33","ColmL","EVE 2<br/>@LIV 5 F","17.3","17.3","100%","-0.1%"
"Shane Long","SOU","F","34","W (Tue)","NOR 1<br/>@SOU 2 F","17.25","17.25","6%","-1.2%"
"Martin Kelly","CRY","D","35","W (Tue)","BOU 0<br/>@CRY 1 F","17.1","17.1","46%","-3.7%"
"Willian","CHE","M,F","36","ZKL","AVL 1<br/>@CHE 2 F","17","17","99%","0%"
"Matt Doherty","WOL","D,M","37","Damo","WHU 0<br/>@WOL 2 F","16.85","16.85","97%","0%"
"Alexandre Lacazette","ARS","F","38","ColmL","BHA 2<br/>@ARS 1 F","16.75","16.75","99%","-0.1%"
"Dejan Lovren","LIV","D","39","FA","EVE 2<br/>@LIV 5 F","16.55","16.55","18%","-3.1%"
"Bernd Leno","ARS","G","40","ColmOF","BHA 2<br/>@ARS 1 F","16.5","16.5","87%","-0.5%"
"Ryan Bertrand","SOU","D,M","41","W (Tue)","NOR 1<br/>@SOU 2 F","16.4","16.4","16%","+1.7%"
"Ahmed El Mohamady","AVL","D","42","W (Tue)","AVL 1<br/>@CHE 2 F","16.4","16.4","6%","-0.2%"
"Xherdan Shaqiri","LIV","M,F","43","FA","EVE 2<br/>@LIV 5 F","16.25","16.25","14%","-1.2%"
"Neal Maupay","BHA","F","44","W (Tue)","BHA 2<br/>@ARS 1 F","16.05","16.05","62%","+1.5%"
"NGolo Kante","CHE","M","45","ColmOF","AVL 1<br/>@CHE 2 F","16","16","95%","-0.4%"
"John McGinn","AVL","M","46","ColmL","AVL 1<br/>@CHE 2 F","15.75","15.75","65%","-3.2%"
"Trezeguet","AVL","M,F","47","W (Tue)","AVL 1<br/>@CHE 2 F","15.7","15.7","26%","-8%"
"Diego Rico","BOU","D","48","ZKL","BOU 0<br/>@CRY 1 F","15.4","15.4","77%","+1.5%"
"Trent Alexander-Arnold","LIV","D","49","ColmOF","EVE 2<br/>@LIV 5 F","15","15","100%","0%"
"Teemu Pukki","NOR","F","50","ColmOF","NOR 1<br/>@SOU 2 F","15","15","98%","-0.2%"
"James McArthur","CRY","M","51","W (Tue)","BOU 0<br/>@CRY 1 F","14.6","14.6","72%","-0.8%"
"Adama Traore","WOL","F","52","MKFC","WHU 0<br/>@WOL 2 F","14.5","14.5","88%","+1.3%"
