"Player","Team","Position","Rk","Status","Opponent","FPts","FP/G","% Owned"
"Phil Foden","MCI","M,F","1","ColmOF","ARS 0<br/>@MCI 3 F","39.1","19.55","-"
"Kortney Hause","AVL","D","2","FA","SHU 0<br/>@AVL 0 F","35.6","17.8","-"
"Kevin De Bruyne","MCI","M","3","Eoghanoc","ARS 0<br/>@MCI 3 F","34","17","-"
"Dean Henderson","SHU","G","4","Eoghanoc","SHU 0<br/>@AVL 0 F","32","16","-"
"Riyad Mahrez","MCI","M,F","5","ColmOF","ARS 0<br/>@MCI 3 F","32","16","-"
"Matt Ritchie","NEW","D,M","6","ColmL","SHU 0<br/>@NEW 3 F","27.6","27.6","-"
"Chris Basham","SHU","D","7","RBF","SHU 0<br/>@AVL 0 F","27.55","13.77","-"
"Matt Targett","AVL","D,M","8","FA","SHU 0<br/>@AVL 0 F","27.4","13.7","-"
"Stuart Armstrong","SOU","M,F","9","mcavinur","SOU 3<br/>@NOR 0 F","26.8","26.8","-"
"Bernardo Silva","MCI","M,F","10","mcavinur","ARS 0<br/>@MCI 3 F","26.5","13.25","-"
"David Silva","MCI","M","11","MAX","ARS 0<br/>@MCI 3 F","26","13","-"
"Danny Ings","SOU","F","12","Damo","SOU 3<br/>@NOR 0 F","25.35","25.35","-"
"Nathan Redmond","SOU","M,F","13","Eoghanoc","SOU 3<br/>@NOR 0 F","25.25","25.25","-"
"Jack Robinson","QPR/SHU","D","14","FA","SHU 0<br/>@AVL 0 F","24.45","12.22","-"
"Matt Doherty","WOL","D,M","15","Damo","WOL 2<br/>@WHU 0 F","23.7","23.7","-"
"Tyrone Mings","AVL","D","16","FA","SHU 0<br/>@AVL 0 F","23.3","11.65","-"
"Cesar Azpilicueta","CHE","D","17","RBF","CHE 2<br/>@AVL 1 F","23.15","23.15","-"
"Enda Stevens","SHU","D,M","18","MKFC","SHU 0<br/>@AVL 0 F","23.1","11.55","-"
"George Baldock","SHU","D,M","19","ColmL","SHU 0<br/>@AVL 0 F","22.95","11.48","-"
