"Player","Team","Position","Rk","Status","Opponent","FPts","FP/G","% Owned","+/-"
"Martin Montoya","BHA","D","1","W (Tue)","NOR 0<br/>@BHA 2 F","30.8","30.8","22%","+1.5%"
"Lys Mousset","SHU","F","2","FA","BUR 0<br/>@SHU 3 F","29","29","35%","+0.3%"
"John Lundstram","SHU","D,M","3","ColmOF","BUR 0<br/>@SHU 3 F","28.6","28.6","85%","-3.1%"
"James Maddison","LEI","M","4","Damo","LEI 2<br/>@CRY 0 F","27.25","27.25","100%","0%"
"Sadio Mane","LIV","M,F","5","RSC","LIV 2<br/>@AVL 1 F","24.5","24.5","100%","0%"
"Caglar Soyuncu","LEI","D","6","Damo","LEI 2<br/>@CRY 0 F","24.25","24.25","90%","-0.6%"
"Kyle Walker","MCI","D","7","W (Tue)","SOU 1<br/>@MCI 2 F","23","23","90%","-0.7%"
"Leandro Trossard","BHA","M,F","8","W (Tue)","NOR 0<br/>@BHA 2 F","22.25","22.25","61%","+1.4%"
"John McGinn","AVL","M","9","ColmL","LIV 2<br/>@AVL 1 F","22.15","22.15","65%","-3.2%"
"Raul Jimenez","WOL","F","10","Eoghanoc","WOL 1<br/>@ARS 1 F","22.1","22.1","100%","0%"
"James Ward-Prowse","SOU","M","11","Damo","SOU 1<br/>@MCI 2 F","21.7","21.7","98%","+0.1%"
"Adam Smith","BOU","D","12","W (Tue)","MUN 0<br/>@BOU 1 F","21.65","21.65","5%","-0.2%"
"Serge Aurier","TOT","D","13","ZKL","TOT 1<br/>@EVE 1 F","20.8","20.8","92%","+0.2%"
"Joao Moutinho","WOL","M","14","ZKL","WOL 1<br/>@ARS 1 F","20.75","20.75","99%","0%"
"Lewis Dunk","BHA","D","15","RSC","NOR 0<br/>@BHA 2 F","20.65","20.65","72%","+1.6%"
"John Fleck","SHU","M","16","mcavinur","BUR 0<br/>@SHU 3 F","20.5","20.5","76%","-2.4%"
"Diego Rico","BOU","D","17","ZKL","MUN 0<br/>@BOU 1 F","20.45","20.45","77%","+1.5%"
"Tammy Abraham","CHE","F","18","Damo","CHE 2<br/>@WAT 1 F","20.25","20.25","98%","0%"
"Gerard Deulofeu","WAT","M,F","19","W (Tue)","CHE 2<br/>@WAT 1 F","19.85","19.85","94%","+1.5%"
"Jetro Willems","NEW","D","20","MKFC","NEW 3<br/>@WHU 2 F","19.85","19.85","60%","+1.6%"
"Robert Snodgrass","WHU","M","21","W (Tue)","NEW 3<br/>@WHU 2 F","19.75","19.75","43%","-1.9%"
"Joshua King","BOU","M,F","22","W (Tue)","MUN 0<br/>@BOU 1 F","19.7","19.7","97%","-0.4%"
