"Player","Team","Position","Rk","Status","Opponent","FPts","FP/G","% Owned"
"Michail Antonio","WHU","M,F","1","MAX","WHU 4<br/>@NOR 0 F","51.75","51.75","-"
"Raheem Sterling","MCI","M,F","2","ColmL","MCI 5<br/>@BHA 0 F","40.25","40.25","-"
"Gabriel Jesus","MCI","F","3","MAX","MCI 5<br/>@BHA 0 F","35","35","-"
"Anthony Martial","MUN","F","4","RBF","SOU 2<br/>@MUN 2 F","29.7","29.7","-"
"Trezeguet","AVL","M,F","5","FA","CRY 0<br/>@AVL 2 F","28.5","28.5","-"
"Troy Deeney","WAT","F","6","mcavinur","NEW 1<br/>@WAT 2 F","28","28","-"
"David McGoldrick","SHU","F","7","FA","CHE 0<br/>@SHU 3 F","27.95","27.95","-"
"Son Heung-Min","TOT","M,F","8","Damo","ARS 1<br/>@TOT 2 F","27.5","27.5","-"
"Dominic Solanke","BOU","F","9","FA","LEI 1<br/>@BOU 4 F","26.1","26.1","-"
"Bernardo Silva","MCI","M,F","10","mcavinur","MCI 5<br/>@BHA 0 F","24.25","24.25","-"
"Ruben Neves","WOL","M","11","MKFC","EVE 0<br/>@WOL 3 F","24.1","24.1","-"
"Mark Noble","WHU","M","12","FA","WHU 4<br/>@NOR 0 F","24","24","-"
"Ryan Fredericks","WHU","D","13","FA","WHU 4<br/>@NOR 0 F","22.9","22.9","-"
"Oliver McBurnie","SHU","F","14","mcavinur","CHE 0<br/>@SHU 3 F","21.45","21.45","-"
"Pepe Reina","LIV/AVL","G","15","FA","CRY 0<br/>@AVL 2 F","21.25","21.25","-"
"Dean Henderson","SHU","G","16","Eoghanoc","CHE 0<br/>@SHU 3 F","20.25","20.25","-"
"Issa Diop","WHU","D","17","FA","WHU 4<br/>@NOR 0 F","20.1","20.1","-"
"Harry Kane","TOT","F","18","MKFC","ARS 1<br/>@TOT 2 F","20","20","-"
"Enda Stevens","SHU","D,M","19","MKFC","CHE 0<br/>@SHU 3 F","19.25","19.25","-"
"Nathan Redmond","SOU","M,F","20","Eoghanoc","SOU 2<br/>@MUN 2 F","18.85","18.85","-"
"Lucas Moura","TOT","M,F","21","mcavinur","ARS 1<br/>@TOT 2 F","18.85","18.85","-"
"Jack O'Connell","SHU","D","22","MKFC","CHE 0<br/>@SHU 3 F","18.7","18.7","-"
"Willy Boly","WOL","D","23","mcavinur","EVE 0<br/>@WOL 3 F","18.65","18.65","-"
