"Player","Team","Position","Rk","Status","Opponent","FPts","FP/G","% Owned","+/-"
"Kevin De Bruyne","MCI","M","1","Eoghanoc","WAT 0<br/>@MCI 8 F","41.6","41.6","100%","-0.1%"
"Bernardo Silva","MCI","M,F","2","mcavinur","WAT 0<br/>@MCI 8 F","39.25","39.25","100%","-0.1%"
"Riyad Mahrez","MCI","M,F","3","ColmOF","WAT 0<br/>@MCI 8 F","31.75","31.75","100%","-0.2%"
"Nicolas Otamendi","MCI","D","4","Damo","WAT 0<br/>@MCI 8 F","29.85","29.85","78%","-13.2%"
"Sergio Aguero","MCI","F","5","ZKL","WAT 0<br/>@MCI 8 F","27.25","27.25","100%","0%"
"Chris Wood","BUR","F","6","FA","NOR 0<br/>@BUR 2 F","25.85","25.85","49%","-42.4%"
"David Silva","MCI","M","7","ZKL","WAT 0<br/>@MCI 8 F","25","25","100%","-0.1%"
"John McGinn","AVL","M","8","ColmL","AVL 2<br/>@ARS 3 F","24.35","24.35","94%","-6.1%"
"Aaron Cresswell","WHU","D","9","FA","MUN 0<br/>@WHU 2 F","23.25","23.25","30%","-28.2%"
"Felipe Anderson","WHU","M","10","ZKL","MUN 0<br/>@WHU 2 F","21.75","21.75","100%","-0.1%"
"Ashley Westwood","BUR","M","11","FA","NOR 0<br/>@BUR 2 F","21.5","21.5","39%","-36%"
"Adama Traore","WOL","F","12","MKFC","WOL 1<br/>@CRY 1 F","21.35","21.35","74%","-17.7%"
"Ricardo Pereira","LEI","D","13","mcavinur","TOT 1<br/>@LEI 2 F","20.85","20.85","100%","0%"
"James Maddison","LEI","M","14","Damo","TOT 1<br/>@LEI 2 F","20.25","20.25","100%","0%"
"Mat Ryan","BHA","G","15","mcavinur","BHA 0<br/>@NEW 0 F","20","20","53%","-13.7%"
"Nicolas Pepe","ARS","F","16","Seanmacd","AVL 2<br/>@ARS 3 F","19.75","19.75","96%","-4.5%"
"James Ward-Prowse","SOU","M","17","Damo","BOU 3<br/>@SOU 1 F","19.25","19.25","84%","-16.1%"
"Ederson","MCI","G","18","ColmL","WAT 0<br/>@MCI 8 F","19","19","99%","-0.8%"
