"Player","Team","Position","Rk","Status","Opponent","FPts","FP/G","% Owned"
"Pierre-Emerick Aubameyang","ARS","M,F","1","ColmOF","NOR 0<br/>@ARS 4 F","34","34","-"
"Danny Ings","SOU","F","2","Damo","SOU 3<br/>@WAT 1 F","32.5","32.5","-"
"Bruno Fernandes","MUN","M","3","MKFC","MUN 3<br/>@BHA 0 F","28","28","-"
"Kevin De Bruyne","MCI","M","4","Eoghanoc","LIV 0<br/>@MCI 4 F","27.6","27.6","-"
"Willian","CHE","M,F","5","MAX","CHE 2<br/>@WHU 3 F","27.25","27.25","-"
"Phil Foden","MCI","M,F","6","ColmOF","LIV 0<br/>@MCI 4 F","27.25","27.25","-"
"Allan Saint-Maximin","NEW","M,F","7","MAX","NEW 4<br/>@BOU 1 F","26.5","26.5","-"
"Sander Berge","SHU","M","8","FA","TOT 1<br/>@SHU 3 F","26.45","26.45","-"
"Ben Mee","BUR","D","9","Eoghanoc","BUR 1<br/>@CRY 0 F","25.15","25.15","-"
"Michail Antonio","WHU","M,F","10","MAX","CHE 2<br/>@WHU 3 F","24.25","24.25","-"
"Aaron Wan-Bissaka","MUN","D","11","MKFC","MUN 3<br/>@BHA 0 F","23.6","23.6","-"
"Mason Greenwood","MUN","M,F","12","ColmOF","MUN 3<br/>@BHA 0 F","23.25","23.25","-"
"Jarrod Bowen","HUL/WHU","M,F","13","mcavinur","CHE 2<br/>@WHU 3 F","22.85","22.85","-"
"Jonny","WOL","D,M","14","ColmOF","WOL 1<br/>@AVL 0 F","22.55","22.55","-"
"Raheem Sterling","MCI","M,F","15","ColmL","LIV 0<br/>@MCI 4 F","22.25","22.25","-"
"James Ward-Prowse","SOU","M","16","Damo","SOU 3<br/>@WAT 1 F","22","22","-"
"Tomas Soucek","WHU","M","17","mcavinur","CHE 2<br/>@WHU 3 F","21.9","21.9","-"
"James Tarkowski","BUR","D","18","Eoghanoc","BUR 1<br/>@CRY 0 F","20.35","20.35","-"
"Nick Pope","BUR","G","19","MAX","BUR 1<br/>@CRY 0 F","20.25","20.25","-"
"Ederson","MCI","G","20","ColmL","LIV 0<br/>@MCI 4 F","19.75","19.75","-"
"Leander Dendoncker","WOL","D,M","21","FA","WOL 1<br/>@AVL 0 F","18.25","18.25","-"
"Jonjo Shelvey","NEW","M","22","FA","NEW 4<br/>@BOU 1 F","17.8","17.8","-"
"Miguel Almiron","NEW","M,F","23","MKFC","NEW 4<br/>@BOU 1 F","17.75","17.75","-"
"Granit Xhaka","ARS","M","24","FA","NOR 0<br/>@ARS 4 F","17","17","-"
"Javier Manquillo","NEW","D","25","FA","NEW 4<br/>@BOU 1 F","16.9","16.9","-"
"Yves Bissouma","BHA","M,F","26","FA","MUN 3<br/>@BHA 0 F","16.75","16.75","-"
"Anthony Gordon","EVE","M,F","27","FA","LEI 1<br/>@EVE 2 F","16.75","16.75","-"
"Oliver McBurnie","SHU","F","28","mcavinur","TOT 1<br/>@SHU 3 F","16.7","16.7","-"
"Hector Bellerin","ARS","D","29","FA","NOR 0<br/>@ARS 4 F","16.5","16.5","-"
"Dan Gosling","BOU","M","30","FA","NEW 4<br/>@BOU 1 F","16","16","-"
"Benjamin Mendy","MCI","D","31","ColmOF","LIV 0<br/>@MCI 4 F","15.8","15.8","-"
"Aymeric Laporte","MCI","D","32","FA","LIV 0<br/>@MCI 4 F","15.7","15.7","-"
"Cedric Soares","SOU/ARS","D","33","FA","NOR 0<br/>@ARS 4 F","15.6","15.6","-"
"Gylfi Sigurdsson","EVE","M","34","ColmOF","LEI 1<br/>@EVE 2 F","15.6","15.6","-"
"Ezri Konsa Ngoyo","AVL","D","35","FA","WOL 1<br/>@AVL 0 F","15.45","15.45","-"
"Christian Pulisic","CHE","M,F","36","Eoghanoc","CHE 2<br/>@WHU 3 F","15.1","15.1","-"
"Charlie Taylor","BUR","D","37","Damo","BUR 1<br/>@CRY 0 F","15.05","15.05","-"
"David de Gea","MUN","G","38","FA","MUN 3<br/>@BHA 0 F","15","15","-"
"Harry Maguire","MUN","D","39","MKFC","MUN 3<br/>@BHA 0 F","14.95","14.95","-"
"Sead Kolasinac","ARS","D,M","40","FA","NOR 0<br/>@ARS 4 F","14.9","14.9","-"
"Dani Ceballos","ARS","M","41","ColmOF","NOR 0<br/>@ARS 4 F","14.75","14.75","-"
"Kelechi Iheanacho","LEI","F","42","FA","LEI 1<br/>@EVE 2 F","14.75","14.75","-"
"Richarlison","EVE","M,F","43","ColmL","LEI 1<br/>@EVE 2 F","14.75","14.75","-"
"Ashley Westwood","BUR","M","44","MKFC","BUR 1<br/>@CRY 0 F","14.7","14.7","-"
"Matt Doherty","WOL","D,M","45","Damo","WOL 1<br/>@AVL 0 F","14.65","14.65","-"
"Nabil Bentaleb","TOT/NEW","M","46","FA","NEW 4<br/>@BOU 1 F","14.5","14.5","-"
"Dwight McNeil","BUR","M","47","Eoghanoc","BUR 1<br/>@CRY 0 F","14.5","14.5","-"
"Paul Pogba","MUN","M","48","ColmL","MUN 3<br/>@BHA 0 F","14.25","14.25","-"
"Marcos Alonso","CHE","D,M","49","MKFC","CHE 2<br/>@WHU 3 F","14.2","14.2","-"
"Willy Boly","WOL","D","50","mcavinur","WOL 1<br/>@AVL 0 F","14.2","14.2","-"
"Lucas Digne","EVE","D","51","ColmOF","LEI 1<br/>@EVE 2 F","14.2","14.2","-"
"Eric Garcia","MCI","D","52","MAX","LIV 0<br/>@MCI 4 F","14.2","14.2","-"
"Erik Pieters","BUR","D","53","FA","BUR 1<br/>@CRY 0 F","14.2","14.2","-"
"Ben Osborn","SHU","M","54","FA","TOT 1<br/>@SHU 3 F","14","14","-"
"Rui Patricio","WOL","G","55","Damo","WOL 1<br/>@AVL 0 F","14","14","-"
"David Luiz","ARS","D","56","ColmL","NOR 0<br/>@ARS 4 F","13.8","13.8","-"
"Valentino Lazaro","NEW","M","57","FA","NEW 4<br/>@BOU 1 F","13.5","13.5","-"
"Chris Basham","SHU","D","58","RBF","TOT 1<br/>@SHU 3 F","13.4","13.4","-"
"Phil Bardsley","BUR","D","59","MAX","BUR 1<br/>@CRY 0 F","13.3","13.3","-"
"Kieran Tierney","ARS","D","60","FA","NOR 0<br/>@ARS 4 F","13.3","13.3","-"
"William Smallbone","SOU","M,F","61","FA","SOU 3<br/>@WAT 1 F","13.1","13.1","-"
"Harry Kane","TOT","F","62","MKFC","TOT 1<br/>@SHU 3 F","13","13","-"
"Emiliano Martinez","ARS","G","63","mcavinur","NOR 0<br/>@ARS 4 F","13","13","-"
"Son Heung-Min","TOT","M,F","64","Damo","TOT 1<br/>@SHU 3 F","13","13","-"
"Etienne Capoue","WAT","M","65","FA","SOU 3<br/>@WAT 1 F","12.7","12.7","-"
"Conor Coady","WOL","D","66","FA","WOL 1<br/>@AVL 0 F","12.35","12.35","-"
"Dwight Gayle","NEW","F","67","FA","NEW 4<br/>@BOU 1 F","12.25","12.25","-"
"N'Golo Kante","CHE","M","68","FA","CHE 2<br/>@WHU 3 F","12.25","12.25","-"
"Enda Stevens","SHU","D,M","69","MKFC","TOT 1<br/>@SHU 3 F","12.1","12.1","-"
"Josh Brownhill","BUR","M","70","FA","BUR 1<br/>@CRY 0 F","11.95","11.95","-"
"Eric Dier","TOT","D,M","71","FA","TOT 1<br/>@SHU 3 F","11.9","11.9","-"
"Victor Lindelof","MUN","D","72","FA","MUN 3<br/>@BHA 0 F","11.8","11.8","-"
"Lukasz Fabianski","WHU","G","73","ColmOF","CHE 2<br/>@WHU 3 F","11.75","11.75","-"
"Oriol Romeu","SOU","M","74","FA","SOU 3<br/>@WAT 1 F","11.7","11.7","-"
"Sean Longstaff","NEW","M","75","FA","NEW 4<br/>@BOU 1 F","11.5","11.5","-"
"Nathan Redmond","SOU","M,F","76","Eoghanoc","SOU 3<br/>@WAT 1 F","11.45","11.45","-"
"John Egan","SHU","D","77","Damo","TOT 1<br/>@SHU 3 F","11.1","11.1","-"
"Andriy Yarmolenko","WHU","M,F","78","FA","CHE 2<br/>@WHU 3 F","11.1","11.1","-"
"Marc Albrighton","LEI","M","79","FA","LEI 1<br/>@EVE 2 F","11","11","-"
"Jack Grealish","AVL","M,F","80","mcavinur","WOL 1<br/>@AVL 0 F","11","11","-"
"Joao Moutinho","WOL","M","81","MAX","WOL 1<br/>@AVL 0 F","11","11","-"
"Kyle Walker","MCI","D","82","ColmOF","LIV 0<br/>@MCI 4 F","10.85","10.85","-"
"Ben Chilwell","LEI","D","83","Eoghanoc","LEI 1<br/>@EVE 2 F","10.75","10.75","-"
"Lys Mousset","SHU","F","84","FA","TOT 1<br/>@SHU 3 F","10.75","10.75","-"
"Moussa Sissoko","TOT","M","85","FA","TOT 1<br/>@SHU 3 F","10.75","10.75","-"
"Luke Shaw","MUN","D","86","FA","MUN 3<br/>@BHA 0 F","10.65","10.65","-"
"Rodrigo","MCI","M","87","mcavinur","LIV 0<br/>@MCI 4 F","10.55","10.55","-"
"Jordan Ayew","CRY","M,F","88","RBF","BUR 1<br/>@CRY 0 F","10.5","10.5","-"
"Dean Henderson","SHU","G","89","Eoghanoc","TOT 1<br/>@SHU 3 F","10.5","10.5","-"
"Ben Foster","WAT","G","90","FA","SOU 3<br/>@WAT 1 F","10.25","10.25","-"
"Joel Ward","CRY","D","91","FA","BUR 1<br/>@CRY 0 F","10.2","10.2","-"
"Che Adams","SOU","F","92","FA","SOU 3<br/>@WAT 1 F","10","10","-"
"Fabinho","LIV","M","93","FA","LIV 0<br/>@MCI 4 F","9.95","9.95","-"
"Mateo Kovacic","CHE","M","94","FA","CHE 2<br/>@WHU 3 F","9.85","9.85","-"
"Jannik Vestergaard","SOU","D","95","FA","SOU 3<br/>@WAT 1 F","9.8","9.8","-"
"Tim Krul","NOR","G","96","FA","NOR 0<br/>@ARS 4 F","9.5","9.5","-"
"Oliver Norwood","SHU","M","97","RBF","TOT 1<br/>@SHU 3 F","9.5","9.5","-"
"Seamus Coleman","EVE","D","98","ColmL","LEI 1<br/>@EVE 2 F","9.4","9.4","-"
"Vicente Guaita","CRY","G","99","FA","BUR 1<br/>@CRY 0 F","9.25","9.25","-"
"Andre Gomes","EVE","M","100","FA","LEI 1<br/>@EVE 2 F","9.25","9.25","-"
"Nathan Ake","BOU","D","101","FA","NEW 4<br/>@BOU 1 F","9.15","9.15","-"
"Jefferson Lerma","BOU","M","102","FA","NEW 4<br/>@BOU 1 F","9","9","-"
"Mbwana Samatta","AVL","F","103","FA","WOL 1<br/>@AVL 0 F","8.75","8.75","-"
"George Baldock","SHU","D,M","104","ColmL","TOT 1<br/>@SHU 3 F","8.65","8.65","-"
"Jonny Evans","LEI","D","105","Damo","LEI 1<br/>@EVE 2 F","8.65","8.65","-"
"Ryan Fredericks","WHU","D","106","FA","CHE 2<br/>@WHU 3 F","8.65","8.65","-"
"Joelinton","NEW","F","107","FA","NEW 4<br/>@BOU 1 F","8.5","8.5","-"
"Patrick van Aanholt","CRY","D","108","mcavinur","BUR 1<br/>@CRY 0 F","8.4","8.4","-"
"Conor Hourihane","AVL","M","109","FA","WOL 1<br/>@AVL 0 F","8.35","8.35","-"
"Steven Bergwijn","TOT","F","110","Damo","TOT 1<br/>@SHU 3 F","8.25","8.25","-"
"Jordan Henderson","LIV","M","111","Eoghanoc","LIV 0<br/>@MCI 4 F","8.25","8.25","-"
"Alex Iwobi","EVE","M,F","112","FA","LEI 1<br/>@EVE 2 F","8.25","8.25","-"
"Hugo Lloris","TOT","G","113","FA","TOT 1<br/>@SHU 3 F","8.25","8.25","-"
"Craig Cathcart","WAT","D","114","FA","SOU 3<br/>@WAT 1 F","8.2","8.2","-"
"Jamie Vardy","LEI","F","115","ColmOF","LEI 1<br/>@EVE 2 F","8.2","8.2","-"
"Trent Alexander-Arnold","LIV","D","116","ColmOF","LIV 0<br/>@MCI 4 F","8.1","8.1","-"
"Giovani Lo Celso","TOT","M","117","FA","TOT 1<br/>@SHU 3 F","8.1","8.1","-"
"Caglar Soyuncu","LEI","D","118","FA","LEI 1<br/>@EVE 2 F","8.1","8.1","-"
"Cesar Azpilicueta","CHE","D","119","RBF","CHE 2<br/>@WHU 3 F","8.05","8.05","-"
"Will Hughes","WAT","M","120","FA","SOU 3<br/>@WAT 1 F","8","8","-"
"Mat Ryan","BHA","G","121","FA","MUN 3<br/>@BHA 0 F","8","8","-"
"Mohamed Salah","LIV","F","122","Damo","LIV 0<br/>@MCI 4 F","8","8","-"
"Ismaila Sarr","WAT","M,F","123","MKFC","SOU 3<br/>@WAT 1 F","8","8","-"
"Wilfred Ndidi","LEI","M","124","MAX","LEI 1<br/>@EVE 2 F","7.95","7.95","-"
"Jamal Lewis","NOR","D","125","FA","NOR 0<br/>@ARS 4 F","7.9","7.9","-"
"Gary Cahill","CRY","D","126","MKFC","BUR 1<br/>@CRY 0 F","7.85","7.85","-"
"Aaron Ramsdale","BOU","G","127","FA","NEW 4<br/>@BOU 1 F","7.75","7.75","-"
"Marcus Rashford","MUN","M,F","128","ColmL","MUN 3<br/>@BHA 0 F","7.75","7.75","-"
"Youri Tielemans","LEI","M","129","FA","LEI 1<br/>@EVE 2 F","7.75","7.75","-"
"Wilfried Zaha","CRY","M,F","130","ColmOF","BUR 1<br/>@CRY 0 F","7.75","7.75","-"
"Nemanja Matic","MUN","M","131","FA","MUN 3<br/>@BHA 0 F","7.6","7.6","-"
"Romain Saiss","WOL","D,M","132","FA","WOL 1<br/>@AVL 0 F","7.6","7.6","-"
"James Maddison","LEI","M","133","FA","LEI 1<br/>@EVE 2 F","7.5","7.5","-"
"James McArthur","CRY","M","134","RBF","BUR 1<br/>@CRY 0 F","7.5","7.5","-"
"Douglas Luiz","AVL","M","135","MAX","WOL 1<br/>@AVL 0 F","7.5","7.5","-"
"Ruben Neves","WOL","M","136","MKFC","WOL 1<br/>@AVL 0 F","7.5","7.5","-"
"Lewis Dunk","BHA","D","137","RBF","MUN 3<br/>@BHA 0 F","7.35","7.35","-"
"Michael Keane","EVE","D","138","FA","LEI 1<br/>@EVE 2 F","7.35","7.35","-"
"Adama Traore","WOL","M,F","139","MKFC","WOL 1<br/>@AVL 0 F","7.25","7.25","-"
"Andreas Christensen","CHE","D","140","FA","CHE 2<br/>@WHU 3 F","7.2","7.2","-"
"Adam Smith","BOU","D","141","FA","NEW 4<br/>@BOU 1 F","7.15","7.15","-"
"Dominic Calvert-Lewin","EVE","F","142","MKFC","LEI 1<br/>@EVE 2 F","7.1","7.1","-"
"Kyle Walker-Peters","TOT/SOU","D","143","FA","SOU 3<br/>@WAT 1 F","7.1","7.1","-"
"Emil Krafth","NEW","D","144","FA","NEW 4<br/>@BOU 1 F","7.05","7.05","-"
"Alexis Mac Allister","BHA","M","145","FA","MUN 3<br/>@BHA 0 F","7","7","-"
"Virgil van Dijk","LIV","D","146","RBF","LIV 0<br/>@MCI 4 F","7","7","-"
