"Player","Team","Position","Rk","Status","Opponent","FPts","FP/G","% Owned","+/-"
"Emiliano Buendia","NOR","M","1","ColmL","CRY 1<br/>@NOR 1 F","31.95","31.95","94%","-0.7%"
"Mark Noble","WHU","M","2","W (Tue)","BOU 0<br/>@WHU 4 F","31.85","31.85","34%","-3.3%"
"Gabriel Jesus","MCI","F","3","mcavinur","EVE 1<br/>@MCI 2 F","29.85","29.85","99%","-0.1%"
"Ayoze Perez","LEI","M,F","4","Damo","LEI 3<br/>@NEW 0 F","27.5","27.5","98%","0%"
"Jack Grealish","AVL","M,F","5","mcavinur","AVL 2<br/>@BUR 1 F","27","27","99%","0%"
"Ryan Fredericks","WHU","D","6","W (Tue)","BOU 0<br/>@WHU 4 F","26.7","26.7","14%","+4.5%"
"Sokratis","ARS","D","7","W (Tue)","MUN 0<br/>@ARS 2 F","24.6","24.6","21%","-0.8%"
"Gerard Deulofeu","WAT","M,F","8","MAX","WOL 1<br/>@WAT 2 F","24.5","24.5","98%","+0.1%"
"Jack Stephens","SOU","D","9","W (Tue)","TOT 0<br/>@SOU 1 F","23.1","23.1","18%","-0.7%"
"Nicolas Pepe","ARS","M,F","10","MAX","MUN 0<br/>@ARS 2 F","23","23","94%","-0.6%"
"Andrew Robertson","LIV","D","11","mcavinur","SHU 0<br/>@LIV 2 F","22.9","22.9","100%","0%"
"Cesar Azpilicueta","CHE","D","12","RBF","CHE 1<br/>@BHA 1 F","22.15","22.15","100%","0%"
"Sadio Mane","LIV","M,F","13","RBF","SHU 0<br/>@LIV 2 F","21.75","21.75","100%","0%"
"Adama Traore","WOL","F","14","MKFC","WOL 1<br/>@WAT 2 F","21.75","21.75","91%","0%"
"Declan Rice","WHU","M","15","MKFC","BOU 0<br/>@WHU 4 F","21.25","21.25","62%","-2.1%"
"Wilfred Ndidi","LEI","M","16","MAX","LEI 3<br/>@NEW 0 F","21.05","21.05","96%","-0.5%"
"Douglas Luiz","AVL","M","17","W (Tue)","AVL 2<br/>@BUR 1 F","21","21","10%","+2.4%"
"Alex McCarthy","SOU","G","18","W (Tue)","TOT 0<br/>@SOU 1 F","21","21","7%","-0.6%"
"Bernd Leno","ARS","G","19","W (Tue)","MUN 0<br/>@ARS 2 F","20.75","20.75","88%","+0.1%"
"NGolo Kante","CHE","M","20","ColmOF","CHE 1<br/>@BHA 1 F","19.8","19.8","94%","-0.3%"
"Danny Ings","SOU","F","21","Damo","TOT 0<br/>@SOU 1 F","19.6","19.6","98%","+0.1%"
"Mohamed Salah","LIV","F","22","Damo","SHU 0<br/>@LIV 2 F","19.5","19.5","100%","0%"
"Todd Cantwell","NOR","M","23","RBF","CRY 1<br/>@NOR 1 F","19.2","19.2","84%","-0.7%"
"Joao Moutinho","WOL","M","24","MAX","WOL 1<br/>@WAT 2 F","19","19","99%","0%"
"Felipe Anderson","WHU","M","25","MAX","BOU 0<br/>@WHU 4 F","18.75","18.75","95%","-0.6%"
"Abdoulaye Doucoure","WAT","M","26","Damo","WOL 1<br/>@WAT 2 F","18.7","18.7","91%","-1.1%"
"James Maddison","LEI","M","27","Damo","LEI 3<br/>@NEW 0 F","18.35","18.35","100%","0%"
"Martin Dubravka","NEW","G","28","RBF","LEI 3<br/>@NEW 0 F","17.75","17.75","78%","+1.6%"
"Ashley Westwood","BUR","M","29","W (Tue)","AVL 2<br/>@BUR 1 F","17.75","17.75","47%","-1.1%"
"Ricardo Pereira","LEI","D","30","mcavinur","LEI 3<br/>@NEW 0 F","17.7","17.7","100%","0%"
"Virgil van Dijk","LIV","D","31","RBF","SHU 0<br/>@LIV 2 F","16.9","16.9","100%","0%"
"Ismaila Sarr","WAT","M,F","32","ColmOF","WOL 1<br/>@WAT 2 F","16.7","16.7","58%","-1.7%"
"Angelo Ogbonna","WHU","D","33","Eoghanoc","BOU 0<br/>@WHU 4 F","16.6","16.6","25%","-2.8%"
"Christian Fuchs","LEI","D","34","W (Tue)","LEI 3<br/>@NEW 0 F","16.6","16.6","2%","-1.2%"
"Cedric Soares","ARS","D","35","W (Tue)","MUN 0<br/>@ARS 2 F","16.55","16.55","16%","+0.8%"
"Jan Bednarek","SOU","D","36","RBF","TOT 0<br/>@SOU 1 F","16.5","16.5","14%","+0.1%"
"Chris Wood","BUR","F","37","W (Tue)","AVL 2<br/>@BUR 1 F","16.25","16.25","73%","+2.7%"
"Alisson","LIV","G","38","Damo","SHU 0<br/>@LIV 2 F","16","16","99%","0%"
"Reece James","CHE","D","39","MAX","CHE 1<br/>@BHA 1 F","15.7","15.7","70%","+1.1%"
"Riyad Mahrez","MCI","M,F","40","ColmOF","EVE 1<br/>@MCI 2 F","15.6","15.6","100%","0%"
"Ilkay Gundogan","MCI","M","41","MAX","EVE 1<br/>@MCI 2 F","15.5","15.5","69%","+3%"
"Joseph Gomez","LIV","D","42","mcavinur","SHU 0<br/>@LIV 2 F","15.4","15.4","90%","+0.1%"
"Kasper Schmeichel","LEI","G","43","MKFC","LEI 3<br/>@NEW 0 F","15.25","15.25","92%","-0.1%"
"Jordan Henderson","LIV","M","44","Eoghanoc","SHU 0<br/>@LIV 2 F","15.25","15.25","83%","+1.8%"
"Wesley","AVL","F","45","W (Tue)","AVL 2<br/>@BUR 1 F","15.05","15.05","24%","-0.7%"
"Sebastien Haller","WHU","F","46","ColmL","BOU 0<br/>@WHU 4 F","15","15","97%","-0.6%"
"Lukasz Fabianski","WHU","G","47","W (Tue)","BOU 0<br/>@WHU 4 F","15","15","51%","+5%"
"Serge Aurier","TOT","D","48","MAX","TOT 0<br/>@SOU 1 F","14.95","14.95","94%","-0.1%"
"David Luiz","ARS","D","49","ColmL","MUN 0<br/>@ARS 2 F","14.95","14.95","52%","0%"
"Jordan Pickford","EVE","G","50","ColmOF","EVE 1<br/>@MCI 2 F","14.75","14.75","70%","-2.2%"
"Lewis Dunk","BHA","D","51","RBF","CHE 1<br/>@BHA 1 F","14.6","14.6","81%","-0.7%"
"Alireza Jahanbakhsh","BHA","F","52","W (Tue)","CHE 1<br/>@BHA 1 F","14.5","14.5","8%","-3.4%"
"Trent Alexander-Arnold","LIV","D","53","ColmOF","SHU 0<br/>@LIV 2 F","14.45","14.45","100%","0%"
"Fabian Balbuena","WHU","D","54","W (Tue)","BOU 0<br/>@WHU 4 F","14.45","14.45","8%","-1.1%"
"Ben Chilwell","LEI","D","55","Eoghanoc","LEI 3<br/>@NEW 0 F","14.35","14.35","100%","+0.2%"
"Jonny Evans","LEI","D","56","mcavinur","LEI 3<br/>@NEW 0 F","14.25","14.25","88%","-0.2%"
"Ryan Bertrand","SOU","D,M","57","ColmOF","TOT 0<br/>@SOU 1 F","14.25","14.25","26%","-0.2%"
"Bernardo","BHA","D","58","W (Tue)","CHE 1<br/>@BHA 1 F","14.25","14.25","12%","-2.1%"
"Djibril Sidibe","EVE","D","59","MKFC","EVE 1<br/>@MCI 2 F","14.15","14.15","81%","+0.2%"
"Richarlison","EVE","M,F","60","ColmL","EVE 1<br/>@MCI 2 F","14","14","100%","0%"
"Robert Snodgrass","WHU","M","61","W (Tue)","BOU 0<br/>@WHU 4 F","14","14","58%","+1.1%"
"Fred","MUN","M","62","RBF","MUN 0<br/>@ARS 2 F","13.75","13.75","57%","+0.9%"
"Tammy Abraham","CHE","F","63","Damo","CHE 1<br/>@BHA 1 F","13.7","13.7","98%","+0.1%"
"Aaron Cresswell","WHU","D","64","W (Tue)","BOU 0<br/>@WHU 4 F","13.6","13.6","26%","-2.1%"
"Wilfried Zaha","CRY","M,F","65","ColmOF","CRY 1<br/>@NOR 1 F","13.5","13.5","99%","-0.2%"
"Pierre-Emile Hojbjerg","SOU","M","66","MKFC","TOT 0<br/>@SOU 1 F","13.15","13.15","72%","-1.1%"
"Pedro Neto","WOL","F","67","mcavinur","WOL 1<br/>@WAT 2 F","13","13","13%","-3.7%"
"Ainsley Maitland-Niles","ARS","D,M","68","W (Tue)","MUN 0<br/>@ARS 2 F","12.95","12.95","18%","-1.7%"
"Kiko Femenia","WAT","D","69","W (Tue)","WOL 1<br/>@WAT 2 F","12.95","12.95","2%","-0.1%"
"Dean Henderson","SHU","G","70","Eoghanoc","SHU 0<br/>@LIV 2 F","12.75","12.75","75%","+3.5%"
"Caglar Soyuncu","LEI","D","71","Damo","LEI 3<br/>@NEW 0 F","12.6","12.6","89%","0%"
"Jan Vertonghen","TOT","D","72","W (Tue)","TOT 0<br/>@SOU 1 F","12.6","12.6","62%","-5.7%"
"Phil Foden","MCI","M,F","73","W (Tue)","EVE 1<br/>@MCI 2 F","12.5","12.5","15%","0%"
"Lewis Cook","BOU","M","74","W (Tue)","BOU 0<br/>@WHU 4 F","12.5","12.5","1%","0%"
"Romain Saiss","WOL","D,M","75","W (Tue)","WOL 1<br/>@WAT 2 F","12.45","12.45","11%","+0.6%"
"James Ward-Prowse","SOU","M","76","Damo","TOT 0<br/>@SOU 1 F","12.35","12.35","98%","-0.5%"
"Kepa Arrizabalaga","CHE","G","77","W (Tue)","CHE 1<br/>@BHA 1 F","12.25","12.25","49%","-4.3%"
"Harry Kane","TOT","F","78","MKFC","TOT 0<br/>@SOU 1 F","12","12","86%","-0.3%"
"Fernandinho","MCI","D,M","79","W (Tue)","EVE 1<br/>@MCI 2 F","12","12","43%","+0.4%"
"Mario Vrancic","NOR","M","80","W (Tue)","CRY 1<br/>@NOR 1 F","12","12","2%","-0.1%"
"Leandro Trossard","BHA","M,F","81","W (Tue)","CHE 1<br/>@BHA 1 F","11.75","11.75","71%","-0.4%"
"Charlie Taylor","BUR","D","82","W (Tue)","AVL 2<br/>@BUR 1 F","11.55","11.55","22%","+0.5%"
"Anthony Martial","MUN","F","83","RBF","MUN 0<br/>@ARS 2 F","11.25","11.25","100%","0%"
"Granit Xhaka","ARS","M","84","W (Tue)","MUN 0<br/>@ARS 2 F","11.25","11.25","30%","+0.2%"
"James McCarthy","CRY","M","85","W (Tue)","CRY 1<br/>@NOR 1 F","11.1","11.1","1%","-0.1%"
"Nathan Redmond","SOU","M,F","86","Eoghanoc","TOT 0<br/>@SOU 1 F","11.05","11.05","92%","+0.3%"
"Sead Kolasinac","ARS","D,M","87","W (Tue)","MUN 0<br/>@ARS 2 F","11.05","11.05","27%","-0.1%"
"Ryan Sessegnon","TOT","M,F","88","W (Tue)","TOT 0<br/>@SOU 1 F","11.05","11.05","14%","-2.5%"
"Hamza Choudhury","LEI","M","89","W (Tue)","LEI 3<br/>@NEW 0 F","11","11","3%","+0.8%"
"Harry Maguire","MUN","D","90","MKFC","MUN 0<br/>@ARS 2 F","10.95","10.95","99%","-0.3%"
"Adam Webster","BHA","D","91","mcavinur","CHE 1<br/>@BHA 1 F","10.6","10.6","27%","-1.9%"
"Oliver Norwood","SHU","M","92","RBF","SHU 0<br/>@LIV 2 F","10.55","10.55","74%","+0.1%"
"Nick Pope","BUR","G","93","W (Tue)","AVL 2<br/>@BUR 1 F","10.5","10.5","72%","+1.7%"
"Nemanja Matic","MUN","M","94","W (Tue)","MUN 0<br/>@ARS 2 F","10.5","10.5","4%","-1.2%"
"Lucas Torreira","ARS","M","95","W (Tue)","MUN 0<br/>@ARS 2 F","10.4","10.4","22%","-1%"
"Lucas Moura","TOT","M,F","96","mcavinur","TOT 0<br/>@SOU 1 F","10.35","10.35","97%","-0.5%"
"Benjamin Mendy","MCI","D","97","W (Tue)","EVE 1<br/>@MCI 2 F","10.35","10.35","87%","-2.4%"
"Alexandre Lacazette","ARS","F","98","ColmL","MUN 0<br/>@ARS 2 F","10.25","10.25","99%","-0.2%"
"Dwight McNeil","BUR","M","99","MKFC","AVL 2<br/>@BUR 1 F","10","10","89%","-0.4%"
"Pablo Fornals","WHU","M","100","W (Tue)","BOU 0<br/>@WHU 4 F","10","10","27%","-4.6%"
"Jack OConnell","SHU","D","101","MKFC","SHU 0<br/>@LIV 2 F","9.95","9.95","82%","+0.5%"
"Chris Basham","SHU","D","102","RBF","SHU 0<br/>@LIV 2 F","9.85","9.85","74%","+0.6%"
"Frederic Guilbert","AVL","D","103","Eoghanoc","AVL 2<br/>@BUR 1 F","9.8","9.8","42%","+1.4%"
"Nathaniel Chalobah","WAT","M","104","W (Tue)","WOL 1<br/>@WAT 2 F","9.8","9.8","1%","+0.1%"
"Kevin De Bruyne","MCI","M","105","Eoghanoc","EVE 1<br/>@MCI 2 F","9.7","9.7","100%","0%"
"Jorginho","CHE","M","106","MKFC","CHE 1<br/>@BHA 1 F","9.6","9.6","84%","+0.7%"
"Tom Davies","EVE","M","107","W (Tue)","EVE 1<br/>@MCI 2 F","9.6","9.6","2%","-0.2%"
"Steven Alzate","BHA","M,F","108","W (Tue)","CHE 1<br/>@BHA 1 F","9.45","9.45","2%","-0.3%"
"Martin Montoya","BHA","D,M","109","W (Tue)","CHE 1<br/>@BHA 1 F","9.4","9.4","18%","-0.2%"
"Youri Tielemans","LEI","M","110","W (Tue)","LEI 3<br/>@NEW 0 F","9.25","9.25","94%","-0.3%"
"Mesut Ozil","ARS","M","111","mcavinur","MUN 0<br/>@ARS 2 F","9.25","9.25","81%","-2%"
"Joelinton","NEW","F","112","W (Tue)","LEI 3<br/>@NEW 0 F","9.25","9.25","60%","+1.2%"
"Davy Propper","BHA","M","113","W (Tue)","CHE 1<br/>@BHA 1 F","9.25","9.25","34%","-0.7%"
"Mat Ryan","BHA","G","114","mcavinur","CHE 1<br/>@BHA 1 F","9","9","58%","-3.4%"
"Vicente Guaita","CRY","G","115","mcavinur","CRY 1<br/>@NOR 1 F","9","9","48%","+0.8%"
"Yoshinori Muto","NEW","F","116","W (Tue)","LEI 3<br/>@NEW 0 F","9","9","1%","0%"
"Stuart Armstrong","SOU","M,F","117","W (Tue)","TOT 0<br/>@SOU 1 F","8.95","8.95","10%","-2.5%"
"Sam Byram","NOR","D","118","W (Tue)","CRY 1<br/>@NOR 1 F","8.9","8.9","1%","0%"
"Eric Garcia","MCI","D","119","W (Tue)","EVE 1<br/>@MCI 2 F","8.8","8.8","1%","0%"
"Jonjo Shelvey","NEW","M","120","W (Tue)","LEI 3<br/>@NEW 0 F","8.75","8.75","49%","-6%"
"Chris Mepham","BOU","D","121","W (Tue)","BOU 0<br/>@WHU 4 F","8.7","8.7","2%","-0.1%"
"James Milner","LIV","M","122","W (Tue)","SHU 0<br/>@LIV 2 F","8.6","8.6","34%","-0.7%"
"Kenny McLean","NOR","M","123","W (Tue)","CRY 1<br/>@NOR 1 F","8.55","8.55","24%","+0.5%"
"Christoph Zimmermann","NOR","D","124","W (Tue)","CRY 1<br/>@NOR 1 F","8.55","8.55","1%","0%"
"Gylfi Sigurdsson","EVE","M","125","ColmOF","EVE 1<br/>@MCI 2 F","8.5","8.5","97%","+0.7%"
