"Player","Team","Position","Rk","Status","Opponent","FPts","FP/G","% Owned","+/-"
"Harry Kane","TOT","F","1","MKFC","BUR 0<br/>@TOT 5 F","36.75","36.75","100%","0%"
"Son Heung-Min","TOT","M,F","2","Eoghanoc","BUR 0<br/>@TOT 5 F","33.25","33.25","100%","-0.1%"
"Naby Keita","LIV","M","3","MKFC","LIV 3<br/>@BOU 0 F","31.25","31.25","66%","-1.3%"
"Dominic Calvert-Lewin","EVE","F","4","W (Tue)","CHE 1<br/>@EVE 3 F","30.95","30.95","66%","+9.1%"
"James Maddison","LEI","M","5","Damo","LEI 4<br/>@AVL 1 F","30.25","30.25","100%","0%"
"Jan Vertonghen","TOT","D","6","W (Tue)","BUR 0<br/>@TOT 5 F","29.7","29.7","81%","+2.1%"
"Jamie Vardy","LEI","F","7","ColmOF","LEI 4<br/>@AVL 1 F","29.7","29.7","100%","0%"
"Diogo Jota","WOL","M,F","8","Damo","WOL 2<br/>@BHA 2 F","25.75","25.75","92%","-0.7%"
"Mohamed Salah","LIV","F","9","Damo","LIV 3<br/>@BOU 0 F","25.5","25.5","100%","0%"
"Mateo Kovacic","CHE","M","10","Eoghanoc","CHE 1<br/>@EVE 3 F","23.75","23.75","70%","+2.9%"
"George Baldock","SHU","D,M","11","ColmL","SHU 2<br/>@NOR 1 F","23.2","23.2","79%","-1.1%"
"Lucas Moura","TOT","M,F","12","mcavinur","BUR 0<br/>@TOT 5 F","22.6","22.6","97%","-1.4%"
"Pierre-Emerick Aubameyang","ARS","M,F","13","ColmOF","ARS 3<br/>@WHU 1 F","22.5","22.5","100%","0%"
"Kelechi Iheanacho","LEI","F","14","W (Tue)","LEI 4<br/>@AVL 1 F","22.5","22.5","45%","+6.1%"
"Dele Alli","TOT","M","15","ColmL","BUR 0<br/>@TOT 5 F","22.25","22.25","100%","+0.1%"
"Emiliano Buendia","NOR","M","16","ColmL","SHU 2<br/>@NOR 1 F","21.6","21.6","93%","+0.3%"
"Nicolas Pepe","ARS","M,F","17","RSC","ARS 3<br/>@WHU 1 F","21.25","21.25","94%","-0.3%"
"Jonjo Shelvey","NEW","M","18","MKFC","SOU 1<br/>@NEW 2 F","20.95","20.95","72%","+2.3%"
"Djibril Sidibe","EVE","D","19","MKFC","CHE 1<br/>@EVE 3 F","20.7","20.7","67%","+8.6%"
"Jack Grealish","AVL","M,F","20","mcavinur","LEI 4<br/>@AVL 1 F","20","20","99%","0%"
"Jordan Henderson","LIV","M","21","Eoghanoc","LIV 3<br/>@BOU 0 F","19.6","19.6","55%","+0.7%"
"Neal Maupay","BHA","F","22","W (Tue)","WOL 2<br/>@BHA 2 F","19.25","19.25","62%","+1.5%"
"Jonny Evans","LEI","D","23","mcavinur","LEI 4<br/>@AVL 1 F","19.05","19.05","87%","+0.8%"
"Alexander Tettey","NOR","M","24","W (Tue)","SHU 2<br/>@NOR 1 F","18.45","18.45","2%","0%"
"Joseph Gomez","LIV","D","25","mcavinur","LIV 3<br/>@BOU 0 F","18.25","18.25","77%","+5%"
"Dale Stephens","BHA","M","26","W (Tue)","WOL 2<br/>@BHA 2 F","18.1","18.1","12%","+0.2%"
"Daniel James","MUN","M","27","RSC","MUN 2<br/>@MCI 1 F","17.75","17.75","97%","+1%"
"Gabriel Martinelli","ARS","M,F","28","W (Tue)","ARS 3<br/>@WHU 1 F","17.75","17.75","27%","-5.5%"
"Kiko Femenia","WAT","D","29","W (Tue)","CRY 0<br/>@WAT 0 F","17.45","17.45","7%","+1.1%"
"Federico Fernandez","NEW","D","30","ColmOF","SOU 1<br/>@NEW 2 F","17.3","17.3","30%","-2.1%"
"Martin Kelly","CRY","D","31","W (Tue)","CRY 0<br/>@WAT 0 F","17.25","17.25","46%","-3.7%"
"Vicente Guaita","CRY","G","32","mcavinur","CRY 0<br/>@WAT 0 F","17","17","64%","-1.1%"
"Allan Saint-Maximin","NEW","M,F","33","ZKL","SOU 1<br/>@NEW 2 F","17","17","44%","-0.6%"
"Enda Stevens","SHU","D,M","34","MKFC","SHU 2<br/>@NOR 1 F","16.75","16.75","87%","-1.5%"
"Anthony Martial","MUN","F","35","RSC","MUN 2<br/>@MCI 1 F","16.5","16.5","100%","+0.2%"
"Moussa Sissoko","TOT","M","36","ZKL","BUR 0<br/>@TOT 5 F","16.5","16.5","41%","-6.8%"
"NGolo Kante","CHE","M","37","ColmOF","CHE 1<br/>@EVE 3 F","16.4","16.4","95%","-0.4%"
"Serge Aurier","TOT","D","38","ZKL","BUR 0<br/>@TOT 5 F","16.35","16.35","92%","+0.2%"
"Dwight McNeil","BUR","M","39","ZKL","BUR 0<br/>@TOT 5 F","16.25","16.25","93%","-0.6%"
"Adama Traore","WOL","F","40","MKFC","WOL 2<br/>@BHA 2 F","16.1","16.1","88%","+1.3%"
"Davinson Sanchez","TOT","D","41","W (Tue)","BUR 0<br/>@TOT 5 F","15.7","15.7","40%","-4.1%"
"Aaron Ramsdale","BOU","G","42","W (Tue)","LIV 3<br/>@BOU 0 F","15.5","15.5","42%","+2%"
"Paulo Gazzaniga","TOT","G","43","W (Tue)","BUR 0<br/>@TOT 5 F","15.5","15.5","40%","+1.8%"
"Nathan Redmond","SOU","M,F","44","Eoghanoc","SOU 1<br/>@NEW 2 F","15.25","15.25","79%","+5.2%"
"Davy Propper","BHA","M","45","W (Tue)","WOL 2<br/>@BHA 2 F","15.25","15.25","40%","-0.1%"
"Gary Cahill","CRY","D","46","W (Tue)","CRY 0<br/>@WAT 0 F","14.9","14.9","4%","-0.2%"
"Pablo Fornals","WHU","M","47","W (Tue)","ARS 3<br/>@WHU 1 F","14.75","14.75","40%","-0.2%"
"Marcus Rashford","MUN","M,F","48","ColmL","MUN 2<br/>@MCI 1 F","14.7","14.7","100%","0%"
"Aaron Wan-Bissaka","MUN","D","49","MKFC","MUN 2<br/>@MCI 1 F","14.7","14.7","97%","-0.6%"
"Angelo Ogbonna","WHU","D","50","W (Tue)","ARS 3<br/>@WHU 1 F","14.65","14.65","23%","-1.4%"
"James Milner","LIV","M","51","FA","LIV 3<br/>@BOU 0 F","14.5","14.5","44%","+1.2%"
"Ismaila Sarr","WAT","M,F","52","W (Tue)","CRY 0<br/>@WAT 0 F","14.5","14.5","41%","-0.2%"
"Virgil van Dijk","LIV","D","53","RSC","LIV 3<br/>@BOU 0 F","14.35","14.35","100%","0%"
"Richarlison","EVE","M,F","54","ColmL","CHE 1<br/>@EVE 3 F","14.25","14.25","100%","-0.1%"
"Danny Ings","SOU","F","55","Damo","SOU 1<br/>@NEW 2 F","14.25","14.25","97%","+0.4%"
"Alex Oxlade-Chamberlain","LIV","M","56","FA","LIV 3<br/>@BOU 0 F","14.25","14.25","41%","-3.7%"
"Kevin De Bruyne","MCI","M","57","Eoghanoc","MUN 2<br/>@MCI 1 F","14.2","14.2","100%","0%"
"Christian Kabasele","WAT","D","58","W (Tue)","CRY 0<br/>@WAT 0 F","13.7","13.7","31%","+10.6%"
"Adam Masina","WAT","D","59","W (Tue)","CRY 0<br/>@WAT 0 F","13.7","13.7","0%","0%"
"Ezri Konsa Ngoyo","AVL","D","60","W (Tue)","LEI 4<br/>@AVL 1 F","13.65","13.65","2%","+0.2%"
"Dennis Praet","LEI","M","61","W (Tue)","LEI 4<br/>@AVL 1 F","13.6","13.6","5%","-1.6%"
"Christoph Zimmermann","NOR","D","62","W (Tue)","SHU 2<br/>@NOR 1 F","13.4","13.4","1%","-0.2%"
