"Player","Team","Position","Rk","Status","Opponent","FPts","FP/G","% Owned","+/-"
"James Tarkowski","BUR","D","1","Eoghanoc","BUR 3<br/>@WAT 0 F","32.25","32.25","97%","-0.3%"
"Alexandre Lacazette","ARS","F","2","ColmL","SOU 2<br/>@ARS 2 F","29.85","29.85","99%","-0.1%"
"Tim Krul","NOR","G","3","W (Tue)","NOR 2<br/>@EVE 0 F","27.5","27.5","21%","-2.2%"
"Jamie Vardy","LEI","F","4","ColmOF","LEI 2<br/>@BHA 0 F","27.25","27.25","100%","0%"
"John Fleck","SHU","M","5","mcavinur","MUN 3<br/>@SHU 3 F","26.75","26.75","76%","-2.4%"
"Son Heung-Min","TOT","M,F","6","Eoghanoc","TOT 3<br/>@WHU 2 F","25.25","25.25","100%","-0.1%"
"Conor Hourihane","AVL","M","7","W (Tue)","NEW 0<br/>@AVL 2 F","24.75","24.75","20%","+7.5%"
"Marcus Rashford","MUN","M,F","8","ColmL","MUN 3<br/>@SHU 3 F","23","23","100%","0%"
"NGolo Kante","CHE","M","9","ColmOF","CHE 1<br/>@MCI 2 F","23","23","95%","-0.4%"
"Nick Pope","BUR","G","10","W (Tue)","BUR 3<br/>@WAT 0 F","23","23","73%","+1.5%"
"Matt Targett","AVL","D,M","11","MKFC","NEW 0<br/>@AVL 2 F","22.05","22.05","58%","+0.5%"
"Ricardo Pereira","LEI","D","12","mcavinur","LEI 2<br/>@BHA 0 F","21.95","21.95","100%","+0.1%"
"Todd Cantwell","NOR","M","13","RSC","NOR 2<br/>@EVE 0 F","21.4","21.4","81%","-2%"
"Tom Heaton","AVL","G","14","W (Tue)","NEW 0<br/>@AVL 2 F","21","21","25%","+2.4%"
"Jack Grealish","AVL","M,F","15","mcavinur","NEW 0<br/>@AVL 2 F","20.75","20.75","99%","0%"
"Joao Moutinho","WOL","M","16","ZKL","WOL 2<br/>@BOU 1 F","20.7","20.7","99%","0%"
"Raul Jimenez","WOL","F","17","Eoghanoc","WOL 2<br/>@BOU 1 F","20.35","20.35","100%","0%"
"Serge Aurier","TOT","D","18","ZKL","TOT 3<br/>@WHU 2 F","20.3","20.3","92%","+0.2%"
"Riyad Mahrez","MCI","M,F","19","ColmOF","CHE 1<br/>@MCI 2 F","20.25","20.25","100%","0%"
"Mateo Kovacic","CHE","M","20","Eoghanoc","CHE 1<br/>@MCI 2 F","20.25","20.25","70%","+2.9%"
"Ben Chilwell","LEI","D","21","Eoghanoc","LEI 2<br/>@BHA 0 F","20.2","20.2","100%","-0.1%"
"Frederic Guilbert","AVL","D","22","W (Tue)","NEW 0<br/>@AVL 2 F","19.9","19.9","41%","-2.9%"
"Diogo Jota","WOL","M,F","23","Damo","WOL 2<br/>@BOU 1 F","19.85","19.85","92%","-0.7%"
"Kevin De Bruyne","MCI","M","24","Eoghanoc","CHE 1<br/>@MCI 2 F","19.5","19.5","100%","0%"
"Steve Cook","BOU","D","25","W (Tue)","WOL 2<br/>@BOU 1 F","18.95","18.95","40%","+1.8%"
"Onel Hernandez","NOR","M","26","W (Tue)","NOR 2<br/>@EVE 0 F","18.75","18.75","14%","+2%"
"James Ward-Prowse","SOU","M","27","Damo","SOU 2<br/>@ARS 2 F","18.45","18.45","98%","+0.1%"
"Andros Townsend","CRY","M,F","28","W (Tue)","LIV 2<br/>@CRY 1 F","18.25","18.25","49%","-1.6%"
"Wilfried Zaha","CRY","M,F","29","ColmOF","LIV 2<br/>@CRY 1 F","18","18","99%","-0.1%"
"Anwar El Ghazi","AVL","M,F","30","MKFC","NEW 0<br/>@AVL 2 F","18","18","76%","-2.7%"
"Sadio Mane","LIV","M,F","31","RSC","LIV 2<br/>@CRY 1 F","17.75","17.75","100%","0%"
"Robert Snodgrass","WHU","M","32","W (Tue)","TOT 3<br/>@WHU 2 F","17.6","17.6","43%","-1.9%"
"Harry Kane","TOT","F","33","MKFC","TOT 3<br/>@WHU 2 F","17","17","100%","0%"
"Lucas Moura","TOT","M,F","34","mcavinur","TOT 3<br/>@WHU 2 F","17","17","97%","-1.4%"
"Phil Bardsley","BUR","D","35","W (Tue)","BUR 3<br/>@WAT 0 F","16.95","16.95","12%","-0.3%"
"Mat Ryan","BHA","G","36","mcavinur","LEI 2<br/>@BHA 0 F","16.75","16.75","62%","+2.8%"
"Adama Traore","WOL","F","37","MKFC","WOL 2<br/>@BOU 1 F","16.7","16.7","88%","+1.3%"
"Charlie Taylor","BUR","D","38","ZKL","BUR 3<br/>@WAT 0 F","16.6","16.6","14%","+5.1%"
