Player,Team,Position,Rk,Status,Opponent,FPts,FP/G,% Owned,+/-
Richarlison,EVE,"M,F",1,ColmL,WOL 2<br/>@EVE 3 F,32.15,32.15,100%,0.2%
Sergio Aguero,MCI,F,2,ZKL,BHA 0<br/>@MCI 4 F,31,31,100%,0%
Jamie Vardy,LEI,F,3,ColmOF,BOU 1<br/>@LEI 3 F,30.85,30.85,100%,0.1%
Arthur Masuaku,WHU,D,4,ColmOF,NOR 0<br/>@WHU 2 F,28.6,28.6,75%,14.3%
Tammy Abraham,CHE,F,5,Damo,SHU 2<br/>@CHE 2 F,27.35,27.35,100%,3.2%
Roberto Firmino,LIV,"M,F",6,Eoghanoc,LIV 3<br/>@BUR 0 F,27.35,27.35,100%,0%
Kevin De Bruyne,MCI,M,7,Eoghanoc,BHA 0<br/>@MCI 4 F,26,26,100%,0.1%
Youri Tielemans,LEI,M,8,ColmOF,BOU 1<br/>@LEI 3 F,24.35,24.35,100%,0.3%
Trent Alexander-Arnold,LIV,D,9,ColmOF,LIV 3<br/>@BUR 0 F,23.6,23.6,100%,0%
David Silva,MCI,M,10,ZKL,BHA 0<br/>@MCI 4 F,22.75,22.75,100%,0%
Scott McTominay,MUN,M,11,FA,MUN 1<br/>@SOU 1 F,20.95,20.95,67%,36%
Jannik Vestergaard,SOU,D,12,MKFC,MUN 1<br/>@SOU 1 F,20.4,20.4,75%,18.3%
Will Hughes,WAT,M,13,MKFC,WAT 1<br/>@NEW 1 F,20.3,20.3,50%,3.5%
Daniel James,MUN,M,14,Seanmacd,MUN 1<br/>@SOU 1 F,20.1,20.1,100%,4.5%
Pierre-Emerick Aubameyang,ARS,F,15,ColmOF,TOT 2<br/>@ARS 2 F,20,20,100%,0.1%
Sebastien Haller,WHU,F,16,ColmL,NOR 0<br/>@WHU 2 F,19.5,19.5,100%,1.2%
Alex Iwobi,EVE,"M,F",17,FA,WOL 2<br/>@EVE 3 F,19,19,83%,2.2%
Jorginho,CHE,M,18,FA,SHU 2<br/>@CHE 2 F,18.3,18.3,67%,14.1%
Nicolas Pepe,ARS,F,19,Seanmacd,TOT 2<br/>@ARS 2 F,18.25,18.25,100%,4.6%
Matteo Guendouzi,ARS,M,20,MKFC,TOT 2<br/>@ARS 2 F,18.25,18.25,67%,15.8%
Alexandre Lacazette,ARS,F,21,ColmL,TOT 2<br/>@ARS 2 F,17.85,17.85,100%,0.3%
Felipe Anderson,WHU,M,22,ZKL,NOR 0<br/>@WHU 2 F,17.85,17.85,100%,0.5%
Gylfi Sigurdsson,EVE,M,23,ColmOF,WOL 2<br/>@EVE 3 F,17.85,17.85,100%,0.3%
Mohamed Salah,LIV,F,24,Damo,LIV 3<br/>@BUR 0 F,17.5,17.5,100%,0%
Christian Eriksen,TOT,M,25,Eoghanoc,TOT 2<br/>@ARS 2 F,17.45,17.45,100%,0.2%
Sadio Mane,LIV,"M,F",26,Seanmacd,LIV 3<br/>@BUR 0 F,17.25,17.25,100%,0%
Harry Kane,TOT,F,27,MKFC,TOT 2<br/>@ARS 2 F,17.1,17.1,100%,0.1%
Issa Diop,WHU,D,28,FA,NOR 0<br/>@WHU 2 F,17.1,17.1,42%,14.7%
Lukasz Fabianski,WHU,G,29,FA,NOR 0<br/>@WHU 2 F,17,17,75%,-5%
Angus Gunn,SOU,G,30,FA,MUN 1<br/>@SOU 1 F,17,17,8%,-6.9%
Fabian Schar,NEW,D,31,ZKL,WAT 1<br/>@NEW 1 F,16.85,16.85,92%,2.9%
Romain Saiss,WOL,M,32,FA,WOL 2<br/>@EVE 3 F,16.85,16.85,0%,-2.4%
Bernd Leno,ARS,G,33,Damo,TOT 2<br/>@ARS 2 F,16.75,16.75,92%,10.6%
Jordan Ayew,CRY,F,34,FA,AVL 0<br/>@CRY 1 F,16.5,16.5,75%,24.3%
Callum Robinson,SHU,F,35,FA,SHU 2<br/>@CHE 2 F,16.45,16.45,25%,15.1%
Manuel Lanzini,WHU,M,36,Damo,NOR 0<br/>@WHU 2 F,16.25,16.25,100%,2.4%
Adrian,LIV,G,37,FA,LIV 3<br/>@BUR 0 F,16.25,16.25,75%,20.9%
Vicente Guaita,CRY,G,38,FA,AVL 0<br/>@CRY 1 F,16.25,16.25,58%,26.2%
Virgil van Dijk,LIV,D,39,Seanmacd,LIV 3<br/>@BUR 0 F,15.9,15.9,100%,0%
Willy Boly,WOL,D,40,Eoghanoc,WOL 2<br/>@EVE 3 F,15.75,15.75,100%,1.3%
Enda Stevens,SHU,D,41,ZKL,SHU 2<br/>@CHE 2 F,15.75,15.75,58%,15.2%
Wilfred Ndidi,LEI,M,42,ZKL,BOU 1<br/>@LEI 3 F,15.35,15.35,92%,-4.6%
Andriy Yarmolenko,WHU,F,43,FA,NOR 0<br/>@WHU 2 F,15.25,15.25,67%,11.6%
Tim Krul,NOR,G,44,FA,NOR 0<br/>@WHU 2 F,15.25,15.25,0%,-6.1%
Riyad Mahrez,MCI,"M,F",45,ColmOF,BHA 0<br/>@MCI 4 F,15.2,15.2,100%,0.3%
Philip Billing,BOU,M,46,ColmOF,BOU 1<br/>@LEI 3 F,15.2,15.2,33%,-6.1%
Aaron Wan-Bissaka,MUN,D,47,MKFC,MUN 1<br/>@SOU 1 F,15.1,15.1,100%,0.2%
Oleksandr Zinchenko,MCI,"D,M",48,ColmOF,BHA 0<br/>@MCI 4 F,14.95,14.95,100%,4.5%
Lucas Digne,EVE,D,49,ZKL,WOL 2<br/>@EVE 3 F,14.9,14.9,100%,0%
Joel Matip,LIV,D,50,ZKL,LIV 3<br/>@BUR 0 F,14.55,14.55,100%,3.1%
Ryan Fraser,BOU,M,51,Seanmacd,BOU 1<br/>@LEI 3 F,14.5,14.5,100%,2.2%
Hugo Lloris,TOT,G,52,Eoghanoc,TOT 2<br/>@ARS 2 F,14.5,14.5,100%,1%
Ederson,MCI,G,53,ColmL,BHA 0<br/>@MCI 4 F,14.5,14.5,100%,0.2%
Joel Ward,CRY,D,54,MKFC,AVL 0<br/>@CRY 1 F,14.5,14.5,33%,1.5%
Jeffrey Schlupp,CRY,"D,M",55,FA,AVL 0<br/>@CRY 1 F,14.4,14.4,58%,-1%
Ryan Fredericks,WHU,D,56,FA,NOR 0<br/>@WHU 2 F,14.35,14.35,0%,-4.2%
Pierre-Emile Hojbjerg,SOU,M,57,FA,MUN 1<br/>@SOU 1 F,14.3,14.3,58%,20.5%
Callum Wilson,BOU,F,58,Eoghanoc,BOU 1<br/>@LEI 3 F,14.25,14.25,100%,0.8%
Nicolas Otamendi,MCI,D,59,FA,BHA 0<br/>@MCI 4 F,14.2,14.2,67%,-4.5%
Sean Longstaff,NEW,M,60,FA,WAT 1<br/>@NEW 1 F,14.2,14.2,17%,7%
Andrew Robertson,LIV,D,61,mcavinur,LIV 3<br/>@BUR 0 F,14.05,14.05,100%,0.1%
Gary Cahill,CRY,D,62,FA,AVL 0<br/>@CRY 1 F,13.85,13.85,0%,-4.5%
Oriol Romeu,SOU,M,63,FA,MUN 1<br/>@SOU 1 F,13.85,13.85,0%,-3.4%
Son Heung-Min,TOT,"M,F",64,Eoghanoc,TOT 2<br/>@ARS 2 F,13.4,13.4,100%,0.1%
Isaac Hayden,NEW,M,65,FA,WAT 1<br/>@NEW 1 F,13.35,13.35,8%,-16.6%
Martin Kelly,CRY,D,66,FA,AVL 0<br/>@CRY 1 F,13.35,13.35,0%,-5.5%
Mark Noble,WHU,M,67,FA,NOR 0<br/>@WHU 2 F,13.25,13.25,58%,29.2%
Luka Milivojevic,CRY,M,68,Seanmacd,AVL 0<br/>@CRY 1 F,13.1,13.1,100%,3.9%
Ainsley Maitland-Niles,ARS,M,69,ZKL,TOT 2<br/>@ARS 2 F,13.1,13.1,83%,10.1%
Declan Rice,WHU,M,70,MKFC,NOR 0<br/>@WHU 2 F,13.1,13.1,50%,10%
Patrick van Aanholt,CRY,D,71,ZKL,AVL 0<br/>@CRY 1 F,13.05,13.05,92%,-4.1%
Angelo Ogbonna,WHU,D,72,FA,NOR 0<br/>@WHU 2 F,13.05,13.05,0%,-3.1%
Ricardo Pereira,LEI,D,73,mcavinur,BOU 1<br/>@LEI 3 F,12.6,12.6,100%,0.1%
Andre Gomes,EVE,M,74,FA,WOL 2<br/>@EVE 3 F,12.55,12.55,33%,9.5%
Christian Pulisic,CHE,M,75,Eoghanoc,SHU 2<br/>@CHE 2 F,12.5,12.5,100%,0.7%
Ben Foster,WAT,G,76,ColmOF,WAT 1<br/>@NEW 1 F,12.5,12.5,25%,-22.6%
Nick Pope,BUR,G,77,ZKL,LIV 3<br/>@BUR 0 F,12,12,75%,-4.9%
Christian Atsu,NEW,M,78,FA,WAT 1<br/>@NEW 1 F,12,12,33%,6.3%
Rodrigo,MCI,M,79,Seanmacd,BHA 0<br/>@MCI 4 F,11.85,11.85,83%,-6.2%
John McGinn,AVL,M,80,ColmL,AVL 0<br/>@CRY 1 F,11.8,11.8,92%,0.1%
Raul Jimenez,WOL,F,81,Eoghanoc,WOL 2<br/>@EVE 3 F,11.75,11.75,100%,0.2%
Ben Chilwell,LEI,D,82,Eoghanoc,BOU 1<br/>@LEI 3 F,11.7,11.7,100%,1.1%
Moise Kean,EVE,F,83,Damo,WOL 2<br/>@EVE 3 F,11.5,11.5,100%,13.4%
James McArthur,CRY,M,84,FA,AVL 0<br/>@CRY 1 F,11.5,11.5,67%,14.3%
Kevin Danso,SOU,D,85,FA,MUN 1<br/>@SOU 1 F,11.5,11.5,0%,-0.9%
James Tarkowski,BUR,D,86,Eoghanoc,LIV 3<br/>@BUR 0 F,11.35,11.35,75%,-14.5%
Steve Cook,BOU,D,87,FA,BOU 1<br/>@LEI 3 F,11.35,11.35,42%,14.4%
Kyle Walker,MCI,D,88,MKFC,BHA 0<br/>@MCI 4 F,11.3,11.3,100%,0.4%
Paul Pogba,MUN,M,89,ColmL,MUN 1<br/>@SOU 1 F,11.25,11.25,100%,0%
Tom Heaton,AVL,G,90,mcavinur,AVL 0<br/>@CRY 1 F,11.25,11.25,17%,-12.2%
Lucas Torreira,ARS,M,91,FA,TOT 2<br/>@ARS 2 F,11.1,11.1,67%,34%
Marcus Rashford,MUN,F,92,ColmL,MUN 1<br/>@SOU 1 F,11,11,100%,0%
Cesar Azpilicueta,CHE,D,93,mcavinur,SHU 2<br/>@CHE 2 F,10.95,10.95,100%,0.2%
John Lundstram,SHU,"D,M",94,FA,SHU 2<br/>@CHE 2 F,10.85,10.85,42%,-3.8%
Caglar Soyuncu,LEI,D,95,Damo,BOU 1<br/>@LEI 3 F,10.7,10.7,75%,-6.4%
Bernardo Silva,MCI,"M,F",96,mcavinur,BHA 0<br/>@MCI 4 F,10.6,10.6,100%,0.1%
Frederic Guilbert,AVL,D,97,FA,AVL 0<br/>@CRY 1 F,10.55,10.55,17%,1.9%
Jordan Pickford,EVE,G,98,FA,WOL 2<br/>@EVE 3 F,10.5,10.5,100%,2.3%
Tom Trybull,NOR,M,99,FA,NOR 0<br/>@WHU 2 F,10.45,10.45,8%,5.3%
Dwight McNeil,BUR,M,100,ZKL,LIV 3<br/>@BUR 0 F,10.35,10.35,92%,8.9%
Oliver Norwood,SHU,M,101,ZKL,SHU 2<br/>@CHE 2 F,10.35,10.35,75%,13.8%
Jefferson Lerma,BOU,M,102,FA,BOU 1<br/>@LEI 3 F,10.35,10.35,8%,-1.1%
Danny Ings,SOU,F,103,FA,MUN 1<br/>@SOU 1 F,10.25,10.25,83%,4.5%
Erik Lamela,TOT,M,104,Eoghanoc,TOT 2<br/>@ARS 2 F,10.25,10.25,83%,-0.2%
Roberto Pereyra,WAT,M,105,FA,WAT 1<br/>@NEW 1 F,10.25,10.25,42%,-9%
Jamaal Lascelles,NEW,D,106,FA,WAT 1<br/>@NEW 1 F,9.9,9.9,50%,20.4%
Jamal Lewis,NOR,D,107,FA,NOR 0<br/>@WHU 2 F,9.9,9.9,8%,2.9%
Tom Cleverley,WAT,M,108,FA,WAT 1<br/>@NEW 1 F,9.75,9.75,0%,-2.1%
Jack OConnell,SHU,D,109,FA,SHU 2<br/>@CHE 2 F,9.65,9.65,17%,-9.6%
Fabinho,LIV,M,110,mcavinur,LIV 3<br/>@BUR 0 F,9.5,9.5,75%,-9.1%
Christian Kabasele,WAT,D,111,FA,WAT 1<br/>@NEW 1 F,9.5,9.5,0%,-0.8%
Jack Cork,BUR,M,112,FA,LIV 3<br/>@BUR 0 F,9.45,9.45,0%,-6.5%
Wilfried Zaha,CRY,F,113,ColmOF,AVL 0<br/>@CRY 1 F,9.25,9.25,100%,0.9%
Martin Dubravka,NEW,G,114,FA,WAT 1<br/>@NEW 1 F,9.25,9.25,33%,4.9%
Granit Xhaka,ARS,M,115,FA,TOT 2<br/>@ARS 2 F,9.1,9.1,67%,17.4%
Ruben Neves,WOL,M,116,FA,WOL 2<br/>@EVE 3 F,9.05,9.05,100%,7%
Emerson,CHE,D,117,ColmOF,SHU 2<br/>@CHE 2 F,9,9,92%,2.2%
Chris Mepham,BOU,D,118,FA,BOU 1<br/>@LEI 3 F,8.9,8.9,8%,2.9%
Jordan Henderson,LIV,M,119,FA,LIV 3<br/>@BUR 0 F,8.85,8.85,50%,9.6%
Adama Traore,WOL,F,120,FA,WOL 2<br/>@EVE 3 F,8.85,8.85,25%,5.5%
Dean Henderson,SHU,G,121,FA,SHU 2<br/>@CHE 2 F,8.75,8.75,17%,1.6%
