"Player","Team","Position","Rk","Status","Opponent","FPts","FP/G","% Owned"
"Bruno Fernandes","MUN","M","1","MKFC","BOU 2<br/>@MUN 5 F","34.5","34.5","-"
"Cesar Azpilicueta","CHE","D","2","RBF","WAT 0<br/>@CHE 3 F","27.65","27.65","-"
"Ross Barkley","CHE","M","3","Damo","WAT 0<br/>@CHE 3 F","24","24","-"
"Joshua King","BOU","M,F","4","FA","BOU 2<br/>@MUN 5 F","23.75","23.75","-"
"Anthony Martial","MUN","F","5","RBF","BOU 2<br/>@MUN 5 F","23.5","23.5","-"
"Alex McCarthy","SOU","G","6","FA","MCI 0<br/>@SOU 1 F","23.5","23.5","-"
"Jamie Vardy","LEI","F","7","ColmOF","CRY 0<br/>@LEI 3 F","23.35","23.35","-"
"Kyle Walker-Peters","TOT/SOU","D","8","FA","MCI 0<br/>@SOU 1 F","22.4","22.4","-"
"Mason Greenwood","MUN","M,F","9","ColmOF","BOU 2<br/>@MUN 5 F","22.35","22.35","-"
"James Tarkowski","BUR","D","10","Eoghanoc","SHU 1<br/>@BUR 1 F","21","21","-"
"Aaron Mooy","BHA","M,F","11","FA","BHA 1<br/>@NOR 0 F","20.85","20.85","-"
"Stuart Armstrong","SOU","M,F","12","mcavinur","MCI 0<br/>@SOU 1 F","20.7","20.7","-"
"Willian","CHE","M,F","13","MAX","WAT 0<br/>@CHE 3 F","19.75","19.75","-"
"Jonny Evans","LEI","D","14","Damo","CRY 0<br/>@LEI 3 F","19.7","19.7","-"
"Sead Kolasinac","ARS","D,M","15","FA","ARS 2<br/>@WOL 0 F","19.1","19.1","-"
"Declan Rice","WHU","M","16","MKFC","WHU 2<br/>@NEW 2 F","18.75","18.75","-"
"Marcus Rashford","MUN","M,F","17","ColmL","BOU 2<br/>@MUN 5 F","18.7","18.7","-"
"Kasper Schmeichel","LEI","G","18","MKFC","CRY 0<br/>@LEI 3 F","18.25","18.25","-"
"Jonjo Shelvey","NEW","M","19","FA","WHU 2<br/>@NEW 2 F","17.85","17.85","-"
"Tomas Soucek","WHU","M","20","mcavinur","WHU 2<br/>@NEW 2 F","17.85","17.85","-"
"James Justin","LEI","D","21","RBF","CRY 0<br/>@LEI 3 F","17.7","17.7","-"
"Harvey Barnes","LEI","M","22","FA","CRY 0<br/>@LEI 3 F","17.5","17.5","-"
"Alisson","LIV","G","23","Damo","AVL 0<br/>@LIV 2 F","17.5","17.5","-"
"Ryan Bertrand","SOU","D,M","24","ColmOF","MCI 0<br/>@SOU 1 F","17.4","17.4","-"
"Tariq Lamptey","CHE/BHA","D","25","MAX","BHA 1<br/>@NOR 0 F","17.3","17.3","-"
"Hugo Lloris","TOT","G","26","FA","EVE 0<br/>@TOT 1 F","17.25","17.25","-"
"Leandro Trossard","BHA","M,F","27","FA","BHA 1<br/>@NOR 0 F","17.25","17.25","-"
"Kepa Arrizabalaga","CHE","G","28","FA","WAT 0<br/>@CHE 3 F","17","17","-"
"John Egan","SHU","D","29","Damo","SHU 1<br/>@BUR 1 F","17","17","-"
"Jack Stephens","SOU","D","30","FA","MCI 0<br/>@SOU 1 F","17","17","-"
"Junior Stanislas","BOU","M","31","FA","BOU 2<br/>@MUN 5 F","16.85","16.85","-"
"Youri Tielemans","LEI","M","32","FA","CRY 0<br/>@LEI 3 F","16.75","16.75","-"
"Jan Bednarek","SOU","D","33","RBF","MCI 0<br/>@SOU 1 F","16.65","16.65","-"
"Joao Cancelo","MCI","D","34","mcavinur","MCI 0<br/>@SOU 1 F","16.65","16.65","-"
"Michail Antonio","WHU","M,F","35","MAX","WHU 2<br/>@NEW 2 F","16.5","16.5","-"
"Jarrod Bowen","HUL/WHU","M,F","36","mcavinur","WHU 2<br/>@NEW 2 F","16.5","16.5","-"
"Will Hughes","WAT","M","37","FA","WAT 0<br/>@CHE 3 F","16.35","16.35","-"
"Kurt Zouma","CHE","D","38","FA","WAT 0<br/>@CHE 3 F","16.1","16.1","-"
"Sadio Mane","LIV","M,F","39","RBF","AVL 0<br/>@LIV 2 F","16","16","-"
"Nemanja Matic","MUN","M","40","FA","BOU 2<br/>@MUN 5 F","15.75","15.75","-"
"Olivier Giroud","CHE","F","41","MAX","WAT 0<br/>@CHE 3 F","15.6","15.6","-"
"Che Adams","SOU","F","42","FA","MCI 0<br/>@SOU 1 F","15.35","15.35","-"
"Jay Rodriguez","BUR","F","43","FA","SHU 1<br/>@BUR 1 F","15.35","15.35","-"
"Reece James","CHE","D","44","MAX","WAT 0<br/>@CHE 3 F","15.15","15.15","-"
"Lewis Dunk","BHA","D","45","RBF","BHA 1<br/>@NOR 0 F","15.05","15.05","-"
"Caglar Soyuncu","LEI","D","46","FA","CRY 0<br/>@LEI 3 F","15.05","15.05","-"
"Mohamed Salah","LIV","F","47","Damo","AVL 0<br/>@LIV 2 F","15","15","-"
"Miguel Almiron","NEW","M,F","48","MKFC","WHU 2<br/>@NEW 2 F","14.75","14.75","-"
"Naby Keita","LIV","M","49","Damo","AVL 0<br/>@LIV 2 F","14.75","14.75","-"
"Joseph Willock","ARS","M","50","FA","ARS 2<br/>@WOL 0 F","14.75","14.75","-"
"Serge Aurier","TOT","D","51","MAX","EVE 0<br/>@TOT 1 F","14.45","14.45","-"
"Ben Foster","WAT","G","52","FA","WAT 0<br/>@CHE 3 F","14.25","14.25","-"
"Virgil van Dijk","LIV","D","53","RBF","AVL 0<br/>@LIV 2 F","14.25","14.25","-"
"Joseph Gomez","LIV","D","54","mcavinur","AVL 0<br/>@LIV 2 F","14.2","14.2","-"
"Wilfred Ndidi","LEI","M","55","MAX","CRY 0<br/>@LEI 3 F","14.2","14.2","-"
"Ben Davies","TOT","D","56","ColmOF","EVE 0<br/>@TOT 1 F","14.15","14.15","-"
"Trent Alexander-Arnold","LIV","D","57","ColmOF","AVL 0<br/>@LIV 2 F","14.1","14.1","-"
"Kelechi Iheanacho","LEI","F","58","FA","CRY 0<br/>@LEI 3 F","14","14","-"
"Cedric Soares","SOU/ARS","D","59","FA","ARS 2<br/>@WOL 0 F","13.9","13.9","-"
"Martin Dubravka","NEW","G","60","RBF","WHU 2<br/>@NEW 2 F","13.75","13.75","-"
"Dan Burn","BHA","D","61","FA","BHA 1<br/>@NOR 0 F","13.7","13.7","-"
"Paul Pogba","MUN","M","62","ColmL","BOU 2<br/>@MUN 5 F","13.7","13.7","-"
"Shkodran Mustafi","ARS","D","63","FA","ARS 2<br/>@WOL 0 F","13.65","13.65","-"
"Bukayo Saka","ARS","D,M,F","64","FA","ARS 2<br/>@WOL 0 F","13.5","13.5","-"
"Andreas Christensen","CHE","D","65","FA","WAT 0<br/>@CHE 3 F","13.35","13.35","-"
"Aaron Ramsdale","BOU","G","66","FA","BOU 2<br/>@MUN 5 F","13.25","13.25","-"
"Emiliano Martinez","ARS","G","67","mcavinur","ARS 2<br/>@WOL 0 F","13","13","-"
"Mat Ryan","BHA","G","68","FA","BHA 1<br/>@NOR 0 F","13","13","-"
"Bernardo Silva","MCI","M,F","69","mcavinur","MCI 0<br/>@SOU 1 F","13","13","-"
"Emil Krafth","NEW","D","70","FA","WHU 2<br/>@NEW 2 F","12.9","12.9","-"
"Christian Pulisic","CHE","M,F","71","Eoghanoc","WAT 0<br/>@CHE 3 F","12.75","12.75","-"
"Adam Webster","BHA","D","72","FA","BHA 1<br/>@NOR 0 F","12.6","12.6","-"
"Adama Traore","WOL","M,F","73","MKFC","ARS 2<br/>@WOL 0 F","12.5","12.5","-"
"Kieran Tierney","ARS","D","74","FA","ARS 2<br/>@WOL 0 F","12.45","12.45","-"
"Douglas Luiz","AVL","M","75","MAX","AVL 0<br/>@LIV 2 F","12.35","12.35","-"
"David Silva","MCI","M","76","MAX","MCI 0<br/>@SOU 1 F","12.25","12.25","-"
"Alexandre Lacazette","ARS","F","77","ColmL","ARS 2<br/>@WOL 0 F","12.1","12.1","-"
"Curtis Jones","LIV","M","78","RBF","AVL 0<br/>@LIV 2 F","12","12","-"
"Nathaniel Chalobah","WAT","M","79","FA","WAT 0<br/>@CHE 3 F","11.95","11.95","-"
"David Luiz","ARS","D","80","ColmL","ARS 2<br/>@WOL 0 F","11.9","11.9","-"
"James Ward-Prowse","SOU","M","81","Damo","MCI 0<br/>@SOU 1 F","11.85","11.85","-"
