"Player","Team","Position","Rk","Status","Opponent","FPts","FP/G","% Owned","+/-"
"Robert Snodgrass","WHU","M","1","W (Tue)","BHA 3<br/>@WHU 3 F","36","36","58%","+1.1%"
"Mohamed Salah","LIV","F","2","Damo","SOU 0<br/>@LIV 4 F","29.5","29.5","100%","0%"
"Roberto Firmino","LIV","M,F","3","Eoghanoc","SOU 0<br/>@LIV 4 F","29","29","100%","0%"
"Jordan Henderson","LIV","M","4","Eoghanoc","SOU 0<br/>@LIV 4 F","28.6","28.6","83%","+1.8%"
"Antonio Rudiger","CHE","D","5","W (Tue)","CHE 2<br/>@LEI 2 F","27.8","27.8","51%","+0.5%"
"Hugo Lloris","TOT","G","6","W (Tue)","MCI 0<br/>@TOT 2 F","27.5","27.5","63%","+0.1%"
"Philip Billing","BOU","M","7","W (Tue)","AVL 1<br/>@BOU 2 F","25.55","25.55","35%","+0.1%"
"Yerry Mina","EVE","D","8","W (Tue)","EVE 3<br/>@WAT 2 F","25.25","25.25","57%","-0.1%"
"Tim Krul","NOR","G","9","W (Tue)","NOR 0<br/>@NEW 0 F","24","24","16%","-0.1%"
"Aaron Wan-Bissaka","MUN","D","10","MKFC","WOL 0<br/>@MUN 0 F","21.8","21.8","98%","0%"
"Rui Patricio","WOL","G","11","Damo","WOL 0<br/>@MUN 0 F","21","21","50%","+0.1%"
"Mason Mount","CHE","M,F","12","RBF","CHE 2<br/>@LEI 2 F","20.85","20.85","93%","-0.1%"
"Youri Tielemans","LEI","M","13","W (Tue)","CHE 2<br/>@LEI 2 F","20.7","20.7","94%","-0.3%"
"Ben Chilwell","LEI","D","14","Eoghanoc","CHE 2<br/>@LEI 2 F","20.45","20.45","100%","+0.2%"
"Issa Diop","WHU","D","15","W (Tue)","BHA 3<br/>@WHU 3 F","19.55","19.55","16%","-0.8%"
"Pascal Gross","BHA","M,F","16","W (Tue)","BHA 3<br/>@WHU 3 F","19.5","19.5","85%","+0.1%"
"Alisson","LIV","G","17","Damo","SOU 0<br/>@LIV 4 F","19.25","19.25","99%","0%"
"Martin Dubravka","NEW","G","18","RBF","NOR 0<br/>@NEW 0 F","19","19","78%","+1.6%"
"Serge Aurier","TOT","D","19","MAX","MCI 0<br/>@TOT 2 F","18.95","18.95","94%","-0.1%"
"Dwight McNeil","BUR","M","20","MKFC","ARS 0<br/>@BUR 0 F","18.85","18.85","89%","-0.4%"
"Willy Boly","WOL","D","21","W (Tue)","WOL 0<br/>@MUN 0 F","18.7","18.7","81%","+3.4%"
"Federico Fernandez","NEW","D","22","W (Tue)","NOR 0<br/>@NEW 0 F","18.7","18.7","16%","+1.4%"
"Dean Henderson","SHU","G","23","Eoghanoc","SHU 1<br/>@CRY 0 F","18.5","18.5","75%","+3.5%"
"Luke Shaw","MUN","D","24","W (Tue)","WOL 0<br/>@MUN 0 F","18.5","18.5","48%","+2.6%"
"Joao Moutinho","WOL","M","25","MAX","WOL 0<br/>@MUN 0 F","18.35","18.35","99%","0%"
"Japhet Tanganga","TOT","D","26","W (Tue)","MCI 0<br/>@TOT 2 F","18.25","18.25","22%","+3.4%"
"Hector Bellerin","ARS","D","27","W (Tue)","ARS 0<br/>@BUR 0 F","18.05","18.05","53%","+3.2%"
"Etienne Capoue","WAT","M","28","W (Tue)","EVE 3<br/>@WAT 2 F","17.95","17.95","26%","-0.8%"
"Chris Basham","SHU","D","29","RBF","SHU 1<br/>@CRY 0 F","17.85","17.85","74%","+0.6%"
"Grant Hanley","NOR","D","30","W (Tue)","NOR 0<br/>@NEW 0 F","17.75","17.75","1%","0%"
"Jonny","WOL","D,M","31","ColmOF","WOL 0<br/>@MUN 0 F","17.7","17.7","85%","-0.5%"
"Nathan Ake","BOU","D","32","W (Tue)","AVL 1<br/>@BOU 2 F","17.55","17.55","60%","-0.3%"
"Jack Grealish","AVL","M,F","33","mcavinur","AVL 1<br/>@BOU 2 F","17.5","17.5","99%","0%"
