"Player","Team","Position","Rk","Status","Opponent","FPts","FP/G","% Owned","+/-"
"Gerard Deulofeu","WAT","M,F","1","W (Tue)","WAT 2<br/>@NOR 0 F","27.2","27.2","94%","+1.5%"
"Dwight McNeil","BUR","M","2","ZKL","WHU 0<br/>@BUR 3 F","26.75","26.75","93%","-0.6%"
"Adama Traore","WOL","F","3","MKFC","AVL 1<br/>@WOL 2 F","25","25","88%","+1.3%"
"Christian Pulisic","CHE","M","4","Eoghanoc","CRY 0<br/>@CHE 2 F","24","24","99%","-0.2%"
"Roberto Jimenez","WHU","G","5","W (Tue)","WHU 0<br/>@BUR 3 F","24","24","2%","-0.1%"
"Jamie Vardy","LEI","F","6","ColmOF","ARS 0<br/>@LEI 2 F","22.5","22.5","100%","0%"
"Richarlison","EVE","M,F","7","ColmL","EVE 2<br/>@SOU 1 F","22.35","22.35","100%","-0.1%"
"James Tarkowski","BUR","D","8","Eoghanoc","WHU 0<br/>@BUR 3 F","22.05","22.05","97%","-0.3%"
"Raul Jimenez","WOL","F","9","Eoghanoc","AVL 1<br/>@WOL 2 F","21.75","21.75","100%","0%"
"Son Heung-Min","TOT","M,F","10","Eoghanoc","SHU 1<br/>@TOT 1 F","21.5","21.5","100%","-0.1%"
"Ruben Neves","WOL","M","11","W (Tue)","AVL 1<br/>@WOL 2 F","21.35","21.35","71%","+1.9%"
"Mat Ryan","BHA","G","12","mcavinur","BHA 1<br/>@MUN 3 F","21","21","62%","+2.8%"
"Ben Foster","WAT","G","13","ZKL","WAT 2<br/>@NOR 0 F","21","21","46%","+6.4%"
"James Maddison","LEI","M","14","Damo","ARS 0<br/>@LEI 2 F","20.85","20.85","100%","0%"
"Bernardo Silva","MCI","M,F","15","mcavinur","MCI 1<br/>@LIV 3 F","20.85","20.85","100%","0%"
"Anthony Martial","MUN","F","16","RSC","BHA 1<br/>@MUN 3 F","20.75","20.75","100%","+0.2%"
"Sadio Mane","LIV","M,F","17","RSC","MCI 1<br/>@LIV 3 F","20.5","20.5","100%","0%"
"Trezeguet","AVL","M,F","18","W (Tue)","AVL 1<br/>@WOL 2 F","20.5","20.5","26%","-8%"
"Tom Davies","EVE","M","19","W (Tue)","EVE 2<br/>@SOU 1 F","19.95","19.95","3%","+0.1%"
"Allan Saint-Maximin","NEW","M,F","20","ZKL","BOU 1<br/>@NEW 2 F","19.35","19.35","44%","-0.6%"
"Nick Pope","BUR","G","21","W (Tue)","WHU 0<br/>@BUR 3 F","19","19","73%","+1.5%"
