Player,Team,Position,Rk,Status,Opponent,FPts,FP/G,% Owned,+/-
Philip Billing,BOU,M,98,ColmOF,MCI 3<br/>@BOU 1 F,9.95,9.95,33%,-6.1%
Davy Propper,BHA,M,99,FA,SOU 2<br/>@BHA 0 F,9.85,9.85,33%,-8.2%
Shane Duffy,BHA,D,100,Seanmacd,SOU 2<br/>@BHA 0 F,9.8,9.8,100%,7.5%
Anthony Martial,MUN,F,101,Seanmacd, CRY 2<br/>@MUN 1 F,9.75,9.75,100%,0.2%
Son Heung-Min,TOT,"M,F",102,Eoghanoc,NEW 1<br/>@TOT 0 F,9.75,9.75,100%,0.1%
Etienne Capoue,WAT,M,103,FA,WHU 3<br/>@WAT 1 F,9.75,9.75,42%,17.2%
Richarlison,EVE,"M,F",104,ColmL,EVE 0<br/>@AVL 2 F,9.6,9.6,100%,0.2%
Declan Rice,WHU,M,105,MKFC,WHU 3<br/>@WAT 1 F,9.6,9.6,50%,10%
Joshua King,BOU,F,106,mcavinur,MCI 3<br/>@BOU 1 F,9.25,9.25,100%,2%
Paul Pogba,MUN,M,107,ColmL, CRY 2<br/>@MUN 1 F,9.25,9.25,100%,0%
Matt Ritchie,NEW,"D,M",108,ColmL,NEW 1<br/>@TOT 0 F,9.2,9.2,75%,4.2%
Lucas Digne,EVE,D,109,ZKL,EVE 0<br/>@AVL 2 F,9.1,9.1,100%,0%
Enda Stevens,SHU,D,110,ZKL,LEI 2<br/>@SHU 1 F,9.1,9.1,58%,15.2%
Harry Maguire,MUN,D,111,ColmOF, CRY 2<br/>@MUN 1 F,9.05,9.05,100%,0.1%
Nick Pope,BUR,G,112,ZKL,BUR 1<br/>@WOL 1 F,9,9,75%,-4.9%
Moritz Leitner,NOR,M,113,FA,CHE 3<br/>@NOR 2 F,8.95,8.95,0%,-2.2%
Youri Tielemans,LEI,M,114,ColmOF,LEI 2<br/>@SHU 1 F,8.85,8.85,100%,0.3%
Davinson Sanchez,TOT,D,115,FA,NEW 1<br/>@TOT 0 F,8.85,8.85,75%,15.7%
Tom Cleverley,WAT,M,116,FA,WHU 3<br/>@WAT 1 F,8.85,8.85,0%,-2.1%
Kepa Arrizabalaga,CHE,G,117,mcavinur,CHE 3<br/>@NOR 2 F,8.75,8.75,92%,14.8%
Aymeric Laporte,MCI,D,118,Damo,MCI 3<br/>@BOU 1 F,8.7,8.7,75%,-7.9%
