"Player","Team","Position","Rk","Status","Opponent","FPts","FP/G","% Owned","+/-"
"Matt Doherty","WOL","D,M","1","FA","WAT 0<br/>@WOL 2 F","26.55","26.55","91%","-8.9%"
"Riyad Mahrez","MCI","M,F","2","ColmOF","MCI 3<br/>@EVE 1 F","26.5","26.5","100%","-0.2%"
"Ricardo Pereira","LEI","D","3","mcavinur","NEW 0<br/>@LEI 5 F","25.7","25.7","100%","0%"
"Wilfred Ndidi","LEI","M","4","ZKL","NEW 0<br/>@LEI 5 F","25.25","25.25","97%","+5.5%"
"Jorginho","CHE","M","5","MKFC","BHA 0<br/>@CHE 2 F","25.2","25.2","88%","-3.2%"
"Joshua King","BOU","F","6","mcavinur","WHU 2<br/>@BOU 2 F","23.5","23.5","99%","-0.8%"
"Felipe Anderson","WHU","M","7","ZKL","WHU 2<br/>@BOU 2 F","22.5","22.5","100%","-0.1%"
"Jamie Vardy","LEI","F","8","ColmOF","NEW 0<br/>@LEI 5 F","22.5","22.5","100%","-0.3%"
"Rui Patricio","WOL","G","9","Damo","WAT 0<br/>@WOL 2 F","21.25","21.25","83%","-16.8%"
"Seamus Coleman","EVE","D","10","ColmL","MCI 3<br/>@EVE 1 F","20.7","20.7","85%","+10.1%"
"Willian","CHE","F","11","ZKL","BHA 0<br/>@CHE 2 F","20","20","93%","-7.5%"
"Callum Wilson","BOU","F","12","Eoghanoc","WHU 2<br/>@BOU 2 F","19.95","19.95","100%","-0.3%"
"Jonny Evans","LEI","D","13","FA","NEW 0<br/>@LEI 5 F","19.95","19.95","63%","-3.9%"
"Luka Milivojevic","CRY","M","14","Seanmacd","NOR 0<br/>@CRY 2 F","19.6","19.6","96%","-4.1%"
"John McGinn","AVL","M","15","ColmL","BUR 2<br/>@AVL 2 F","19.5","19.5","94%","-6.1%"
"Andriy Yarmolenko","WHU","M,F","16","ZKL","WHU 2<br/>@BOU 2 F","19","19","83%","-8.7%"
"Willy Boly","WOL","D","17","Eoghanoc","WAT 0<br/>@WOL 2 F","18.85","18.85","99%","-1.2%"
"Scott McTominay","MUN","M","18","Eoghanoc","ARS 1<br/>@MUN 1 F","18.85","18.85","73%","-19%"
"Ben Chilwell","LEI","D","19","Eoghanoc","NEW 0<br/>@LEI 5 F","18.75","18.75","99%","+7.5%"
"Wilfried Zaha","CRY","M,F","20","ColmOF","NOR 0<br/>@CRY 2 F","18.6","18.6","99%","-1%"
"Raheem Sterling","MCI","F","21","ColmL","MCI 3<br/>@EVE 1 F","18.5","18.5","100%","0%"
"Declan Rice","WHU","M","22","MKFC","WHU 2<br/>@BOU 2 F","18.5","18.5","48%","-1.6%"
"Kevin De Bruyne","MCI","M","23","Eoghanoc","MCI 3<br/>@EVE 1 F","18.45","18.45","100%","-0.1%"
"Tanguy Ndombele","TOT","M","24","Damo","SOU 1<br/>@TOT 2 F","18.25","18.25","97%","-2.8%"
"Erik Pieters","BUR","D","25","Seanmacd","BUR 2<br/>@AVL 2 F","17.9","17.9","86%","-5.3%"
"Vicente Guaita","CRY","G","26","FA","NOR 0<br/>@CRY 2 F","17.75","17.75","31%","-18.9%"
"Sebastien Haller","WHU","F","27","ColmL","WHU 2<br/>@BOU 2 F","17.6","17.6","99%","-1.2%"
"Virgil van Dijk","LIV","D","28","Seanmacd","LIV 1<br/>@SHU 0 F","17.5","17.5","100%","0%"
"Pierre-Emerick Aubameyang","ARS","F","29","ColmOF","ARS 1<br/>@MUN 1 F","17","17","100%","-0.1%"
"Danny Ings","SOU","F","30","ZKL","SOU 1<br/>@TOT 2 F","17","17","82%","-1.8%"
"Bukayo Saka","ARS","F","31","FA","ARS 1<br/>@MUN 1 F","17","17","46%","-4.1%"
"Joel Matip","LIV","D","32","ZKL","LIV 1<br/>@SHU 0 F","16.95","16.95","98%","-1.9%"
"Mat Ryan","BHA","G","33","mcavinur","BHA 0<br/>@CHE 2 F","16.75","16.75","53%","-13.7%"
"Joel Ward","CRY","D","34","FA","NOR 0<br/>@CRY 2 F","16.75","16.75","46%","-21.2%"
"Matt Targett","AVL","D,M","35","MKFC","BUR 2<br/>@AVL 2 F","16.4","16.4","48%","+14.4%"
"Cesar Azpilicueta","CHE","D","36","mcavinur","BHA 0<br/>@CHE 2 F","16.05","16.05","100%","-0.2%"
"Caglar Soyuncu","LEI","D","37","Damo","NEW 0<br/>@LEI 5 F","16.05","16.05","86%","-14%"
"Son Heung-Min","TOT","M,F","38","Eoghanoc","SOU 1<br/>@TOT 2 F","16","16","100%","-0.1%"
"Fikayo Tomori","CHE","D","39","FA","BHA 0<br/>@CHE 2 F","16","16","66%","-9.5%"
"Trent Alexander-Arnold","LIV","D","40","ColmOF","LIV 1<br/>@SHU 0 F","15.8","15.8","100%","0%"
"Gary Cahill","CRY","D","41","FA","NOR 0<br/>@CRY 2 F","15.7","15.7","6%","-2.2%"
"Jonny","WOL","D,M","42","ColmOF","WAT 0<br/>@WOL 2 F","15.35","15.35","69%","-14.7%"
"Andros Townsend","CRY","M,F","43","FA","NOR 0<br/>@CRY 2 F","15.25","15.25","70%","-21.5%"
"Harry Kane","TOT","F","44","MKFC","SOU 1<br/>@TOT 2 F","15.05","15.05","100%","-0.1%"
"Aaron Cresswell","WHU","D","45","FA","WHU 2<br/>@BOU 2 F","15.05","15.05","30%","-28.2%"
"Ederson","MCI","G","46","ColmL","MCI 3<br/>@EVE 1 F","15","15","99%","-0.8%"
"Gabriel Jesus","MCI","F","47","mcavinur","MCI 3<br/>@EVE 1 F","15","15","98%","-2.2%"
"Dominic Calvert-Lewin","EVE","F","48","FA","MCI 3<br/>@EVE 1 F","15","15","35%","-14.8%"
"Conor Coady","WOL","D","49","FA","WAT 0<br/>@WOL 2 F","15","15","17%","-7.6%"
"Christian Eriksen","TOT","M","50","Eoghanoc","SOU 1<br/>@TOT 2 F","14.95","14.95","100%","-0.5%"
"Fabinho","LIV","M","51","mcavinur","LIV 1<br/>@SHU 0 F","14.85","14.85","82%","+6.9%"
"Ayoze Perez","LEI","M,F","52","FA","NEW 0<br/>@LEI 5 F","14.75","14.75","75%","-17%"
"Andrew Robertson","LIV","D","53","mcavinur","LIV 1<br/>@SHU 0 F","14.7","14.7","100%","-0.1%"
"Enda Stevens","SHU","D,M","54","MKFC","LIV 1<br/>@SHU 0 F","14.55","14.55","74%","-1.4%"
"Marcos Alonso","CHE","D","55","ColmOF","BHA 0<br/>@CHE 2 F","14.3","14.3","96%","-4.3%"
"Marcus Rashford","MUN","F","56","ColmL","ARS 1<br/>@MUN 1 F","14.25","14.25","100%","-0.1%"
"Jordan Pickford","EVE","G","57","FA","MCI 3<br/>@EVE 1 F","14.25","14.25","81%","+14.1%"
"Georginio Wijnaldum","LIV","M","58","FA","LIV 1<br/>@SHU 0 F","14.25","14.25","64%","+6.1%"
"Harvey Barnes","LEI","M","59","FA","NEW 0<br/>@LEI 5 F","14.25","14.25","40%","+6.3%"
"Frederic Guilbert","AVL","D","60","ZKL","BUR 2<br/>@AVL 2 F","14.05","14.05","42%","+16.9%"
"Gylfi Sigurdsson","EVE","M","61","ColmOF","MCI 3<br/>@EVE 1 F","14","14","99%","-0.6%"
"Patrick van Aanholt","CRY","D","62","FA","NOR 0<br/>@CRY 2 F","14","14","85%","-6.5%"
"Jeffrey Schlupp","CRY","D,M","63","ColmL","NOR 0<br/>@CRY 2 F","13.95","13.95","58%","+16.7%"
"Nathan Ake","BOU","D","64","FA","WHU 2<br/>@BOU 2 F","13.65","13.65","84%","+9.2%"
"Matthew Lowton","BUR","D","65","FA","BUR 2<br/>@AVL 2 F","13.55","13.55","61%","-14.3%"
"Chris Wood","BUR","F","66","FA","BUR 2<br/>@AVL 2 F","13.5","13.5","49%","-42.4%"
"Marvelous Nakamba","AVL","M","67","MKFC","BUR 2<br/>@AVL 2 F","13.35","13.35","14%","-2.7%"
"Hugo Lloris","TOT","G","68","Eoghanoc","SOU 1<br/>@TOT 2 F","13.25","13.25","59%","+0.8%"
"Adrian","LIV","G","69","FA","LIV 1<br/>@SHU 0 F","13.25","13.25","31%","-19%"
