"Player","Team","Position","Rk","Status","Opponent","FPts","FP/G","% Owned"
"Anthony Martial","MUN","F","1","RBF","SHU 0<br/>@MUN 3 F","33.75","33.75","-"
"Michael Keane","EVE","D","2","FA","EVE 1<br/>@NOR 0 F","30.4","30.4","-"
"Fabinho","LIV","M","3","FA","CRY 0<br/>@LIV 4 F","30","30","-"
"Trent Alexander-Arnold","LIV","D","4","ColmOF","CRY 0<br/>@LIV 4 F","23.2","23.2","-"
"Lucas Digne","EVE","D","5","ColmOF","EVE 1<br/>@NOR 0 F","22.85","22.85","-"
"Sadio Mane","LIV","M,F","6","RBF","CRY 0<br/>@LIV 4 F","22","22","-"
"Andrew Robertson","LIV","D","7","mcavinur","CRY 0<br/>@LIV 4 F","21.5","21.5","-"
"Virgil van Dijk","LIV","D","8","RBF","CRY 0<br/>@LIV 4 F","20.8","20.8","-"
"Marcus Rashford","MUN","M,F","9","ColmL","SHU 0<br/>@MUN 3 F","20.75","20.75","-"
"Nick Pope","BUR","G","10","MAX","WAT 0<br/>@BUR 1 F","20.5","20.5","-"
"Mohamed Salah","LIV","F","11","Damo","CRY 0<br/>@LIV 4 F","19.5","19.5","-"
"Alex Iwobi","EVE","M,F","12","FA","EVE 1<br/>@NOR 0 F","19.4","19.4","-"
"Tariq Lamptey","CHE/BHA","D","13","MAX","BHA 0<br/>@LEI 0 F","19.05","19.05","-"
"Kasper Schmeichel","LEI","G","14","MKFC","BHA 0<br/>@LEI 0 F","19","19","-"
"Aaron Wan-Bissaka","MUN","D","15","MKFC","SHU 0<br/>@MUN 3 F","18.9","18.9","-"
"James Tarkowski","BUR","D","16","Eoghanoc","WAT 0<br/>@BUR 1 F","18.65","18.65","-"
"Christian Pulisic","CHE","M,F","17","Eoghanoc","MCI 1<br/>@CHE 2 F","18.5","18.5","-"
"Jonny","WOL","D,M","18","ColmOF","BOU 0<br/>@WOL 1 F","18.4","18.4","-"
"Jay Rodriguez","BUR","F","19","FA","WAT 0<br/>@BUR 1 F","18.2","18.2","-"
