"Player","Team","Position","Rk","Status","Opponent","FPts","FP/G","% Owned","+/-"
"Trent Alexander-Arnold","LIV","D","1","ColmOF","LIV 4<br/>@LEI 0 F","48.6","48.6","100%","0%"
"Adama Traore","WOL","F","2","MKFC","MCI 2<br/>@WOL 3 F","37","37","88%","+1.3%"
"Jordan Ayew","CRY","F","3","RSC","WHU 1<br/>@CRY 2 F","33.85","33.85","58%","+8.5%"
"Djibril Sidibe","EVE","D","4","MKFC","BUR 0<br/>@EVE 1 F","26.9","26.9","67%","+8.6%"
"Roberto Firmino","LIV","M,F","5","Eoghanoc","LIV 4<br/>@LEI 0 F","26.75","26.75","100%","0%"
"Anthony Martial","MUN","F","6","RSC","NEW 1<br/>@MUN 4 F","25","25","100%","+0.2%"
"Raul Jimenez","WOL","F","7","Eoghanoc","MCI 2<br/>@WOL 3 F","24.25","24.25","100%","0%"
"Raheem Sterling","MCI","F","8","ColmL","MCI 2<br/>@WOL 3 F","22.5","22.5","100%","0%"
"Andrew Robertson","LIV","D","9","mcavinur","LIV 4<br/>@LEI 0 F","21.9","21.9","100%","+0.1%"
"Oliver Norwood","SHU","M","10","FA","WAT 1<br/>@SHU 1 F","21.85","21.85","71%","+1%"
"Adam Webster","BHA","D","11","mcavinur","BHA 1<br/>@TOT 2 F","21.85","21.85","18%","+3.4%"
"Harry Kane","TOT","F","12","MKFC","BHA 1<br/>@TOT 2 F","21.35","21.35","100%","0%"
"Tom Heaton","AVL","G","13","W (Tue)","NOR 0<br/>@AVL 1 F","21","21","25%","+2.4%"
"Ruben Neves","WOL","M","14","W (Tue)","MCI 2<br/>@WOL 3 F","20.5","20.5","71%","+1.9%"
"Michail Antonio","WHU","M","15","ColmOF","WHU 1<br/>@CRY 2 F","20.1","20.1","81%","-0.4%"
"Cedric Soares (prior)","SOU","D","16","W (Tue)","SOU 2<br/>@CHE 0 F","19.8","19.8","7%","+3.9%"
"Jack Grealish","AVL","M,F","17","mcavinur","NOR 0<br/>@AVL 1 F","19.75","19.75","99%","0%"
"Mason Greenwood","MUN","F","18","mcavinur","NEW 1<br/>@MUN 4 F","19.75","19.75","36%","+4.5%"
"Kortney Hause","AVL","D","19","W (Tue)","NOR 0<br/>@AVL 1 F","19.1","19.1","5%","+3.6%"
"Pierre-Emile Hojbjerg","SOU","M","20","MKFC","SOU 2<br/>@CHE 0 F","18.4","18.4","70%","+4.1%"
"Alex McCarthy","SOU","G","21","W (Tue)","SOU 2<br/>@CHE 0 F","18.25","18.25","5%","+2%"
"Joelinton","NEW","F","22","W (Tue)","NEW 1<br/>@MUN 4 F","17.75","17.75","58%","+1.8%"
"Wilfried Zaha","CRY","M,F","23","ColmOF","WHU 1<br/>@CRY 2 F","17.5","17.5","99%","-0.1%"
"Matt Doherty","WOL","D,M","24","Damo","MCI 2<br/>@WOL 3 F","17.45","17.45","97%","0%"
"Dele Alli","TOT","M","25","ColmL","BHA 1<br/>@TOT 2 F","17.35","17.35","100%","+0.1%"
"Gylfi Sigurdsson","EVE","M","26","ColmOF","BUR 0<br/>@EVE 1 F","17.35","17.35","98%","+0.6%"
"Nathan Redmond","SOU","M,F","27","Eoghanoc","SOU 2<br/>@CHE 0 F","17.35","17.35","79%","+5.2%"
"Jack Stephens","SOU","D","28","W (Tue)","SOU 2<br/>@CHE 0 F","17.3","17.3","4%","+2.6%"
"Robert Snodgrass","WHU","M","29","W (Tue)","WHU 1<br/>@CRY 2 F","17.1","17.1","43%","-1.9%"
"Aaron Wan-Bissaka","MUN","D","30","MKFC","NEW 1<br/>@MUN 4 F","17","17","97%","-0.6%"
"Pascal Gross","BHA","M,F","31","W (Tue)","BHA 1<br/>@TOT 2 F","17","17","93%","+1.2%"
"Lucas Digne","EVE","D","32","ZKL","BUR 0<br/>@EVE 1 F","16.4","16.4","100%","+0.1%"
"Serge Aurier","TOT","D","33","ZKL","BHA 1<br/>@TOT 2 F","16.35","16.35","92%","+0.2%"
"Matt Targett","AVL","D,M","34","MKFC","NOR 0<br/>@AVL 1 F","16.3","16.3","58%","+0.5%"
"Jan Bednarek","SOU","D","35","RSC","SOU 2<br/>@CHE 0 F","16.3","16.3","11%","+1.8%"
"Kevin De Bruyne","MCI","M","36","Eoghanoc","MCI 2<br/>@WOL 3 F","15.85","15.85","100%","0%"
"Cheikhou Kouyate","CRY","M","37","W (Tue)","WHU 1<br/>@CRY 2 F","15.7","15.7","8%","+0.7%"
"Yerry Mina","EVE","D","38","W (Tue)","BUR 0<br/>@EVE 1 F","15.65","15.65","53%","+0.6%"
"Charlie Taylor","BUR","D","39","ZKL","BUR 0<br/>@EVE 1 F","15.65","15.65","14%","+5.1%"
"Naby Keita","LIV","M","40","MKFC","LIV 4<br/>@LEI 0 F","15.6","15.6","66%","-1.3%"
"Matthew Longstaff","NEW","M","41","W (Tue)","NEW 1<br/>@MUN 4 F","15.35","15.35","2%","+0.2%"
"Wilfred Ndidi","LEI","M","42","ZKL","LIV 4<br/>@LEI 0 F","15.3","15.3","98%","0%"
"Sadio Mane","LIV","M,F","43","RSC","LIV 4<br/>@LEI 0 F","15.25","15.25","100%","0%"
"Reiss Nelson","ARS","F","44","W (Tue)","ARS 1<br/>@BOU 1 F","15.25","15.25","10%","-0.5%"
"Dan Gosling","BOU","M","45","W (Tue)","ARS 1<br/>@BOU 1 F","15.2","15.2","4%","+1.7%"
"Mason Holgate","EVE","D","46","W (Tue)","BUR 0<br/>@EVE 1 F","15.15","15.15","10%","+3%"
"Jack Stacey","BOU","D","47","W (Tue)","ARS 1<br/>@BOU 1 F","14.95","14.95","3%","+0.9%"
"Seamus Coleman","EVE","D","48","ColmL","BUR 0<br/>@EVE 1 F","14.9","14.9","48%","-3.1%"
"Max Aarons","NOR","D","49","W (Tue)","NOR 0<br/>@AVL 1 F","14.9","14.9","15%","+0.5%"
"Dominic Calvert-Lewin","EVE","F","50","W (Tue)","BUR 0<br/>@EVE 1 F","14.7","14.7","66%","+9.1%"
"Michael Obafemi","SOU","F","51","W (Tue)","SOU 2<br/>@CHE 0 F","14.5","14.5","1%","+0.3%"
"Conor Hourihane","AVL","M","52","W (Tue)","NOR 0<br/>@AVL 1 F","14","14","20%","+7.5%"
"Ryan Bertrand","SOU","D,M","53","W (Tue)","SOU 2<br/>@CHE 0 F","13.65","13.65","16%","+1.7%"
"Martin Dubravka","NEW","G","54","RSC","NEW 1<br/>@MUN 4 F","13.5","13.5","61%","+2.5%"
"Ahmed El Mohamady","AVL","D","55","W (Tue)","NOR 0<br/>@AVL 1 F","13.4","13.4","6%","-0.2%"
"Bernardo","BHA","D","56","W (Tue)","BHA 1<br/>@TOT 2 F","13.4","13.4","1%","-0.2%"
"Marcus Rashford","MUN","M,F","57","ColmL","NEW 1<br/>@MUN 4 F","13.25","13.25","100%","0%"
"Joao Moutinho","WOL","M","58","ZKL","MCI 2<br/>@WOL 3 F","13.25","13.25","99%","0%"
"Mark Noble","WHU","M","59","W (Tue)","WHU 1<br/>@CRY 2 F","13.2","13.2","13%","-0.3%"
"James Ward-Prowse","SOU","M","60","Damo","SOU 2<br/>@CHE 0 F","13","13","98%","+0.1%"
"Ezri Konsa Ngoyo","AVL","D","61","W (Tue)","NOR 0<br/>@AVL 1 F","12.95","12.95","2%","+0.2%"
"Patrick van Aanholt","CRY","D","62","W (Tue)","WHU 1<br/>@CRY 2 F","12.8","12.8","76%","-5.6%"
"Harry Maguire","MUN","D","63","MKFC","NEW 1<br/>@MUN 4 F","12.65","12.65","99%","+0.3%"
"Joseph Gomez","LIV","D","64","mcavinur","LIV 4<br/>@LEI 0 F","12.35","12.35","77%","+5%"
"Pierre-Emerick Aubameyang","ARS","M,F","65","ColmOF","ARS 1<br/>@BOU 1 F","12.25","12.25","100%","0%"
"Emiliano Buendia","NOR","M","66","ColmL","NOR 0<br/>@AVL 1 F","12.25","12.25","93%","+0.3%"
"Trezeguet","AVL","M,F","67","W (Tue)","NOR 0<br/>@AVL 1 F","12.25","12.25","26%","-8%"
"Declan Rice","WHU","M","68","MKFC","WHU 1<br/>@CRY 2 F","11.95","11.95","50%","+2.8%"
"Gerard Deulofeu","WAT","M,F","69","W (Tue)","WAT 1<br/>@SHU 1 F","11.85","11.85","94%","+1.5%"
"Dale Stephens","BHA","M","70","W (Tue)","BHA 1<br/>@TOT 2 F","11.85","11.85","12%","+0.2%"
"Ricardo Pereira","LEI","D","71","mcavinur","LIV 4<br/>@LEI 0 F","11.75","11.75","100%","+0.1%"
"James Milner","LIV","M","72","FA","LIV 4<br/>@LEI 0 F","11.75","11.75","44%","+1.2%"
"Steven Alzate","BHA","M,F","73","W (Tue)","BHA 1<br/>@TOT 2 F","11.7","11.7","2%","+0.2%"
"Ben Mee","BUR","D","74","Damo","BUR 0<br/>@EVE 1 F","11.6","11.6","78%","+1.1%"
"Granit Xhaka","ARS","M","75","W (Tue)","ARS 1<br/>@BOU 1 F","11.6","11.6","29%","-1.5%"
"Sean Longstaff","NEW","M","76","W (Tue)","NEW 1<br/>@MUN 4 F","11.6","11.6","6%","-1.1%"
"Andreas Pereira","MUN","M","77","W (Tue)","NEW 1<br/>@MUN 4 F","11.5","11.5","26%","+2.9%"
"Claudio Bravo","MCI","G","78","W (Tue)","MCI 2<br/>@WOL 3 F","11.5","11.5","9%","+6.5%"
"Virgil van Dijk","LIV","D","79","RSC","LIV 4<br/>@LEI 0 F","11.4","11.4","100%","0%"
"Georginio Wijnaldum","LIV","M","80","FA","LIV 4<br/>@LEI 0 F","11.2","11.2","65%","+1.4%"
"Alisson","LIV","G","81","Damo","LIV 4<br/>@LEI 0 F","11","11","96%","+1%"
"Nick Pope","BUR","G","82","W (Tue)","BUR 0<br/>@EVE 1 F","11","11","73%","+1.5%"
"Jordan Pickford","EVE","G","83","W (Tue)","BUR 0<br/>@EVE 1 F","11","11","69%","+3.1%"
"Paulo Gazzaniga","TOT","G","84","W (Tue)","BHA 1<br/>@TOT 2 F","11","11","40%","+1.8%"
"David McGoldrick","SHU","F","85","ZKL","WAT 1<br/>@SHU 1 F","11","11","37%","-5.7%"
"Dwight McNeil","BUR","M","86","ZKL","BUR 0<br/>@EVE 1 F","10.85","10.85","93%","-0.6%"
"Jorginho","CHE","M","87","MKFC","SOU 2<br/>@CHE 0 F","10.85","10.85","73%","-3.8%"
