"Player","Team","Position","Rk","Status","Opponent","FPts","FP/G","% Owned","+/-"
"Matt Targett","AVL","D,M","58","MKFC","AVL 5<br/>@NOR 1 F","14.9","14.9","48%","+14.4%"
"Felipe Anderson","WHU","M","59","ZKL","CRY 2<br/>@WHU 1 F","14.6","14.6","100%","-0.1%"
"Todd Cantwell","NOR","M","60","Seanmacd","AVL 5<br/>@NOR 1 F","14.6","14.6","84%","-15.6%"
"Sead Kolasinac","ARS","D,M","61","FA","BOU 0<br/>@ARS 1 F","14.45","14.45","49%","-34.8%"
"Sean Longstaff","NEW","M","62","FA","MUN 0<br/>@NEW 1 F","14.25","14.25","15%","-2.1%"
"Chris Basham","SHU","D","63","FA","SHU 0<br/>@WAT 0 F","14.15","14.15","6%","+6.4%"
"Ryan Fredericks","WHU","D","64","FA","CRY 2<br/>@WHU 1 F","14.1","14.1","43%","-15%"
"Craig Cathcart","WAT","D","65","FA","SHU 0<br/>@WAT 0 F","14.1","14.1","6%","-18.9%"
"Callum Hudson-Odoi","CHE","F","66","mcavinur","CHE 4<br/>@SOU 1 F","14","14","89%","-2.7%"
"Martin Montoya","BHA","D","67","FA","TOT 0<br/>@BHA 3 F","13.8","13.8","18%","+9.4%"
"Emiliano Buendia","NOR","M","68","ColmL","AVL 5<br/>@NOR 1 F","13.6","13.6","95%","-4.6%"
"George Baldock","SHU","D,M","69","FA","SHU 0<br/>@WAT 0 F","13.6","13.6","25%","-0.4%"
"DeAndre Yedlin","NEW","D","70","FA","MUN 0<br/>@NEW 1 F","13.6","13.6","2%","+2.3%"
"Wilfred Ndidi","LEI","M","71","ZKL","LEI 1<br/>@LIV 2 F","13.55","13.55","97%","+5.5%"
"Conor Coady","WOL","D","72","FA","WOL 2<br/>@MCI 0 F","13.5","13.5","17%","-7.6%"
"Ruben Vinagre","WOL","D","73","FA","WOL 2<br/>@MCI 0 F","13.5","13.5","1%","+1.3%"
"Cheikhou Kouyate","CRY","M","74","FA","CRY 2<br/>@WHU 1 F","13.25","13.25","3%","+3.5%"
"Jamaal Lascelles","NEW","D","75","FA","MUN 0<br/>@NEW 1 F","13.05","13.05","24%","-1.1%"
"Joao Moutinho","WOL","M","76","ZKL","WOL 2<br/>@MCI 0 F","12.35","12.35","98%","-2.3%"
"Pascal Gross","BHA","M","77","Eoghanoc","TOT 0<br/>@BHA 3 F","12.25","12.25","89%","+5.6%"
"Martin Kelly","CRY","D","78","FA","CRY 2<br/>@WHU 1 F","12.25","12.25","6%","+6.3%"
"Oliver Norwood","SHU","M","79","ZKL","SHU 0<br/>@WAT 0 F","12.2","12.2","73%","-10.1%"
"Richarlison","EVE","M,F","80","ColmL","EVE 0<br/>@BUR 1 F","12.1","12.1","100%","-0.1%"
"John McGinn","AVL","M","81","ColmL","AVL 5<br/>@NOR 1 F","12.1","12.1","94%","-6.1%"
"Nicolas Pepe","ARS","F","82","Seanmacd","BOU 0<br/>@ARS 1 F","12","12","96%","-4.5%"
"Mohamed Salah","LIV","F","83","Damo","LEI 1<br/>@LIV 2 F","11.75","11.75","100%","0%"
"Rodrigo","MCI","M","84","Seanmacd","WOL 2<br/>@MCI 0 F","11.75","11.75","96%","+3.9%"
"Marvelous Nakamba","AVL","M","85","MKFC","AVL 5<br/>@NOR 1 F","11.35","11.35","14%","-2.7%"
"Matteo Guendouzi","ARS","M","86","MKFC","BOU 0<br/>@ARS 1 F","11.3","11.3","67%","-16.4%"
"Ricardo Pereira","LEI","D","87","mcavinur","LEI 1<br/>@LIV 2 F","11.25","11.25","100%","0%"
"Vicente Guaita","CRY","G","88","FA","CRY 2<br/>@WHU 1 F","11.25","11.25","31%","-18.9%"
"Dwight McNeil","BUR","M","89","ZKL","EVE 0<br/>@BUR 1 F","11.05","11.05","87%","-4.3%"
"Raheem Sterling","MCI","F","90","ColmL","WOL 2<br/>@MCI 0 F","11","11","100%","0%"
"Jordan Pickford","EVE","G","91","FA","EVE 0<br/>@BUR 1 F","11","11","81%","+14.1%"
"Tom Heaton","AVL","G","92","mcavinur","AVL 5<br/>@NOR 1 F","11","11","31%","+14.3%"
"John Fleck","SHU","M","93","mcavinur","SHU 0<br/>@WAT 0 F","11","11","10%","-6.4%"
"Diego Rico","BOU","D","94","ZKL","BOU 0<br/>@ARS 1 F","10.8","10.8","69%","-6.4%"
"Dani Ceballos","ARS","M","95","Damo","BOU 0<br/>@ARS 1 F","10.75","10.75","86%","-14%"
"Michy Batshuayi","CHE","F","96","FA","CHE 4<br/>@SOU 1 F","10.75","10.75","13%","+5%"
"Douglas Luiz","AVL","M","97","FA","AVL 5<br/>@NOR 1 F","10.75","10.75","6%","-2.6%"
"Ashley Young","MUN","D","98","FA","MUN 0<br/>@NEW 1 F","10.55","10.55","33%","-41.7%"
"James McArthur","CRY","M","99","FA","CRY 2<br/>@WHU 1 F","10.35","10.35","48%","-18.9%"
"Allan Saint-Maximin","NEW","F","100","FA","MUN 0<br/>@NEW 1 F","10.25","10.25","26%","-40.4%"
"Josip Drmic","NOR","F","101","FA","AVL 5<br/>@NOR 1 F","10.25","10.25","1%","+0.9%"
"Joao Cancelo","MCI","D","102","FA","WOL 2<br/>@MCI 0 F","10.05","10.05","72%","-3.5%"
"Philip Billing","BOU","M","103","ColmOF","BOU 0<br/>@ARS 1 F","10.05","10.05","53%","+28.4%"
"Andrew Robertson","LIV","D","104","mcavinur","LEI 1<br/>@LIV 2 F","10","10","100%","-0.1%"
"Marco Stiepermann","NOR","M","105","FA","AVL 5<br/>@NOR 1 F","9.85","9.85","3%","-4.8%"
"Bukayo Saka","ARS","F","106","FA","BOU 0<br/>@ARS 1 F","9.75","9.75","46%","-4.1%"
"Michael Keane","EVE","D","107","Eoghanoc","EVE 0<br/>@BUR 1 F","9.65","9.65","87%","-12.6%"
"Callum Wilson","BOU","F","108","Eoghanoc","BOU 0<br/>@ARS 1 F","9.5","9.5","100%","-0.3%"
"Christian Pulisic","CHE","M","109","W (Thu)","CHE 4<br/>@SOU 1 F","9.5","9.5","89%","-10.8%"
"James Ward-Prowse","SOU","M","110","Damo","CHE 4<br/>@SOU 1 F","9.5","9.5","84%","-16.1%"
"Dejan Lovren","LIV","D","111","FA","LEI 1<br/>@LIV 2 F","9.45","9.45","9%","-7.3%"
