"Player","Team","Position","Rk","Status","Opponent","FPts","FP/G","% Owned","+/-"
"Dele Alli","TOT","M","1","ColmL","BOU 2<br/>@TOT 3 F","33.6","33.6","100%","+0.1%"
"Pierre-Emerick Aubameyang","ARS","M,F","2","ColmOF","ARS 2<br/>@NOR 2 F","28","28","100%","0%"
"Virgil van Dijk","LIV","D","3","RSC","BHA 1<br/>@LIV 2 F","26.9","26.9","100%","0%"
"Son Heung-Min","TOT","M,F","4","Eoghanoc","BOU 2<br/>@TOT 3 F","26.35","26.35","100%","-0.1%"
"Kevin De Bruyne","MCI","M","5","Eoghanoc","MCI 2<br/>@NEW 2 F","24.6","24.6","100%","0%"
"Moussa Sissoko","TOT","M","6","ZKL","BOU 2<br/>@TOT 3 F","24","24","41%","-6.8%"
"David Martin","WHU","G","7","W (Tue)","WHU 1<br/>@CHE 0 F","24","24","1%","-0.4%"
"Pierre-Emile Hojbjerg","SOU","M","8","MKFC","WAT 1<br/>@SOU 2 F","23.5","23.5","70%","+4.1%"
"Moussa Djenepo","SOU","M","9","W (Tue)","WAT 1<br/>@SOU 2 F","23","23","19%","-1.5%"
"Etienne Capoue","WAT","M","10","W (Tue)","WAT 1<br/>@SOU 2 F","22.85","22.85","20%","+0.5%"
"Richarlison","EVE","M,F","11","ColmL","EVE 1<br/>@LEI 2 F","22.5","22.5","100%","-0.1%"
"Aaron Cresswell","WHU","D","12","W (Tue)","WHU 1<br/>@CHE 0 F","22.3","22.3","15%","-1.9%"
"Wilfried Zaha","CRY","M,F","13","ColmOF","CRY 2<br/>@BUR 0 F","22.25","22.25","99%","-0.1%"
"Matt Doherty","WOL","D,M","14","Damo","SHU 1<br/>@WOL 1 F","21.8","21.8","97%","0%"
"Harry Wilson","BOU","M","15","Damo","BOU 2<br/>@TOT 3 F","21.75","21.75","57%","+4.9%"
"Ricardo Pereira","LEI","D","16","mcavinur","EVE 1<br/>@LEI 2 F","21.6","21.6","100%","+0.1%"
"Danny Ings","SOU","F","17","Damo","WAT 1<br/>@SOU 2 F","21.45","21.45","97%","+0.4%"
"Jonjo Shelvey","NEW","M","18","MKFC","MCI 2<br/>@NEW 2 F","20.3","20.3","72%","+2.3%"
"Trent Alexander-Arnold","LIV","D","19","ColmOF","BHA 1<br/>@LIV 2 F","20.1","20.1","100%","0%"
