"Player","Team","Position","Rk","Status","Opponent","FPts","FP/G","% Owned"
"Ismaila Sarr","WAT","M,F","1","MKFC","LIV 0<br/>@WAT 3 F","34.75","34.75","-"
"Marcos Alonso","CHE","D,M","2","MKFC","CHE 2<br/>@BOU 2 F","31.85","31.85","-"
"Vicente Guaita","CRY","G","3","FA","CRY 1<br/>@BHA 0 F","27.25","27.25","-"
"Jamal Lewis","NOR","D","4","FA","LEI 0<br/>@NOR 1 F","27.25","27.25","-"
"Diogo Jota","WOL","M,F","5","Damo","WOL 3<br/>@TOT 2 F","27.25","27.25","-"
"Matt Doherty","WOL","D,M","6","Damo","WOL 3<br/>@TOT 2 F","26.9","26.9","-"
"Michail Antonio","WHU","M,F","7","MAX","SOU 1<br/>@WHU 3 F","25.75","25.75","-"
"Troy Deeney","WAT","F","8","mcavinur","LIV 0<br/>@WAT 3 F","25.6","25.6","-"
"Jarrod Bowen","HUL/WHU","M,F","9","mcavinur","SOU 1<br/>@WHU 3 F","24.35","24.35","-"
"Sebastien Haller","WHU","F","10","ColmL","SOU 1<br/>@WHU 3 F","24.3","24.3","-"
"Max Aarons","NOR","D","11","FA","LEI 0<br/>@NOR 1 F","23","23","-"
"Nemanja Matic","MUN","M","12","FA","MUN 1<br/>@EVE 1 F","21.85","21.85","-"
"Pablo Fornals","WHU","M","13","FA","SOU 1<br/>@WHU 3 F","21.25","21.25","-"
"Dele Alli","TOT","M,F","14","ColmL","WOL 3<br/>@TOT 2 F","21","21","-"
"Adam Masina","WAT","D","15","FA","LIV 0<br/>@WAT 3 F","20.8","20.8","-"
"James Tarkowski","BUR","D","16","Eoghanoc","BUR 0<br/>@NEW 0 F","20.4","20.4","-"
"Bruno Fernandes","MUN","M","17","MKFC","MUN 1<br/>@EVE 1 F","20.2","20.2","-"
"Patrick van Aanholt","CRY","D","18","mcavinur","CRY 1<br/>@BHA 0 F","19.95","19.95","-"
"Jefferson Lerma","BOU","M","19","FA","CHE 2<br/>@BOU 2 F","19.7","19.7","-"
"Joshua King","BOU","M,F","20","FA","CHE 2<br/>@BOU 2 F","19.35","19.35","-"
"Tim Krul","NOR","G","21","FA","LEI 0<br/>@NOR 1 F","19.25","19.25","-"
