"Player","Team","Position","Rk","Status","Opponent","FPts","FP/G","% Owned"
"Kevin De Bruyne","MCI","M","1","Eoghanoc","NOR 0<br/>@MCI 5 F","44.6","44.6","-"
"Pierre-Emerick Aubameyang","ARS","M,F","2","ColmOF","WAT 2<br/>@ARS 3 F","35.6","35.6","-"
"Mason Mount","CHE","M,F","3","RBF","WOL 0<br/>@CHE 2 F","27","27","-"
"Joshua King","BOU","M,F","4","FA","BOU 3<br/>@EVE 1 F","25","25","-"
"Marcos Alonso","CHE","D,M","5","MKFC","WOL 0<br/>@CHE 2 F","24.6","24.6","-"
"Kieran Tierney","ARS","D","6","FA","WAT 2<br/>@ARS 3 F","24.3","24.3","-"
"Gabriel Jesus","MCI","F","7","MAX","NOR 0<br/>@MCI 5 F","23.75","23.75","-"
"Kyle Walker","MCI","D","8","ColmOF","NOR 0<br/>@MCI 5 F","23.35","23.35","-"
"Che Adams","SOU","F","9","FA","SHU 1<br/>@SOU 3 F","23.25","23.25","-"
"Diego Rico","BOU","D","10","FA","BOU 3<br/>@EVE 1 F","22.8","22.8","-"
"Riyad Mahrez","MCI","M,F","11","ColmOF","NOR 0<br/>@MCI 5 F","22.75","22.75","-"
"Moise Kean","EVE","F","12","FA","BOU 3<br/>@EVE 1 F","22","22","-"
"Ismaila Sarr","WAT","M,F","13","MKFC","WAT 2<br/>@ARS 3 F","20.75","20.75","-"
"Danny Welbeck","WAT","F","14","FA","WAT 2<br/>@ARS 3 F","20","20","-"
"Joao Cancelo","MCI","D","15","mcavinur","NOR 0<br/>@MCI 5 F","19.45","19.45","-"
"Ederson","MCI","G","16","ColmL","NOR 0<br/>@MCI 5 F","19","19","-"
"John Lundstram","SHU","D,M","17","Eoghanoc","SHU 1<br/>@SOU 3 F","18.8","18.8","-"
"Brandon Williams","MUN","D","18","FA","MUN 2<br/>@LEI 0 F","18.55","18.55","-"
"Giovani Lo Celso","TOT","M","19","FA","TOT 1<br/>@CRY 1 F","18.5","18.5","-"
"Virgil van Dijk","LIV","D","20","RBF","LIV 3<br/>@NEW 1 F","17.75","17.75","-"
"Jeffrey Schlupp","CRY","D,M","21","ColmL","TOT 1<br/>@CRY 1 F","17.25","17.25","-"
"Bruno Fernandes","MUN","M","22","MKFC","MUN 2<br/>@LEI 0 F","17","17","-"
"Raheem Sterling","MCI","M,F","23","ColmL","NOR 0<br/>@MCI 5 F","17","17","-"
"Theo Walcott","EVE","M,F","24","FA","BOU 3<br/>@EVE 1 F","17","17","-"
"David de Gea","MUN","G","25","FA","MUN 2<br/>@LEI 0 F","17","17","-"
"Aaron Wan-Bissaka","MUN","D","26","MKFC","MUN 2<br/>@LEI 0 F","16.7","16.7","-"
"Troy Deeney","WAT","F","27","mcavinur","WAT 2<br/>@ARS 3 F","16.35","16.35","-"
"Chris Wood","BUR","F","28","FA","BHA 2<br/>@BUR 1 F","16.35","16.35","-"
"Antonio Rudiger","CHE","D","29","FA","WOL 0<br/>@CHE 2 F","16.3","16.3","-"
"Reece James","CHE","D","30","MAX","WOL 0<br/>@CHE 2 F","16.25","16.25","-"
"Jack Grealish","AVL","M,F","31","mcavinur","AVL 1<br/>@WHU 1 F","16","16","-"
"Danny Ings","SOU","F","32","Damo","SHU 1<br/>@SOU 3 F","16","16","-"
"Nathan Redmond","SOU","M,F","33","Eoghanoc","SHU 1<br/>@SOU 3 F","15.75","15.75","-"
"Cesar Azpilicueta","CHE","D","34","RBF","WOL 0<br/>@CHE 2 F","15.45","15.45","-"
"Dwight Gayle","NEW","F","35","FA","LIV 3<br/>@NEW 1 F","15.45","15.45","-"
