"Player","Team","Position","Rk","Status","Opponent","FPts","FP/G","% Owned","+/-"
"Jordan Henderson","LIV","M","1","Eoghanoc","LIV 2<br/>@WOL 1 F","38.95","19.48","83%","+1.8%"
"Trent Alexander-Arnold","LIV","D","2","ColmOF","LIV 2<br/>@WOL 1 F","32.15","16.07","100%","0%"
"Nathan Redmond","SOU","M,F","3","Eoghanoc","SOU 2<br/>@CRY 0 F","31.75","31.75","92%","+0.3%"
"Mohamed Salah","LIV","F","4","Damo","LIV 2<br/>@WOL 1 F","31.25","15.62","100%","0%"
"Roberto Firmino","LIV","M,F","5","Eoghanoc","LIV 2<br/>@WOL 1 F","30.7","15.35","100%","0%"
"Ricardo Pereira","LEI","D","6","mcavinur","WHU 1<br/>@LEI 4 F","28.45","28.45","100%","0%"
"Ayoze Perez","LEI","M,F","7","Damo","WHU 1<br/>@LEI 4 F","28.35","28.35","98%","0%"
"Harvey Barnes","LEI","M","8","ColmOF","WHU 1<br/>@LEI 4 F","26.75","26.75","84%","+1.9%"
"Alex Oxlade-Chamberlain","LIV","M","9","W (Tue)","LIV 2<br/>@WOL 1 F","26.5","13.25","70%","+10.4%"
"Nick Pope","BUR","G","10","W (Tue)","BUR 2<br/>@MUN 0 F","25.25","25.25","72%","+1.7%"
"Alisson","LIV","G","11","Damo","LIV 2<br/>@WOL 1 F","24.25","12.12","99%","0%"
"Mark Noble","WHU","M","12","W (Tue)","WHU 1<br/>@LEI 4 F","23.85","11.93","34%","-3.3%"
"Joseph Gomez","LIV","D","13","mcavinur","LIV 2<br/>@WOL 1 F","23.45","11.72","90%","+0.1%"
"Ben Mee","BUR","D","14","W (Tue)","BUR 2<br/>@MUN 0 F","23.4","23.4","74%","+1.2%"
"Dele Alli","TOT","M","15","ColmL","NOR 1<br/>@TOT 2 F","23.25","23.25","100%","-0.1%"
"Jorginho","CHE","M","16","MKFC","ARS 2<br/>@CHE 2 F","22.95","22.95","84%","+0.7%"
"Declan Rice","WHU","M","17","MKFC","WHU 1<br/>@LEI 4 F","22.9","11.45","62%","-2.1%"
"Aaron Mooy","BHA","M,F","18","W (Tue)","BHA 1<br/>@BOU 3 F","22.9","22.9","45%","+3.6%"
"Adama Traore","WOL","F","19","MKFC","LIV 2<br/>@WOL 1 F","21.75","21.75","91%","0%"
"Chris Wood","BUR","F","20","W (Tue)","BUR 2<br/>@MUN 0 F","21.7","21.7","73%","+2.7%"
"Raul Jimenez","WOL","F","21","Eoghanoc","LIV 2<br/>@WOL 1 F","21.5","21.5","100%","0%"
"Jack Stephens","SOU","D","22","W (Tue)","SOU 2<br/>@CRY 0 F","21.3","21.3","18%","-0.7%"
"Virgil van Dijk","LIV","D","23","RBF","LIV 2<br/>@WOL 1 F","21.1","10.55","100%","0%"
"Florian Lejeune","NEW","D","24","W (Tue)","NEW 2<br/>@EVE 2 F","21.1","21.1","2%","-0.5%"
"Cesar Azpilicueta","CHE","D","25","RBF","ARS 2<br/>@CHE 2 F","20.25","20.25","100%","0%"
"Moise Kean","EVE","F","26","W (Tue)","NEW 2<br/>@EVE 2 F","20.1","20.1","39%","-5%"
"Isaac Hayden","NEW","M","27","W (Tue)","NEW 2<br/>@EVE 2 F","19.7","19.7","20%","+1.6%"
"Andrew Robertson","LIV","D","28","mcavinur","LIV 2<br/>@WOL 1 F","19.35","9.68","100%","0%"
"Kevin De Bruyne","MCI","M","29","Eoghanoc","MCI 1<br/>@SHU 0 F","19.1","19.1","100%","0%"
"Callum Hudson-Odoi","CHE","F","30","W (Tue)","ARS 2<br/>@CHE 2 F","19","19","79%","+0.2%"
"Serge Aurier","TOT","D","31","MAX","NOR 1<br/>@TOT 2 F","18.9","18.9","94%","-0.1%"
"Hector Bellerin","ARS","D","32","W (Tue)","ARS 2<br/>@CHE 2 F","18.9","18.9","53%","+3.2%"
"Stuart Armstrong","SOU","M,F","33","W (Tue)","SOU 2<br/>@CRY 0 F","18.75","18.75","10%","-2.5%"
"Harry Wilson","BOU","M","34","Damo","BHA 1<br/>@BOU 3 F","18.25","18.25","57%","+1.9%"
"Sebastien Haller","WHU","F","35","ColmL","WHU 1<br/>@LEI 4 F","18","9","97%","-0.6%"
"Troy Deeney","WAT","F","36","W (Tue)","WAT 1<br/>@AVL 2 F","17.85","17.85","92%","+0.3%"
"James Ward-Prowse","SOU","M","37","Damo","SOU 2<br/>@CRY 0 F","17.8","17.8","98%","-0.5%"
"Bernard","EVE","M,F","38","W (Tue)","NEW 2<br/>@EVE 2 F","17.75","17.75","45%","-5.7%"
"James Tarkowski","BUR","D","39","Eoghanoc","BUR 2<br/>@MUN 0 F","17.6","17.6","96%","0%"
"Dominic Calvert-Lewin","EVE","F","40","MKFC","NEW 2<br/>@EVE 2 F","17.6","17.6","87%","+0.4%"
"Ryan Bertrand","SOU","D,M","41","ColmOF","SOU 2<br/>@CRY 0 F","17.45","17.45","26%","-0.2%"
"Aaron Ramsdale","BOU","G","42","W (Tue)","BHA 1<br/>@BOU 3 F","17.25","17.25","27%","+1.3%"
"Gabriel Martinelli","ARS","M,F","43","MAX","ARS 2<br/>@CHE 2 F","17.2","17.2","63%","+1.2%"
"Dominic Solanke","BOU","F","44","W (Tue)","BHA 1<br/>@BOU 3 F","17.1","17.1","3%","-0.4%"
"Teemu Pukki","NOR","F","45","ColmOF","NOR 1<br/>@TOT 2 F","17","17","98%","+0.1%"
"Nicolas Otamendi","MCI","D","46","W (Tue)","MCI 1<br/>@SHU 0 F","16.95","16.95","47%","+3.9%"
"Callum Wilson","BOU","F","47","W (Tue)","BHA 1<br/>@BOU 3 F","16.75","16.75","86%","+0.2%"
"Matt Targett","AVL","D,M","48","MAX","WAT 1<br/>@AVL 2 F","16.1","16.1","66%","+2.6%"
"Martin Dubravka","NEW","G","49","RBF","NEW 2<br/>@EVE 2 F","16","16","78%","+1.6%"
"Dean Henderson","SHU","G","50","Eoghanoc","MCI 1<br/>@SHU 0 F","16","16","75%","+3.5%"
"Romain Saiss","WOL","D,M","51","W (Tue)","LIV 2<br/>@WOL 1 F","15.95","15.95","11%","+0.6%"
"Oleksandr Zinchenko","MCI","D,M","52","W (Tue)","MCI 1<br/>@SHU 0 F","15.85","15.85","65%","+0.3%"
"Ederson","MCI","G","53","ColmL","MCI 1<br/>@SHU 0 F","15.5","15.5","83%","-0.7%"
"Jannik Vestergaard","SOU","D","54","W (Tue)","SOU 2<br/>@CRY 0 F","15.5","15.5","17%","-0.6%"
"Giovani Lo Celso","TOT","M","55","ColmOF","NOR 1<br/>@TOT 2 F","15.45","15.45","60%","+2.5%"
"Gerard Deulofeu","WAT","M,F","56","MAX","WAT 1<br/>@AVL 2 F","15.25","15.25","98%","+0.1%"
"Lucas Digne","EVE","D","57","MAX","NEW 2<br/>@EVE 2 F","15.1","15.1","100%","+0.1%"
"Ondrej Duda","NOR","M","58","ColmOF","NOR 1<br/>@TOT 2 F","14.95","14.95","49%","+3.7%"
"Son Heung-Min","TOT","M,F","59","Eoghanoc","NOR 1<br/>@TOT 2 F","14.85","14.85","100%","0%"
"Matthew Lowton","BUR","D","60","W (Tue)","BUR 2<br/>@MUN 0 F","14.85","14.85","12%","+0.4%"
"Tyrone Mings","AVL","D","61","W (Tue)","WAT 1<br/>@AVL 2 F","14.55","14.55","28%","+0.2%"
"Bernd Leno","ARS","G","62","W (Tue)","ARS 2<br/>@CHE 2 F","14.5","14.5","88%","+0.1%"
"Ruben Neves","WOL","M","63","W (Tue)","LIV 2<br/>@WOL 1 F","14.5","14.5","67%","-0.6%"
"Robert Snodgrass","WHU","M","64","W (Tue)","WHU 1<br/>@LEI 4 F","14.5","7.25","58%","+1.1%"
"Jay Rodriguez","BUR","F","65","W (Tue)","BUR 2<br/>@MUN 0 F","14.5","14.5","9%","+2.4%"
"Lucas Torreira","ARS","M","66","W (Tue)","ARS 2<br/>@CHE 2 F","14.45","14.45","22%","-1%"
"Max Aarons","NOR","D","67","W (Tue)","NOR 1<br/>@TOT 2 F","14.4","14.4","18%","+0.1%"
"Kyle Walker","MCI","D","68","W (Tue)","MCI 1<br/>@SHU 0 F","14.2","14.2","84%","+0.7%"
"Aaron Wan-Bissaka","MUN","D","69","MKFC","BUR 2<br/>@MUN 0 F","14","14","98%","0%"
"Aymeric Laporte","MCI","D","70","W (Tue)","MCI 1<br/>@SHU 0 F","13.95","13.95","87%","-2.7%"
"Kelechi Iheanacho","LEI","F","71","W (Tue)","WHU 1<br/>@LEI 4 F","13.5","13.5","36%","-6.4%"
"Jack Grealish","AVL","M,F","72","mcavinur","WAT 1<br/>@AVL 2 F","13.25","13.25","99%","0%"
"Kortney Hause","AVL","D","73","W (Tue)","WAT 1<br/>@AVL 2 F","13.25","13.25","8%","+0.4%"
"Ezri Konsa Ngoyo","AVL","D","74","W (Tue)","WAT 1<br/>@AVL 2 F","13.25","13.25","2%","-0.1%"
"Shkodran Mustafi","ARS","D","75","W (Tue)","ARS 2<br/>@CHE 2 F","13.15","13.15","19%","+2.1%"
"Charlie Taylor","BUR","D","76","W (Tue)","BUR 2<br/>@MUN 0 F","13","13","22%","+0.5%"
"Morgan Schneiderlin","EVE","M","77","W (Tue)","NEW 2<br/>@EVE 2 F","12.7","12.7","1%","-0.1%"
"Arthur Masuaku","WHU","D","78","W (Tue)","WHU 1<br/>@LEI 4 F","12.65","6.33","10%","-2.2%"
"Frederic Guilbert","AVL","D","79","Eoghanoc","WAT 1<br/>@AVL 2 F","12.55","12.55","42%","+1.4%"
"Tammy Abraham","CHE","F","80","Damo","ARS 2<br/>@CHE 2 F","12.5","12.5","98%","+0.1%"
"Fred","MUN","M","81","RBF","BUR 2<br/>@MUN 0 F","12.5","12.5","57%","+0.9%"
"Manuel Lanzini","WHU","M","82","W (Tue)","WHU 1<br/>@LEI 4 F","12.45","6.22","69%","-7.1%"
"Georginio Wijnaldum","LIV","M","83","W (Tue)","LIV 2<br/>@WOL 1 F","12.45","6.22","68%","-1.1%"
