"Player","Team","Position","Rk","Status","Opponent","FPts","FP/G","% Owned","+/-"
"Kevin De Bruyne","MCI","M","1","Eoghanoc","MCI 3<br/>@ARS 0 F","36.5","36.5","100%","0%"
"John Fleck","SHU","M","2","mcavinur","AVL 0<br/>@SHU 2 F","26.1","26.1","76%","-2.4%"
"Mohamed Salah","LIV","F","3","Damo","WAT 0<br/>@LIV 2 F","25.75","25.75","100%","0%"
"Adama Traore","WOL","F","4","MKFC","TOT 2<br/>@WOL 1 F","25","25","88%","+1.3%"
"Vicente Guaita","CRY","G","5","mcavinur","BHA 1<br/>@CRY 1 F","23.75","23.75","64%","-1.1%"
"Sebastien Haller","WHU","F","6","ColmL","WHU 1<br/>@SOU 0 F","23.7","23.7","96%","-0.4%"
"Lucas Moura","TOT","M,F","7","mcavinur","TOT 2<br/>@WOL 1 F","21.7","21.7","97%","-1.4%"
"Aaron Ramsdale","BOU","G","8","W (Tue)","BOU 1<br/>@CHE 0 F","21.5","21.5","42%","+2%"
"Dan Gosling","BOU","M","9","W (Tue)","BOU 1<br/>@CHE 0 F","20.5","20.5","4%","+1.7%"
"Diego Rico","BOU","D","10","ZKL","BOU 1<br/>@CHE 0 F","19.8","19.8","77%","+1.5%"
"Wilfried Zaha","CRY","M,F","11","ColmOF","BHA 1<br/>@CRY 1 F","19.75","19.75","99%","-0.1%"
"Joseph Gomez","LIV","D","12","mcavinur","WAT 0<br/>@LIV 2 F","18.85","18.85","77%","+5%"
"Jefferson Lerma","BOU","M","13","W (Tue)","BOU 1<br/>@CHE 0 F","18.85","18.85","10%","-0.1%"
"James Tarkowski","BUR","D","14","Eoghanoc","NEW 0<br/>@BUR 1 F","18.6","18.6","97%","-0.3%"
"Fabian Balbuena","WHU","D","15","W (Tue)","WHU 1<br/>@SOU 0 F","18.55","18.55","12%","-1.7%"
"Jan Vertonghen","TOT","D","16","W (Tue)","TOT 2<br/>@WOL 1 F","18.45","18.45","81%","+2.1%"
"Dwight McNeil","BUR","M","17","ZKL","NEW 0<br/>@BUR 1 F","18.35","18.35","93%","-0.6%"
"Jack Stacey","BOU","D","18","W (Tue)","BOU 1<br/>@CHE 0 F","18.15","18.15","3%","+0.9%"
"Emiliano Buendia","NOR","M","19","ColmL","NOR 1<br/>@LEI 1 F","18.1","18.1","93%","+0.3%"
"Enda Stevens","SHU","D,M","20","MKFC","AVL 0<br/>@SHU 2 F","18.05","18.05","87%","-1.5%"
"Pascal Gross","BHA","M,F","21","W (Tue)","BHA 1<br/>@CRY 1 F","17.5","17.5","93%","+1.2%"
"Raheem Sterling","MCI","F","22","ColmL","MCI 3<br/>@ARS 0 F","17.25","17.25","100%","0%"
"Jordan Pickford","EVE","G","23","W (Tue)","EVE 1<br/>@MUN 1 F","17.25","17.25","69%","+3.1%"
"Pablo Fornals","WHU","M","24","W (Tue)","WHU 1<br/>@SOU 0 F","17.25","17.25","40%","-0.2%"
"Ryan Fredericks","WHU","D","25","W (Tue)","WHU 1<br/>@SOU 0 F","17.25","17.25","14%","+1.8%"
"Daniel James","MUN","M","26","RSC","EVE 1<br/>@MUN 1 F","17.1","17.1","97%","+1%"
"David McGoldrick","SHU","F","27","ZKL","AVL 0<br/>@SHU 2 F","17","17","37%","-5.7%"
"Simon Francis","BOU","D","28","W (Tue)","BOU 1<br/>@CHE 0 F","16.95","16.95","1%","-0.4%"
"Trent Alexander-Arnold","LIV","D","29","ColmOF","WAT 0<br/>@LIV 2 F","16.75","16.75","100%","0%"
"Michail Antonio","WHU","M","30","ColmOF","WHU 1<br/>@SOU 0 F","16.75","16.75","81%","-0.4%"
"Kyle Walker","MCI","D","31","W (Tue)","MCI 3<br/>@ARS 0 F","16.65","16.65","90%","-0.7%"
"Scott McTominay","MUN","M","32","Eoghanoc","EVE 1<br/>@MUN 1 F","16.65","16.65","79%","-5.9%"
"Jorginho","CHE","M","33","MKFC","BOU 1<br/>@CHE 0 F","16.45","16.45","73%","-3.8%"
"Chris Basham","SHU","D","34","RSC","AVL 0<br/>@SHU 2 F","15.95","15.95","68%","-2.1%"
"Sadio Mane","LIV","M,F","35","RSC","WAT 0<br/>@LIV 2 F","15.85","15.85","100%","0%"
"Ashley Westwood","BUR","M","36","W (Tue)","NEW 0<br/>@BUR 1 F","15.85","15.85","42%","-0.1%"
"Joao Moutinho","WOL","M","37","ZKL","TOT 2<br/>@WOL 1 F","15.75","15.75","99%","0%"
"Wilfred Ndidi","LEI","M","38","ZKL","NOR 1<br/>@LEI 1 F","15.7","15.7","98%","0%"
