"Player","Team","Position","Rk","Status","Opponent","FPts","FP/G","% Owned","+/-"
"Ayoze Perez","LEI","M,F","1","mcavinur","LEI 9<br/>@SOU 0 F","43.75","43.75","77%","+4.3%"
"Ben Chilwell","LEI","D","2","Eoghanoc","LEI 9<br/>@SOU 0 F","43.6","43.6","99%","+0.2%"
"Jamie Vardy","LEI","F","3","ColmOF","LEI 9<br/>@SOU 0 F","42.6","42.6","100%","+0.1%"
"Christian Pulisic","CHE","M","4","W (Tue)","CHE 4<br/>@BUR 2 F","37.85","37.85","95%","+3.9%"
"Paulo Gazzaniga","TOT","G","5","W (Tue)","TOT 1<br/>@LIV 2 F","30.5","30.5","21%","-4.1%"
"Harvey Barnes","LEI","M","6","W (Tue)","LEI 9<br/>@SOU 0 F","28","28","61%","+7.1%"
"Youri Tielemans","LEI","M","7","ColmOF","LEI 9<br/>@SOU 0 F","27.5","27.5","100%","0%"
"Marcus Rashford","MUN","F","8","ColmL","MUN 3<br/>@NOR 1 F","27.1","27.1","100%","0%"
"Tim Krul","NOR","G","9","W (Tue)","MUN 3<br/>@NOR 1 F","26.25","26.25","12%","+2.3%"
"Luka Milivojevic","CRY","M","10","Seanmacd","CRY 2<br/>@ARS 2 F","23.05","23.05","96%","-0.2%"
"Jordan Henderson","LIV","M","11","W (Tue)","TOT 1<br/>@LIV 2 F","23","23","31%","+0.1%"
"Ederson","MCI","G","12","ColmL","AVL 0<br/>@MCI 3 F","22.5","22.5","100%","+0.1%"
"Dwight McNeil","BUR","M","13","ZKL","CHE 4<br/>@BUR 2 F","22.5","22.5","88%","+0.5%"
"Willian","CHE","F","14","ZKL","CHE 4<br/>@BUR 2 F","22.1","22.1","94%","+0.6%"
"David Silva","MCI","M","15","ZKL","AVL 0<br/>@MCI 3 F","21.85","21.85","100%","0%"
"Ben Foster","WAT","G","16","W (Tue)","BOU 0<br/>@WAT 0 F","21.75","21.75","33%","-0.3%"
"James Maddison","LEI","M","17","Damo","LEI 9<br/>@SOU 0 F","21.5","21.5","100%","0%"
"James McArthur","CRY","M","18","W (Tue)","CRY 2<br/>@ARS 2 F","20.85","20.85","52%","+3.7%"
"Kevin De Bruyne","MCI","M","19","Eoghanoc","AVL 0<br/>@MCI 3 F","20.45","20.45","100%","0%"
"Mohamed Salah","LIV","F","20","Damo","TOT 1<br/>@LIV 2 F","20.25","20.25","100%","0%"
"Scott McTominay","MUN","M","21","Eoghanoc","MUN 3<br/>@NOR 1 F","19.45","19.45","75%","+1.5%"
"Ricardo Pereira","LEI","D","22","mcavinur","LEI 9<br/>@SOU 0 F","18.85","18.85","100%","0%"
"David Luiz","ARS","D","23","ColmL","CRY 2<br/>@ARS 2 F","17.9","17.9","62%","+1.6%"
"Ilkay Gundogan","MCI","M","24","W (Tue)","AVL 0<br/>@MCI 3 F","17.85","17.85","80%","+3.8%"
"Jonny","WOL","D,M","25","ColmOF","WOL 1<br/>@NEW 1 F","17.75","17.75","69%","+1.6%"
"Aaron Ramsdale","BOU","G","26","W (Tue)","BOU 0<br/>@WAT 0 F","17.5","17.5","22%","+1.1%"
"Onel Hernandez","NOR","M","27","W (Tue)","MUN 3<br/>@NOR 1 F","17.5","17.5","2%","+0.3%"
"Sokratis","ARS","D","28","W (Tue)","CRY 2<br/>@ARS 2 F","17.35","17.35","34%","+0.7%"
"Adam Smith","BOU","D","29","W (Tue)","BOU 0<br/>@WAT 0 F","17.3","17.3","3%","+0.5%"
"Neal Maupay","BHA","F","30","W (Tue)","EVE 2<br/>@BHA 3 F","17.25","17.25","43%","+2.1%"
"Robert Snodgrass","WHU","M","31","W (Tue)","SHU 1<br/>@WHU 1 F","17.25","17.25","19%","+7.9%"
"Kasper Schmeichel","LEI","G","32","MKFC","LEI 9<br/>@SOU 0 F","17","17","88%","+0.1%"
"Daryl Janmaat","WAT","D","33","W (Tue)","BOU 0<br/>@WAT 0 F","16.95","16.95","5%","+2.8%"
"Diego Rico","BOU","D","34","ZKL","BOU 0<br/>@WAT 0 F","16.9","16.9","73%","+1.7%"
"Jordan Ayew","CRY","F","35","W (Tue)","CRY 2<br/>@ARS 2 F","16.85","16.85","52%","+0.4%"
"Son Heung-Min","TOT","M,F","36","Eoghanoc","TOT 1<br/>@LIV 2 F","16.8","16.8","100%","-0.1%"
"Joao Cancelo","MCI","D","37","W (Tue)","AVL 0<br/>@MCI 3 F","16.4","16.4","80%","+3.2%"
"Steve Cook","BOU","D","38","W (Tue)","BOU 0<br/>@WAT 0 F","16.4","16.4","30%","+1.9%"
"Robbie Brady","BUR","M","39","W (Tue)","CHE 4<br/>@BUR 2 F","16.25","16.25","2%","-0.7%"
"Gabriel Jesus","MCI","F","40","mcavinur","AVL 0<br/>@MCI 3 F","15.85","15.85","99%","+0.3%"
"Nicolas Pepe","ARS","F","41","Seanmacd","CRY 2<br/>@ARS 2 F","15.75","15.75","96%","0%"
"Andriy Yarmolenko","WHU","M,F","42","ZKL","SHU 1<br/>@WHU 1 F","15.75","15.75","82%","-0.3%"
"Diogo Jota","WOL","M,F","43","Damo","WOL 1<br/>@NEW 1 F","15.75","15.75","80%","+1.9%"
"John Stones","MCI","D","44","W (Tue)","AVL 0<br/>@MCI 3 F","15.65","15.65","75%","+7%"
"Christian Kabasele","WAT","D","45","W (Tue)","BOU 0<br/>@WAT 0 F","15.6","15.6","10%","+3.7%"
"Daniel James","MUN","M","46","Seanmacd","MUN 3<br/>@NOR 1 F","15.5","15.5","94%","+0.9%"
"Marcos Alonso","CHE","D","47","ColmOF","CHE 4<br/>@BUR 2 F","15.4","15.4","97%","+1%"
"Caglar Soyuncu","LEI","D","48","Damo","LEI 9<br/>@SOU 0 F","15.3","15.3","86%","+0.2%"
"Fabinho","LIV","M","49","mcavinur","TOT 1<br/>@LIV 2 F","15.25","15.25","80%","-0.6%"
"Craig Cathcart","WAT","D","50","W (Tue)","BOU 0<br/>@WAT 0 F","14.85","14.85","6%","0%"
"Federico Fernandez","NEW","D","51","W (Tue)","WOL 1<br/>@NEW 1 F","14.85","14.85","1%","+0.1%"
"Raheem Sterling","MCI","F","52","ColmL","AVL 0<br/>@MCI 3 F","14.6","14.6","100%","0%"
"Trent Alexander-Arnold","LIV","D","53","ColmOF","TOT 1<br/>@LIV 2 F","14.4","14.4","100%","-0.1%"
"Alexandre Lacazette","ARS","F","54","ColmL","CRY 2<br/>@ARS 2 F","14.35","14.35","99%","-0.1%"
"Jay Rodriguez","BUR","F","55","W (Tue)","CHE 4<br/>@BUR 2 F","14","14","4%","+0.9%"
"James Tarkowski","BUR","D","56","Eoghanoc","CHE 4<br/>@BUR 2 F","13.85","13.85","89%","-0.5%"
"James Ward-Prowse","SOU","M","57","Damo","LEI 9<br/>@SOU 0 F","13.85","13.85","86%","+0.6%"
"Nathan Ake","BOU","D","58","W (Tue)","BOU 0<br/>@WAT 0 F","13.8","13.8","86%","+1.2%"
"Matthew Lowton","BUR","D","59","W (Tue)","CHE 4<br/>@BUR 2 F","13.75","13.75","59%","-0.3%"
"Enda Stevens","SHU","D,M","60","MKFC","SHU 1<br/>@WHU 1 F","13.7","13.7","77%","+1.8%"
