Player,Team,Position,Rk,Status,Opponent,FPts,FP/G,% Owned,+/-
Teemu Pukki,NOR,F,1,ColmOF,NEW 1<br/>@NOR 3 F,40.25,40.25,100%,1.2%
Sadio Mane,LIV,"M,F",2,Seanmacd,LIV 2<br/>@SOU 1 F,30.45,30.45,100%,0%
Kevin De Bruyne,MCI,M,3,Eoghanoc,TOT 2<br/>@MCI 2 F,29.75,29.75,100%,0.1%
Dani Ceballos,ARS,M,4,Damo,BUR 1<br/>@ARS 2 F,26.75,26.75,100%,5.1%
Lucas Digne,EVE,D,5,ZKL,WAT 0<br/>@EVE 1 F,25.4,25.4,100%,0%
Bernard,EVE,"M,F",6,MKFC,WAT 0<br/>@EVE 1 F,25.2,25.2,50%,-17.1%
Erik Lamela,TOT,M,7,Eoghanoc,TOT 2<br/>@MCI 2 F,24.75,24.75,83%,-0.2%
Manuel Lanzini,WHU,M,8,Damo,WHU 1<br/>@BHA 1 F,23.5,23.5,100%,2.4%
Todd Cantwell,NOR,M,9,FA,NEW 1<br/>@NOR 3 F,23,23,67%,-13.2%
Wilfred Ndidi,LEI,M,10,ZKL,LEI 1<br/>@CHE 1 F,21.55,21.55,92%,-4.6%
Tanguy Ndombele,TOT,M,11,Damo,TOT 2<br/>@MCI 2 F,21.5,21.5,100%,1.8%
Nick Pope,BUR,G,12,ZKL,BUR 1<br/>@ARS 2 F,20.75,20.75,75%,-4.9%
Enda Stevens,SHU,D,13,ZKL,CRY 0<br/>@SHU 1 F,20.7,20.7,58%,15.2%
Mason Mount,CHE,M,14,Seanmacd,LEI 1<br/>@CHE 1 F,20.6,20.6,100%,7.8%
Joao Moutinho,WOL,M,15,ZKL,MUN 1<br/>@WOL 1 F,20.25,20.25,100%,1.7%
Dean Henderson,SHU,G,16,FA,CRY 0<br/>@SHU 1 F,20.25,20.25,17%,1.6%
Jack Grealish,AVL,M,17,mcavinur,BOU 2<br/>@AVL 1 F,20,20,100%,2%
Hugo Lloris,TOT,G,18,Eoghanoc,TOT 2<br/>@MCI 2 F,19.75,19.75,100%,1%
Douglas Luiz,AVL,M,19,FA,BOU 2<br/>@AVL 1 F,19.2,19.2,42%,27.9%
John Lundstram,SHU,"D,M",20,FA,CRY 0<br/>@SHU 1 F,19.15,19.15,42%,-3.8%
Dwight McNeil,BUR,M,21,ZKL,BUR 1<br/>@ARS 2 F,18.85,18.85,92%,8.9%
Yerry Mina,EVE,D,22,Damo,WAT 0<br/>@EVE 1 F,17.5,17.5,92%,6.1%
Jamal Lewis,NOR,D,23,FA,NEW 1<br/>@NOR 3 F,17.5,17.5,8%,2.9%
Raheem Sterling,MCI,F,24,ColmL,TOT 2<br/>@MCI 2 F,17.25,17.25,100%,0%
Aaron Ramsdale,BOU,G,25,FA,BOU 2<br/>@AVL 1 F,17,17,8%,4.3%
Jonjo Shelvey,NEW,M,26,FA,NEW 1<br/>@NOR 3 F,16.75,16.75,33%,21.4%
Ahmed El Mohamady,AVL,D,27,FA,BOU 2<br/>@AVL 1 F,16.7,16.7,17%,9.9%
Roberto Firmino,LIV,"M,F",28,Eoghanoc,LIV 2<br/>@SOU 1 F,16.35,16.35,100%,0%
Chris Basham,SHU,D,29,FA,CRY 0<br/>@SHU 1 F,16.35,16.35,0%,-2%
George Baldock,SHU,D,30,FA,CRY 0<br/>@SHU 1 F,16.15,16.15,33%,17.6%
Ashley Barnes,BUR,F,31,Seanmacd,BUR 1<br/>@ARS 2 F,15.95,15.95,100%,1.5%
