"Player","Team","Position","Rk","Status","Opponent","FPts","FP/G","% Owned","+/-"
"Adama Traore","WOL","F","1","MKFC","WOL 3<br/>@SOU 2 F","28.5","28.5","91%","0%"
"Virgil van Dijk","LIV","D","2","RBF","MUN 0<br/>@LIV 2 F","25.65","25.65","100%","0%"
"Raul Jimenez","WOL","F","3","Eoghanoc","WOL 3<br/>@SOU 2 F","24.95","24.95","100%","0%"
"Sergio Aguero","MCI","F","4","MAX","CRY 2<br/>@MCI 2 F","23.5","23.5","100%","-0.1%"
"Trent Alexander-Arnold","LIV","D","5","ColmOF","MUN 0<br/>@LIV 2 F","23.3","23.3","100%","0%"
"Alisson","LIV","G","6","Damo","MUN 0<br/>@LIV 2 F","23","23","99%","0%"
"Serge Aurier","TOT","D","7","MAX","TOT 0<br/>@WAT 0 F","22.6","22.6","94%","-0.1%"
"Nick Pope","BUR","G","8","W (Tue)","LEI 1<br/>@BUR 2 F","22.25","22.25","72%","+1.7%"
"Reece James","CHE","D","9","MAX","CHE 0<br/>@NEW 1 F","21.85","21.85","70%","+1.1%"
"Cenk Tosun","CRY","F","10","W (Tue)","CRY 2<br/>@MCI 2 F","21","21","16%","-7.3%"
"Sam Byram","NOR","D","11","W (Tue)","BOU 0<br/>@NOR 1 F","20.75","20.75","1%","0%"
"John Fleck","SHU","M","12","mcavinur","SHU 1<br/>@ARS 1 F","20.45","20.45","82%","+0.3%"
"Federico Fernandez","NEW","D","13","W (Tue)","CHE 0<br/>@NEW 1 F","20.15","20.15","16%","+1.4%"
"Fred","MUN","M","14","RBF","MUN 0<br/>@LIV 2 F","19.75","19.75","57%","+0.9%"
"Ben Foster","WAT","G","15","MAX","TOT 0<br/>@WAT 0 F","19.25","19.25","64%","-0.3%"
"Paulo Gazzaniga","TOT","G","16","W (Tue)","TOT 0<br/>@WAT 0 F","19.25","19.25","11%","-2.4%"
"Leandro Trossard","BHA","M,F","17","W (Tue)","AVL 1<br/>@BHA 1 F","19.1","19.1","71%","-0.4%"
"Harvey Barnes","LEI","M","18","ColmOF","LEI 1<br/>@BUR 2 F","18.75","18.75","84%","+1.9%"
"Mason Holgate","EVE","D","19","mcavinur","EVE 1<br/>@WHU 1 F","17.7","17.7","24%","-0.6%"
"Mohamed Salah","LIV","F","20","Damo","MUN 0<br/>@LIV 2 F","17.6","17.6","100%","0%"
"Benjamin Mendy","MCI","D","21","W (Tue)","CRY 2<br/>@MCI 2 F","17.55","17.55","87%","-2.4%"
"Jack Grealish","AVL","M,F","22","mcavinur","AVL 1<br/>@BHA 1 F","17.5","17.5","99%","0%"
"Martin Dubravka","NEW","G","23","RBF","CHE 0<br/>@NEW 1 F","17.5","17.5","78%","+1.6%"
"Ondrej Duda","NOR","M","24","ColmOF","BOU 0<br/>@NOR 1 F","17.1","17.1","49%","+3.7%"
"Ciaran Clark","NEW","D","25","W (Tue)","CHE 0<br/>@NEW 1 F","16.65","16.65","9%","+1.3%"
"Chris Wood","BUR","F","26","W (Tue)","LEI 1<br/>@BUR 2 F","16.5","16.5","73%","+2.7%"
"Ismaila Sarr","WAT","M,F","27","ColmOF","TOT 0<br/>@WAT 0 F","16.5","16.5","58%","-1.7%"
"Shane Long","SOU","F","28","W (Tue)","WOL 3<br/>@SOU 2 F","16.5","16.5","17%","-1.7%"
"Tim Krul","NOR","G","29","W (Tue)","BOU 0<br/>@NOR 1 F","16.5","16.5","16%","-0.1%"
"Craig Dawson","WAT","D","30","W (Tue)","TOT 0<br/>@WAT 0 F","16.5","16.5","3%","-0.6%"
"Joseph Gomez","LIV","D","31","mcavinur","MUN 0<br/>@LIV 2 F","16.4","16.4","90%","+0.1%"
"Kevin De Bruyne","MCI","M","32","Eoghanoc","CRY 2<br/>@MCI 2 F","16.35","16.35","100%","0%"
"Ashley Westwood","BUR","M","33","W (Tue)","LEI 1<br/>@BUR 2 F","16.35","16.35","47%","-1.1%"
"Leander Dendoncker","WOL","D,M","34","W (Tue)","WOL 3<br/>@SOU 2 F","16.2","16.2","17%","-1.5%"
"Issa Diop","WHU","D","35","W (Tue)","EVE 1<br/>@WHU 1 F","16.2","16.2","16%","-0.8%"
"Teemu Pukki","NOR","F","36","ColmOF","BOU 0<br/>@NOR 1 F","16","16","98%","+0.1%"
"Japhet Tanganga","TOT","D","37","W (Tue)","TOT 0<br/>@WAT 0 F","15.8","15.8","22%","+3.4%"
"Dennis Praet","LEI","M","38","W (Tue)","LEI 1<br/>@BUR 2 F","15.8","15.8","8%","-2.2%"
"Son Heung-Min","TOT","M,F","39","Eoghanoc","TOT 0<br/>@WAT 0 F","15.75","15.75","100%","0%"
