"Player","Team","Position","Rk","Status","Opponent","FPts","FP/G","% Owned"
"Harvey Barnes","LEI","M","1","FA","AVL 0<br/>@LEI 4 F","36.75","36.75","-"
"Ross Barkley","CHE","M","2","Damo","EVE 0<br/>@CHE 4 F","35.1","35.1","-"
"Willian","CHE","M,F","3","MAX","EVE 0<br/>@CHE 4 F","27.25","27.25","-"
"Sadio Mane","LIV","M,F","4","RBF","BOU 1<br/>@LIV 2 F","27.1","27.1","-"
"Pedro","CHE","F","5","FA","EVE 0<br/>@CHE 4 F","26.75","26.75","-"
"Marc Albrighton","LEI","M","6","FA","AVL 0<br/>@LEI 4 F","25.5","25.5","-"
"Bernd Leno","ARS","G","7","FA","WHU 0<br/>@ARS 1 F","24.25","24.25","-"
"Aaron Wan-Bissaka","MUN","D","8","MKFC","MCI 0<br/>@MUN 2 F","24","24","-"
"Allan Saint-Maximin","NEW","M,F","9","MAX","NEW 1<br/>@SOU 0 F","23.5","23.5","-"
"Mohamed Salah","LIV","F","10","Damo","BOU 1<br/>@LIV 2 F","23.5","23.5","-"
"Alex McCarthy","SOU","G","11","FA","NEW 1<br/>@SOU 0 F","23","23","-"
"Mason Mount","CHE","M,F","12","RBF","EVE 0<br/>@CHE 4 F","22.75","22.75","-"
"Vicente Guaita","CRY","G","13","FA","WAT 0<br/>@CRY 1 F","22.25","22.25","-"
"Jamie Vardy","LEI","F","14","ColmOF","AVL 0<br/>@LEI 4 F","20.25","20.25","-"
"John Lundstram","SHU","D,M","15","Eoghanoc","NOR 0<br/>@SHU 1 F","19.95","19.95","-"
"Chris Wood","BUR","F","16","FA","TOT 1<br/>@BUR 1 F","19.7","19.7","-"
"Dean Henderson","SHU","G","17","Eoghanoc","NOR 0<br/>@SHU 1 F","19.25","19.25","-"
"David de Gea","MUN","G","18","FA","MCI 0<br/>@MUN 2 F","19.25","19.25","-"
"Chris Basham","SHU","D","19","RBF","NOR 0<br/>@SHU 1 F","18.8","18.8","-"
"Yves Bissouma","BHA","M,F","20","FA","BHA 0<br/>@WOL 0 F","18.45","18.45","-"
"James McArthur","CRY","M","21","RBF","WAT 0<br/>@CRY 1 F","18.45","18.45","-"
"Patrick van Aanholt","CRY","D","22","mcavinur","WAT 0<br/>@CRY 1 F","18.45","18.45","-"
"Matt Doherty","WOL","D,M","23","Damo","BHA 0<br/>@WOL 0 F","18.35","18.35","-"
"Martin Dubravka","NEW","G","24","RBF","NEW 1<br/>@SOU 0 F","18","18","-"
"Olivier Giroud","CHE","F","25","MAX","EVE 0<br/>@CHE 4 F","18","18","-"
"Dani Ceballos","ARS","M","26","ColmOF","WHU 0<br/>@ARS 1 F","17.6","17.6","-"
"Gary Cahill","CRY","D","27","MKFC","WAT 0<br/>@CRY 1 F","17","17","-"
"Anthony Martial","MUN","F","28","RBF","MCI 0<br/>@MUN 2 F","16.95","16.95","-"
"Bruno Fernandes","MUN","M","29","MKFC","MCI 0<br/>@MUN 2 F","16.85","16.85","-"
"Willy Boly","WOL","D","30","mcavinur","BHA 0<br/>@WOL 0 F","16.65","16.65","-"
"Ricardo Pereira","LEI","D","31","FA","AVL 0<br/>@LEI 4 F","16.5","16.5","-"
"Dwight McNeil","BUR","M","32","Eoghanoc","TOT 1<br/>@BUR 1 F","16.5","16.5","-"
"Jordan Pickford","EVE","G","33","FA","EVE 0<br/>@CHE 4 F","16.5","16.5","-"
"Ruben Vinagre","WOL","D,M","34","FA","BHA 0<br/>@WOL 0 F","16.5","16.5","-"
"Hugo Lloris","TOT","G","35","FA","TOT 1<br/>@BUR 1 F","16.25","16.25","-"
"George Baldock","SHU","D,M","36","ColmL","NOR 0<br/>@SHU 1 F","16.15","16.15","-"
"James Justin","LEI","D","37","RBF","AVL 0<br/>@LEI 4 F","16.1","16.1","-"
"Jefferson Lerma","BOU","M","38","FA","BOU 1<br/>@LIV 2 F","16","16","-"
"Billy Sharp","SHU","F","39","FA","NOR 0<br/>@SHU 1 F","16","16","-"
"Callum Wilson","BOU","F","40","FA","BOU 1<br/>@LIV 2 F","15.85","15.85","-"
"Jay Rodriguez","BUR","F","41","FA","TOT 1<br/>@BUR 1 F","15.5","15.5","-"
"Cesar Azpilicueta","CHE","D","42","RBF","EVE 0<br/>@CHE 4 F","15.4","15.4","-"
"Scott Dann","CRY","D","43","FA","WAT 0<br/>@CRY 1 F","15.35","15.35","-"
"John Egan","SHU","D","44","Damo","NOR 0<br/>@SHU 1 F","15.25","15.25","-"
"Jamaal Lascelles","NEW","D","45","FA","NEW 1<br/>@SOU 0 F","15.15","15.15","-"
"Jordan Ayew","CRY","M,F","46","RBF","WAT 0<br/>@CRY 1 F","15.1","15.1","-"
"Victor Lindelof","MUN","D","47","FA","MCI 0<br/>@MUN 2 F","15.05","15.05","-"
"Jarrod Bowen","HUL/WHU","M,F","48","mcavinur","WHU 0<br/>@ARS 1 F","15","15","-"
"Jonny Evans","LEI","D","49","Damo","AVL 0<br/>@LEI 4 F","14.9","14.9","-"
