"Player","Team","Position","Rk","Status","Opponent","FPts","FP/G","% Owned","+/-"
"Dominic Calvert-Lewin","EVE","F","1","W (Tue)","EVE 2<br/>@NEW 1 F","28.35","28.35","66%","+9.1%"
"Troy Deeney","WAT","F","2","W (Tue)","AVL 0<br/>@WAT 3 F","28.1","28.1","73%","+2.5%"
"Felipe Anderson","WHU","M","3","ZKL","LEI 2<br/>@WHU 1 F","24.75","24.75","98%","+1.3%"
"Kevin De Bruyne","MCI","M","4","Eoghanoc","SHU 0<br/>@MCI 2 F","23.75","23.75","100%","0%"
"Pablo Fornals","WHU","M","5","W (Tue)","LEI 2<br/>@WHU 1 F","23.35","23.35","40%","-0.2%"
"Aaron Mooy","BHA","M,F","6","W (Tue)","BOU 0<br/>@BHA 2 F","23","23","20%","+4.7%"
"Emiliano Buendia","NOR","M","7","ColmL","TOT 2<br/>@NOR 2 F","22.85","22.85","93%","+0.3%"
"Willian","CHE","M,F","8","ZKL","CHE 2<br/>@ARS 1 F","22.5","22.5","99%","0%"
"Andy Carroll","NEW","F","9","W (Tue)","EVE 2<br/>@NEW 1 F","22.3","22.3","12%","+2.5%"
"Fabian Schar","NEW","D","10","W (Tue)","EVE 2<br/>@NEW 1 F","22.15","22.15","61%","-1%"
"Richarlison","EVE","M,F","11","ColmL","EVE 2<br/>@NEW 1 F","21.3","21.3","100%","-0.1%"
"James Tomkins","CRY","D","12","mcavinur","CRY 1<br/>@SOU 1 F","20.6","20.6","23%","-0.8%"
"Marcus Rashford","MUN","M,F","13","ColmL","MUN 2<br/>@BUR 0 F","20.25","20.25","100%","0%"
"Pierre-Emerick Aubameyang","ARS","M,F","14","ColmOF","CHE 2<br/>@ARS 1 F","19.95","19.95","100%","0%"
"Christian Eriksen","TOT","M","15","W (Tue)","TOT 2<br/>@NOR 2 F","19.7","19.7","93%","+3.3%"
"Leandro Trossard","BHA","M,F","16","W (Tue)","BOU 0<br/>@BHA 2 F","19.25","19.25","61%","+1.4%"
"Etienne Capoue","WAT","M","17","W (Tue)","AVL 0<br/>@WAT 3 F","19.25","19.25","20%","+0.5%"
"Oleksandr Zinchenko","MCI","D,M","18","W (Tue)","SHU 0<br/>@MCI 2 F","18.95","18.95","64%","+5.4%"
