minutes_played,actual_score,extrapolated_score
84,9.9,12.5
84,10.95,12.9
84,11.9,14.25
84,13,15.75
84,14,16.75
84,15.5,17.5
84,16.5,18.35
84,17.45,21.5
84,19.8,23.95
84,24,27.6
84,36,52.5
85,4.7,5.25
85,5.6,6
85,6,6.5
85,6.45,7.5
85,7.2,8.5
85,7.75,9
85,8.2,9.85
85,9,11.05
85,9.5,11.95
85,10,12.5
85,11,12.9
85,12.5,14.25
85,13,15.75
85,14.35,16.75
85,15.5,17.5
85,16.75,18.35
85,17.75,21.5
85,20.75,23.95
85,24.3,27.6
85,36.25,52.5
86,4.75,5.25
86,5.65,6
86,6.2,6.5
86,6.95,7.5
86,7.35,8.5
86,8,9
86,8.5,9.85
86,9,11.05
86,9.65,11.95
86,10.1,12.5
86,11.5,12.9
86,13.15,14.25
86,13.9,15.75
86,15.25,16.75
86,15.8,17.5
86,16.85,18.35
86,17.85,21.5
86,21.2,23.95
86,24.8,27.6
86,37.7,52.5
87,5,5.25
87,5.75,6
87,6.5,6.5
87,7.05,7.5
87,7.4,8.5
87,8.05,9
87,8.5,9.85
87,9.15,11.05
87,9.9,11.95
87,11.25,12.5
87,11.7,12.9
87,13.5,14.25
87,14.5,15.75
87,15.3,16.75
87,16.4,17.5
87,16.95,18.35
87,19.05,21.5
87,22.1,23.95
87,25.05,27.6
87,44.25,52.5
88,5,5.25
88,5.75,6
88,6.5,6.5
88,7.05,7.5
88,7.4,8.5
88,8.05,9
88,8.5,9.85
88,9.15,11.05
88,9.9,11.95
88,11.25,12.5
88,11.7,12.9
88,13.5,14.25
88,14.5,15.75
88,15.3,16.75
88,16.4,17.5
88,16.95,18.35
88,19.05,21.5
88,22.1,23.95
88,25.05,27.6
88,44.25,52.5
89,5,5.25
89,5.8,6
89,6.5,6.5
89,7.1,7.5
89,7.9,8.5
89,8.45,9
89,9.6,9.85
89,10.25,11.05
89,10.85,11.95
89,11.75,12.5
89,12.75,12.9
89,13.7,14.25
89,14.95,15.75
89,15.75,16.75
89,17.1,17.5
89,18.35,18.35
89,19.85,21.5
89,22.7,23.95
89,25.3,27.6
89,45.35,52.5
