Player,Team,Position,Rk,Status,Opponent,FPts,FP/G,% Owned,+/-
Granit Xhaka,ARS,M,132,FA,ARS 1</br>@NEW 0 F,8.7,8.7,68%,0%
Javier Manquillo,NEW,D,133,FA,ARS 1</br>@NEW 0 F,8.7,8.7,2%,0%
Diogo Jota,WOL,"M,F",134,Damo,WOL 0</br>@LEI 0 F,8.5,8.5,100%,0%
Kiko Femenia,WAT,D,135,FA,WAT 0</br>@BHA 3 F,8.5,8.5,7%,0%
David McGoldrick,SHU,F,136,FA,SHU 1</br>@BOU 1 F,8.5,8.5,5%,0%
Trezeguet,AVL,M,137,FA,AVL 1</br>@TOT 3 F,8.45,8.45,19%,0%
Ben Godfrey,NOR,"D,M",138,FA,NOR 1<br/>@LIV 4 F,8.45,8.45,3%,0%
Craig Dawson,WAT,D,139,FA,WAT 0</br>@BHA 3 F,8.3,8.3,15%,0%
Christian Eriksen,TOT,M,140,Eoghanoc,AVL 1</br>@TOT 3 F,8.25,8.25,100%,0%
David Silva,MCI,M,141,ZKL,MCI 5<br/>@WHU 0 F,8.25,8.25,100%,0%
James Ward-Prowse,SOU,M,142,Damo,SOU 0<br/>@BUR 3 F,8.25,8.25,91%,0%
Tom Heaton,AVL,G,143,mcavinur,AVL 1</br>@TOT 3 F,8.25,8.25,37%,0%
Jamaal Lascelles,NEW,D,144,FA,ARS 1</br>@NEW 0 F,8.25,8.25,33%,0%
Christian Benteke,CRY,F,145,FA,EVE 0<br/>@CRY 0 F,8.25,8.25,31%,0%
Davinson Sanchez,TOT,D,146,FA,AVL 1</br>@TOT 3 F,8.2,8.2,69%,0%
Todd Cantwell,NOR,M,147,FA,NOR 1<br/>@LIV 4 F,8.1,8.1,1%,0%
Jack OConnell,SHU,D,148,FA,SHU 1</br>@BOU 1 F,8.05,8.05,6%,0%
Hamza Choudhury,LEI,M,149,FA,WOL 0</br>@LEI 0 F,8,8,3%,0%
Cesar Azpilicueta,CHE,D,150,mcavinur,CHE 0<br/>@MUN 4 F,7.75,7.75,100%,0%
Gylfi Sigurdsson,EVE,M,151,ColmL,EVE 0<br/>@CRY 0 F,7.75,7.75,100%,0%
John Lundstram,SHU,"D,M",152,FA,SHU 1</br>@BOU 1 F,7.75,7.75,4%,0%
Jamal Lewis,NOR,D,153,FA,NOR 1<br/>@LIV 4 F,7.6,7.6,5%,0%
Enda Stevens,SHU,D,154,FA,SHU 1</br>@BOU 1 F,7.55,7.55,24%,0%
Jannik Vestergaard,SOU,D,155,FA,SOU 0<br/>@BUR 3 F,7.55,7.55,13%,0%
Luka Milivojevic,CRY,M,156,Seanmacd,EVE 0<br/>@CRY 0 F,7.5,7.5,100%,0%
Callum Robinson,SHU,F,157,FA,SHU 1</br>@BOU 1 F,7.5,7.5,9%,0%
Ryan Bertrand,SOU,"D,M",158,FA,SOU 0<br/>@BUR 3 F,7.4,7.4,35%,0%
Etienne Capoue,WAT,M,159,FA,WAT 0</br>@BHA 3 F,7.25,7.25,38%,0%
Harry Winks,TOT,M,160,FA,AVL 1</br>@TOT 3 F,7.25,7.25,13%,0%
Tom Trybull,NOR,M,161,FA,NOR 1<br/>@LIV 4 F,7.05,7.05,1%,0%
Dean Henderson,SHU,G,162,FA,SHU 1</br>@BOU 1 F,7,7,13%,0%
Aaron Ramsdale,BOU,G,163,FA,SHU 1</br>@BOU 1 F,7,7,4%,0%
Joseph Gomez,LIV,D,164,Seanmacd,NOR 1<br/>@LIV 4 F,6.9,6.9,97%,0%
Ruben Neves,WOL,M,165,ColmOF,WOL 0</br>@LEI 0 F,6.8,6.8,95%,0%
Nathan Redmond,SOU,"M,F",166,Eoghanoc,SOU 0<br/>@BUR 3 F,6.75,6.75,99%,0%
Will Hughes,WAT,M,167,FA,WAT 0</br>@BHA 3 F,6.75,6.75,21%,0%
Reiss Nelson,ARS,F,168,FA,ARS 1</br>@NEW 0 F,6.75,6.75,11%,0%
Bjorn Engels,AVL,D,169,FA,AVL 1</br>@TOT 3 F,6.65,6.65,2%,0%
Jorginho,CHE,M,170,FA,CHE 0<br/>@MUN 4 F,6.5,6.5,67%,0%
Chris Basham,SHU,D,171,FA,SHU 1</br>@BOU 1 F,6.5,6.5,2%,0%
Andrew Robertson,LIV,D,172,mcavinur,NOR 1<br/>@LIV 4 F,6.45,6.45,100%,0%
Jesse Lingard,MUN,"M,F",173,FA,CHE 0<br/>@MUN 4 F,6.25,6.25,71%,0%
Andreas Christensen,CHE,D,174,Seanmacd,CHE 0<br/>@MUN 4 F,6.25,6.25,25%,0%
Neil Taylor,AVL,D,175,FA,AVL 1</br>@TOT 3 F,6.2,6.2,1%,0%
Jamie Vardy,LEI,F,176,ColmOF,WOL 0</br>@LEI 0 F,6.1,6.1,100%,0%
Ross Barkley,CHE,M,177,mcavinur,CHE 0<br/>@MUN 4 F,6,6,97%,0%
Steve Cook,BOU,D,178,FA,SHU 1</br>@BOU 1 F,5.95,5.95,44%,0%
Ashley Westwood,BUR,M,179,FA,SOU 0<br/>@BUR 3 F,5.85,5.85,45%,0%
John Fleck,SHU,M,180,FA,SHU 1</br>@BOU 1 F,5.85,5.85,2%,0%
