Position,GW_01,GW_02,GW_03,GW_04,GW_05,GW_06,GW_07,GW_08,GW_09,GW_10,GW_11,GW_12,GW_13,GW_14,GW_15,GW_16,GW_17,GW_18,GW_19,GW_20,GW_21,GW_22,GW_23,GW_24,GW_25,GW_26,GW_27,GW_28,GW_29,GW_30,GW_31,GW_32
1,MCI,MCI,MCI,MCI,MCI,MCI,MCI,MCI,LIV,LIV,LIV,LIV,LIV,LIV,LIV,LIV,LIV,LIV,LIV,LIV,LIV,LIV,LIV,LIV,LIV,LIV,LIV,LIV,LIV,LIV,LIV
2,LIV,LIV,LIV,LIV,LIV,LIV,LIV,LIV,MCI,MCI,MCI,MCI,MCI,MCI,MCI,MCI,MCI,MCI,MCI,MCI,MCI,MCI,MCI,MCI,MCI,MCI,MCI,MCI,MCI,MCI,MCI
3,CHE,TOT,TOT,CHE,TOT,TOT,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,LEI,LEI,LEI,LEI,LEI,LEI,LEI,LEI,LEI,LEI,LEI,LEI,LEI,LEI,LEI,LEI,LEI
4,TOT,CHE,CHE,TOT,CHE,CHE,TOT,TOT,ARS,ARS,LEI,LEI,LEI,LEI,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE
5,ARS,MUN,MUN,MUN,ARS,MUN,MUN,ARS,TOT,TOT,ARS,TOT,TOT,TOT,TOT,TOT,TOT,TOT,TOT,TOT,TOT,TOT,MUN,MUN,TOT,TOT,TOT,MUN,MUN,MUN,MUN
6,MUN,ARS,ARS,ARS,MUN,ARS,ARS,LEI,LEI,LEI,TOT,ARS,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,TOT,WOL,MUN,WOL,MUN,TOT,WOL,WOL,WOL
7,EVE,EVE,EVE,EVE,LEI,LEI,LEI,MUN,MUN,MUN,MUN,MUN,ARS,ARS,ARS,WOL,WOL,WOL,WOL,WOL,WOL,WOL,WOL,TOT,WOL,MUN,WOL,WOL,TOT,SHU,TOT
8,LEI,LEI,LEI,LEI,EVE,EVE,WHU,EVE,CRY,EVE,CRY,EVE,EVE,WOL,WOL,ARS,ARS,ARS,SHU,SHU,SHU,ARS,SHU,SHU,SHU,SHU,SHU,SHU,SHU,TOT,SHU
9,WOL,WOL,WOL,WOL,CRY,WHU,EVE,WHU,WOL,CRY,EVE,BOU,WOL,BUR,CRY,CRY,EVE,EVE,ARS,ARS,EVE,EVE,EVE,EVE,EVE,EVE,EVE,ARS,ARS,ARS,ARS
10,CRY,CRY,BOU,CRY,WHU,CRY,BOU,BOU,EVE,WOL,WOL,WOL,BOU,EVE,SHU,EVE,CRY,SHU,EVE,EVE,ARS,SHU,ARS,ARS,SOU,SOU,ARS,EVE,EVE,EVE,EVE
11,BOU,BOU,BUR,BOU,WOL,BOU,CRY,CRY,BOU,BUR,BUR,CRY,SHU,SHU,EVE,BHA,SHU,CRY,BUR,CRY,CRY,CRY,SOU,CRY,ARS,ARS,BUR,BUR,BUR,BUR,CRY
12,WHU,BUR,CRY,WHU,SOU,SOU,BUR,BUR,BUR,BOU,BOU,BHA,BUR,CRY,BUR,BUR,BHA,BHA,CRY,BUR,BUR,SOU,CRY,SOU,BUR,BUR,SOU,SOU,CRY,CRY,BUR
13,NEW,WHU,WHU,BUR,BOU,WOL,SOU,SOU,WHU,WHU,WHU,SHU,CRY,BOU,BOU,SHU,NEW,BUR,NEW,NEW,BHA,BHA,BHA,NEW,CRY,CRY,CRY,CRY,SOU,SOU,SOU
14,SOU,NEW,SOU,SOU,BUR,BUR,WOL,WOL,SOU,SOU,BHA,BUR,BHA,BHA,BHA,NEW,BUR,BOU,BHA,SOU,SOU,BUR,WAT,BUR,NEW,NEW,NEW,NEW,NEW,NEW,NEW
15,WAT,SOU,NEW,NEW,NEW,NEW,NEW,SHU,BHA,SHU,SHU,WHU,NEW,AVL,WHU,BOU,BOU,NEW,BOU,BHA,NEW,NEW,BUR,BHA,BHA,BHA,BHA,BHA,WAT,BHA,BHA
16,BUR,BHA,BHA,AVL,SHU,NOR,SHU,NOR,SHU,BHA,AVL,NEW,WHU,NEW,AVL,AVL,AVL,WHU,WHU,BOU,BOU,WHU,NEW,WAT,WAT,WAT,WAT,WHU,WHU,WAT,WAT
17,AVL,WAT,WAT,NOR,BHA,WAT,BHA,BHA,NEW,AVL,SOU,AVL,AVL,WHU,NEW,SOU,SOU,AVL,SOU,WHU,WHU,WAT,WHU,WHU,WHU,BOU,WHU,WAT,BHA,WHU,WHU
18,BHA,AVL,NOR,BHA,WAT,BHA,NOR,NEW,AVL,NEW,NEW,SOU,WAT,SOU,SOU,WHU,WHU,SOU,AVL,AVL,WAT,BOU,AVL,AVL,AVL,AVL,BOU,BOU,BOU,BOU,BOU
19,NOR,NOR,SHU,WAT,AVL,SHU,WAT,WAT,WAT,WAT,WAT,WAT,SOU,WAT,WAT,WAT,WAT,WAT,WAT,WAT,AVL,AVL,BOU,BOU,BOU,WHU,AVL,AVL,AVL,AVL,AVL
20,SHU,SHU,AVL,SHU,NOR,AVL,AVL,AVL,NOR,NOR,NOR,NOR,NOR,NOR,NOR,NOR,NOR,NOR,NOR,NOR,NOR,NOR,NOR,NOR,NOR,NOR,NOR,NOR,NOR,NOR,NOR
