GW,HOME,AWAY,HOME538,AWAY538,FIXTURE_CODE,HOME_SCORE,AWAY_SCORE
32,LEI,WOL,33,33,LEIWOL,,
32,LIV,NOT,33,33,LIVNOT,,
32,MUN,CHE,33,33,MUNCHE,,
32,NEW,TOT,33,33,NEWTOT,,
33,EVE,NEW,33,33,EVENEW,,
33,LEE,LEI,33,33,LEELEI,,
33,NOT,BHA,33,33,NOTBHA,,
33,TOT,MUN,33,33,TOTMUN,,
33,WHU,LIV,33,33,WHULIV,,
33,WOL,CRY,33,33,WOLCRY,,
33,AVL,FUL,33,33,AVLFUL,,
33,CHE,BRF,33,33,CHEBRF,,
33,SOU,BOU,33,33,SOUBOU,,
33,MCI,ARS,33,33,MCIARS,,
34,BOU,LEE,33,33,BOULEE,,
34,ARS,CHE,33,33,ARSCHE,,
34,BRF,NOT,33,33,BRFNOT,,
34,BHA,WOL,33,33,BHAWOL,,
34,CRY,WHU,33,33,CRYWHU,,
34,FUL,MCI,33,33,FULMCI,,
34,LEI,EVE,33,33,LEIEVE,,
34,LIV,TOT,33,33,LIVTOT,,
34,MUN,AVL,33,33,MUNAVL,,
34,NEW,SOU,33,33,NEWSOU,,
35,BOU,CHE,33,33,BOUCHE,,
35,BHA,EVE,33,33,BHAEVE,,
35,FUL,LEI,33,33,FULLEI,,
35,LIV,BRF,33,33,LIVBRF,,
35,MCI,LEE,33,33,MCILEE,,
35,NEW,ARS,33,33,NEWARS,,
35,NOT,SOU,33,33,NOTSOU,,
35,TOT,CRY,33,33,TOTCRY,,
35,WHU,MUN,33,33,WHUMUN,,
35,WOL,AVL,33,33,WOLAVL,,
36,ARS,BHA,33,33,ARSBHA,,
36,AVL,TOT,33,33,AVLTOT,,
36,BRF,WHU,33,33,BRFWHU,,
36,CHE,NOT,33,33,CHENOT,,
36,CRY,BOU,33,33,CRYBOU,,
36,EVE,MCI,33,33,EVEMCI,,
36,LEE,NEW,33,33,LEENEW,,
36,LEI,LIV,33,33,LEILIV,,
36,MUN,WOL,33,33,MUNWOL,,
36,SOU,FUL,33,33,SOUFUL,,
37,BOU,MUN,33,33,BOUMUN,,
37,BHA,SOU,33,33,BHASOU,,
37,FUL,CRY,33,33,FULCRY,,
37,LIV,AVL,33,33,LIVAVL,,
37,MCI,CHE,33,33,MCICHE,,
37,NEW,LEI,33,33,NEWLEI,,
37,NOT,ARS,33,33,NOTARS,,
37,TOT,BRF,33,33,TOTBRF,,
37,WHU,LEE,33,33,WHULEE,,
37,WOL,EVE,33,33,WOLEVE,,
38,ARS,WOL,33,33,ARSWOL,,
38,AVL,BHA,33,33,AVLBHA,,
38,BRF,MCI,33,33,BRFMCI,,
38,CHE,NEW,33,33,CHENEW,,
38,CRY,NOT,33,33,CRYNOT,,
38,EVE,BOU,33,33,EVEBOU,,
38,LEE,TOT,33,33,LEETOT,,
38,LEI,WHU,33,33,LEIWHU,,
38,MUN,FUL,33,33,MUNFUL,,
38,SOU,LIV,33,33,SOULIV,,
7,BOU,BHA,22,54,BOUBHA,,
7,LEI,AVL,42,33,LEIAVL,,
7,LIV,WOL,77,8,LIVWOL,,
7,SOU,BRF,38,38,SOUBRF,,
7,ARS,EVE,67,13,ARSEVE,,
7,WHU,NEW,39,34,WHUNEW,,
7,LEE,NOT,54,22,LEENOT,,
8,BHA,CRY,33,33,BHACRY,,
8,CHE,LIV,33,33,CHELIV,,
8,MUN,LEE,33,33,MUNLEE,,
12,ARS,MCI,33,33,ARSMCI,,
