191,AaronConnolly
34,AaronCresswell
246,AaronLennon
398,AaronMooy
544,AaronRamsdale
147,AaronWan-Bissaka
363,AbdoulayeDoucouré
262,AdalbertoPeñaranda
371,AdamIdah
141,AdamLallana
341,AdamMasina
515,AdamSmith
352,AdamWebster
553,AdamaTraoré
53,AdrianMariappa
73,AdrienRabiot
13,Adrián
450,AhmedElmohamady
6,AinsleyMaitland-Niles
252,AlbianAjeti
43,AlexIwobi
548,AlexMcCarthy
114,AlexOxlade-Chamberlain
415,AlexanderTettey
552,AlexandreLacazette
183,AlexisMacAllister
434,AlfieWhiteman
177,AlirezaJahanbakhsh
411,Alisson
487,AllanSaint-Maximin
259,AndreGray
267,AndreGreen
298,AndreasChristensen
276,AndreasPereira
154,AndrewRobertson
227,AndrewSurman
71,AndriyYarmolenko
235,AndrosTownsend
61,AndréGomes
0,AndyCarroll
384,AndyKing
292,AndyLonergan
95,AngeloOgbonna
31,AngusGunn
346,AnthonyGordon
343,AnthonyKnockaert
310,AnthonyMartial
528,AntonioRüdiger
245,AnwarElGhazi
373,ArijanetMuric
321,ArnautDanjuma
470,ArthurMasuaku
351,ArturBoruc
88,AshleyBarnes
503,AshleyWestwood
142,AxelTuanzebe
192,AymericLaporte
423,AyozePérez
100,BaileyPeacock-Farrell
407,BartoszKapustka
185,BenChilwell
184,BenDavies
374,BenFoster
23,BenGibson
378,BenGodfrey
1,BenHeneghan
222,BenMee
504,BenOsborn
176,BenWilmot
226,BenWoodburn
265,BeniBaningime
27,BenjaminMendy
54,BeramKayal
209,Bernard
170,Bernardo
425,BernardoSilva
212,BerndLeno
358,BillyGilmour
524,BillySharp
330,BjörnEngels
149,BorjaBastón
90,BrandonWilliams
451,BrunoFernandes
432,BrunoJordão
255,BukayoSaka
87,CaglarSöyüncü
268,CallumHudson-Odoi
492,CallumRobinson
527,CallumWilson
413,CalumChambers
102,CameronBorthwick-Jackson
213,CameronCarter-Vickers
307,CaoimhinKelleher
463,CarlosSánchez
537,CarltonMorris
306,CenkTosun
79,CharlieDaniels
17,CharlieTaylor
271,CheAdams
232,CheikhouKouyaté
84,ChrisBasham
281,ChrisMepham
179,ChrisWood
497,ChristianAtsu
257,ChristianBenteke
63,ChristianFuchs
26,ChristianKabasele
128,ChristianPulisic
390,ChristianWalton
315,ChristophZimmermann
169,CiaranClark
323,ClaudioBravo
317,ConnorRonan
522,ConnorWickham
68,ConorCoady
159,ConorHourihane
420,CorentinTolisso
140,CraigCathcart
247,CraigDawson
157,CucoMartina
110,CurtisJones
101,CédricSoares
283,CésarAzpilicueta
501,DaleStephens
182,DanBarlaser
511,DanBurn
313,DanGosling
46,DaniCeballos
286,DanielAmartey
379,DanielBachmann
444,DanielJames
41,DanielPodence
377,DannyDrinkwater
105,DannyIngs
547,DannyRose
479,DannyWard
535,DannyWelbeck
145,DarrenRandolph
300,DarylJanmaat
533,DavidButton
269,DavidLuiz
44,DavidMartin
394,DavidMcGoldrick
32,DavidSilva
357,DaviddeGea
77,DavinsonSánchez
453,DavyPröpper
480,DeAndreYedlin
319,DeanHenderson
385,DeclanRice
81,DejanLovren
70,DeleAlli
457,DemaraiGray
382,DennisPraet
