,id,name,team,position,position_id,gw_01,gw_02,gw_03,gw_04,gw_05,gw_06,gw_07,gw_08,gw_09,gw_10,gw_11,gw_12,gw_13,gw_14,gw_15,gw_16,gw_17,gw_18,gw_19,gw_20,gw_21,gw_22,gw_23,gw_24,gw_25,gw_26,gw_27,gw_28,gw_29
0,1,Bernd Leno,ARS,G,1,16.5,10.5,11.0,14.5,15.0,8.0,20.75,5.25,7.0,5.0,14.75,10.0,14.5,13.0,16.75,7.75,17.0,16.75,15.75,16.5,15.0,9.0,9.25,7.25,11.25,,,,
1,2,Emiliano Martinez,ARS,G,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2,3,Matt Macey,ARS,G,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
3,4,David Luiz,ARS,D,2,15.15,5.7,16.85,-4.0,25.65,4.15,14.95,5.5,8.5,6.05,10.85,8.7,6.05,6.6,7.75,17.9,5.1,7.1,0.0,3.85,5.75,0.0,4.8,4.0,0.0,,,,
4,5,Hector Bellerin,ARS,D,2,18.05,0.0,0.0,18.9,0.0,0.0,0.0,0.0,0.0,0.0,7.4,0.0,0.0,4.7,0.0,0.0,0.0,0.0,0.0,5.95,0.0,0.0,0.0,0.0,0.0,,,,
5,6,Kieran Tierney,ARS,D,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.9,0.0,0.0,0.0,0.0,6.7,7.1,0.0,0.0,4.25,0.0,2.45,0.0,0.0,0.0,,,,
6,7,Konstantinos Mavropanos,ARS,D,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
7,8,Rob Holding,ARS,D,2,0.0,0.0,0.0,1.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
8,9,Shkodran Mustafi,ARS,D,2,17.4,2.35,0.0,13.15,0.0,3.65,0.0,0.0,12.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.35,0.0,0.0,0.0,0.0,,,,
9,10,Sokratis,ARS,D,2,0.0,5.75,0.0,0.0,15.7,0.0,24.6,4.05,0.0,6.1,7.1,4.6,7.95,0.0,4.1,17.35,8.05,4.55,13.2,7.3,0.0,6.95,10.1,7.75,2.35,,,,
10,11,Tolaji Bola,ARS,D,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
11,12,Zech Medley,ARS,D,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
12,13,Ainsley Maitland-Niles,ARS,"D,M",3,0.0,4.2,7.85,0.0,0.0,9.85,12.95,0.0,11.1,6.7,0.0,0.0,-0.25,0.0,13.1,0.0,0.0,15.6,20.05,0.0,0.0,9.3,12.95,6.5,10.8,,,,
13,14,Calum Chambers,ARS,"D,M",3,0.0,0.0,17.75,0.0,18.85,9.55,0.0,7.5,0.0,0.0,2.55,5.25,16.25,5.8,0.0,4.0,7.0,0.0,12.6,0.0,7.75,9.9,0.0,0.0,6.35,,,,
14,15,Sead Kolasinac,ARS,"D,M",3,0.0,0.0,0.0,0.0,14.45,0.0,11.05,7.95,0.0,7.25,0.0,7.2,9.4,6.15,7.95,1.2,2.0,9.85,0.0,6.35,7.8,13.1,1.1,0.0,2.1,,,,
15,16,Dani Ceballos,ARS,M,4,0.0,0.0,0.0,0.0,10.75,0.0,0.0,3.5,0.0,0.0,0.0,3.5,5.1,0.0,5.85,10.0,10.5,4.25,2.25,0.0,0.0,0.0,26.75,4.25,0.0,,,,
16,17,Emile Smith Rowe,ARS,M,4,0.0,0.0,6.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,,,
