,id,name,team,position,position_id,gw_01,gw_02,gw_03,gw_04,gw_05,gw_06,gw_07,gw_08,gw_09,gw_10,gw_11,gw_12,gw_13,gw_14,gw_15,gw_16,gw_17,gw_18,gw_19,gw_20,gw_21,gw_22,gw_23,gw_24,gw_25,gw_26,gw_27,gw_28,gw_29
17,18,Granit Xhaka,ARS,M,4,6.7,11.6,9.05,9.1,8.25,0.0,11.25,6.2,8.3,6.75,0.0,3.7,1.6,0.0,9.1,13.25,0.0,13.0,8.7,13.2,8.95,7.0,0.0,8.65,0.0,,,,
18,19,James Olayinka,ARS,M,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
19,20,Joseph Willock,ARS,M,4,4.35,2.45,1.5,0.0,0.0,3.75,0.0,0.0,0.0,0.0,4.5,0.0,0.0,4.75,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,1.1,,,,
20,21,Lucas Torreira,ARS,M,4,6.0,10.25,10.95,14.45,1.25,8.35,10.4,0.0,10.35,5.1,8.6,5.6,3.6,3.0,11.1,0.0,5.45,2.0,0.0,9.35,4.6,8.6,2.25,13.5,9.6,,,,
21,22,Matteo Guendouzi,ARS,M,4,5.0,0.0,0.0,0.15,11.3,8.3,1.0,10.0,0.0,3.3,12.2,6.55,11.75,9.1,18.25,8.5,10.05,4.6,11.05,0.0,5.85,0.6,10.75,7.65,8.0,,,,
22,23,Mesut Ozil,ARS,M,4,7.5,6.6,0.0,3.0,0.0,6.75,9.25,0.0,11.75,2.25,15.25,0.0,0.0,6.0,0.0,0.0,8.0,7.25,0.0,12.5,16.5,6.25,0.0,0.0,4.25,,,,
23,24,Robbie Burton,ARS,M,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
24,25,Gabriel Martinelli,ARS,"M,F",5,8.0,0.0,7.6,17.2,1.5,0.0,0.0,1.25,14.6,2.75,7.5,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.1,3.0,0.5,17.75,0.0,0.0,10.75,,,,
25,26,Nicolas Pepe,ARS,"M,F",5,0.0,5.25,0.0,5.25,12.0,1.0,23.0,12.0,11.25,8.35,3.25,7.25,19.75,3.6,18.25,15.75,0.0,10.5,1.75,7.0,0.0,21.25,9.75,13.0,7.1,,,,
26,27,Pierre-Emerick Aubameyang,ARS,"M,F",5,10.35,12.25,6.25,0.0,6.0,19.95,8.25,5.1,0.0,8.5,12.1,17.0,13.25,8.5,20.0,3.75,15.5,23.1,13.0,6.5,28.0,22.5,15.0,13.0,4.25,,,,
27,28,Alexandre Lacazette,ARS,F,6,9.25,4.25,2.25,7.6,0.0,4.1,10.25,1.5,3.5,14.75,29.85,0.0,0.0,8.0,17.85,14.35,16.25,0.0,0.0,16.75,5.5,0.0,14.35,0.5,0.0,,,,
28,29,Folarin Balogun,ARS,F,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
29,30,Reiss Nelson,ARS,F,6,0.0,15.25,10.0,0.0,0.0,5.85,1.0,0.0,0.0,1.75,0.0,4.75,0.0,0.0,0.0,0.0,0.0,3.25,6.75,0.0,0.0,1.0,3.25,0.0,0.0,,,,
30,31,Tyreece John-Jules,ARS,F,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
31,32,Bukayo Saka,ARS,"D,F",0,2.5,10.35,6.6,8.05,9.75,6.0,2.75,7.0,13.95,0.0,0.0,17.0,5.75,0.0,0.0,1.25,1.25,0.0,0.0,0.0,3.0,0.0,0.0,0.0,5.85,,,,
32,33,Jed Steer,AVL,G,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
33,34,Lovre Kalinic,AVL,G,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
34,35,Orjan Nyland,AVL,G,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.5,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
35,36,Tom Heaton,AVL,G,1,0.0,21.0,13.0,0.0,11.0,9.25,3.75,11.0,0.0,0.0,21.0,4.75,8.25,0.0,11.25,12.5,11.0,13.0,8.25,18.5,12.5,9.75,7.5,13.25,6.0,,,,
36,37,Ahmed El Mohamady,AVL,D,2,0.0,13.4,0.0,0.0,0.0,7.95,0.0,0.0,0.0,8.45,0.0,0.0,2.25,0.0,0.0,0.0,2.85,1.85,4.95,16.4,0.0,10.25,16.7,1.0,0.0,,,,
37,38,Bjorn Engels,AVL,D,2,5.2,0.0,7.05,0.0,15.5,0.0,0.0,5.25,0.0,0.0,0.0,5.3,2.4,0.0,8.35,5.15,6.0,15.6,6.65,0.0,0.0,5.45,7.15,15.15,11.3,,,,
38,39,Ezri Konsa Ngoyo,AVL,D,2,2.5,12.95,0.0,13.25,4.2,6.8,6.95,0.0,9.6,3.7,14.45,0.0,0.0,5.95,0.0,0.0,0.0,0.0,0.0,10.8,4.85,13.65,0.0,0.0,0.0,,,,
39,40,Frederic Guilbert,AVL,D,2,8.0,0.0,15.15,12.55,5.85,2.1,9.8,16.6,8.45,0.0,19.9,14.05,8.8,8.0,10.55,9.0,14.3,19.85,0.0,0.0,9.65,2.1,0.0,15.1,9.0,,,,
40,41,James Chester,AVL,D,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
41,42,Kortney Hause,AVL,D,2,5.25,19.1,7.5,13.25,0.0,6.5,8.35,0.0,9.05,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.15,,,,
42,43,Neil Taylor,AVL,D,2,0.0,0.0,0.0,0.0,0.0,0.0,2.15,0.0,0.0,2.7,0.0,0.95,5.9,3.9,7.1,0.0,0.0,12.75,6.2,0.0,0.0,0.0,5.6,14.95,0.0,,,,
43,44,Tyrone Mings,AVL,D,2,4.25,0.0,0.0,14.55,6.65,0.0,5.7,4.7,10.7,3.7,15.65,9.1,7.65,6.4,6.85,7.15,5.05,14.25,15.55,6.65,14.9,-0.6,10.95,15.75,0.0,,,,
44,45,Matt Targett,AVL,"D,M",3,7.5,16.3,6.4,16.1,14.9,12.75,0.0,25.2,11.1,0.0,22.05,16.4,0.0,3.3,0.0,3.8,9.85,0.0,0.0,6.2,18.75,5.3,0.0,0.0,5.75,,,,
45,46,Conor Hourihane,AVL,M,4,0.0,14.0,3.7,0.0,22.95,12.05,1.5,7.1,1.0,4.95,24.75,4.25,2.25,0.0,4.5,0.0,1.25,0.0,10.95,4.2,5.35,0.0,0.0,0.0,0.0,,,,
46,47,Douglas Luiz,AVL,M,4,6.0,9.1,10.0,9.35,10.75,12.35,21.0,1.6,11.5,5.85,9.35,0.0,0.0,6.25,5.55,9.1,5.95,3.25,1.85,7.8,8.55,6.6,19.2,7.45,1.85,,,,
47,48,Henri Lansbury,AVL,M,4,0.0,0.6,0.0,0.0,0.0,5.25,0.0,0.0,0.0,1.0,0.5,0.0,1.25,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,0.0,0.0,4.35,,,,
48,49,Jacob Ramsey,AVL,M,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
49,50,John McGinn,AVL,M,4,0.0,0.0,1.25,0.0,12.1,0.0,0.0,16.5,0.0,0.0,9.35,19.5,24.35,12.25,11.8,9.5,22.15,11.5,19.25,15.75,11.6,8.85,9.25,18.0,11.35,,,,
50,51,Jota,AVL,M,4,0.0,0.5,0.0,0.0,0.0,3.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,0.0,0.0,4.5,1.35,1.25,0.0,0.0,3.0,17.75,0.0,,,,
51,52,Marvelous Nakamba,AVL,M,4,4.75,7.6,11.6,7.45,11.35,0.0,8.5,6.85,5.1,3.75,0.0,13.35,8.1,8.85,0.0,10.2,11.85,11.35,0.0,13.05,0.0,3.0,0.0,0.0,10.15,,,,
52,53,Anwar El Ghazi,AVL,"M,F",5,6.0,7.7,7.25,6.5,24.35,2.25,0.0,6.0,5.5,13.5,18.0,12.85,15.6,12.25,0.0,1.0,10.75,12.35,5.75,0.0,10.75,9.0,4.75,12.75,7.5,,,,
53,54,Jack Grealish,AVL,"M,F",5,17.5,19.75,27.0,13.25,19.5,8.85,27.0,32.75,17.5,7.0,20.75,10.5,18.85,0.0,2.35,3.7,0.0,11.35,12.25,11.25,15.25,20.0,20.0,10.0,0.5,,,,
54,55,Keinan Davis,AVL,"M,F",5,12.5,0.0,0.0,0.0,0.0,0.0,0.0,3.75,0.0,0.0,0.0,2.0,0.0,0.0,5.1,2.5,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,
55,56,Trezeguet,AVL,"M,F",5,1.25,12.25,4.25,8.0,1.6,0.0,8.35,6.25,4.75,6.5,0.0,7.75,11.35,20.5,2.85,13.25,16.55,0.0,8.45,15.7,7.25,1.0,5.25,5.45,1.0,,,,
56,57,Cameron Archer,AVL,F,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
57,58,Jonathan Kodjia,AVL,F,6,0.0,0.0,1.25,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.35,0.0,2.25,0.0,0.0,0.0,0.0,0.0,1.5,,,,
58,59,Wesley,AVL,F,6,0.0,5.5,5.5,0.0,31.4,6.75,15.05,4.0,0.0,0.0,6.5,4.0,16.0,8.05,7.35,3.0,3.5,6.85,3.1,5.95,6.9,5.2,7.35,15.25,7.35,,,,
59,60,David Button,BHA,G,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
60,61,Jason Steele,BHA,G,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
61,62,Mat Ryan,BHA,G,1,10.25,8.75,5.0,6.25,17.0,15.0,9.0,15.75,8.25,13.0,16.75,16.75,20.0,21.0,6.0,12.5,11.25,3.0,17.5,11.0,12.5,10.75,7.0,6.5,9.0,,,,
62,63,Adam Webster,BHA,D,2,5.3,21.85,9.05,7.05,19.95,0.0,10.6,16.2,9.25,5.8,4.3,7.35,17.7,0.0,5.0,4.3,2.75,8.8,0.0,20.15,7.15,5.8,0.0,0.0,8.75,,,,
63,64,Alex Cochrane,BHA,D,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
64,65,Archie Davies,BHA,D,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
65,66,Bernardo,BHA,D,2,7.4,13.4,0.0,3.7,0.0,0.0,14.25,0.0,13.0,7.6,0.0,0.0,0.0,0.0,6.3,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,,,,
66,67,Dan Burn,BHA,D,2,0.0,6.45,10.6,0.0,19.45,18.15,2.5,9.5,0.0,0.0,12.65,8.5,15.0,2.85,7.2,12.4,14.5,6.0,15.1,11.35,11.25,5.1,13.55,7.5,9.9,,,,
67,68,Ezequiel Schelotto,BHA,D,2,2.55,7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
68,69,Gaetan Bong,BHA,D,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
69,70,Haydon Roberts,BHA,D,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
70,71,Leon Balogun,BHA,D,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
71,72,Lewis Dunk,BHA,D,2,5.05,0.0,9.45,10.05,19.3,15.0,14.6,6.7,5.3,10.2,0.0,7.3,15.15,14.35,1.6,8.05,20.65,7.55,22.25,6.7,19.3,5.1,12.05,7.4,6.2,,,,
72,73,Martin Montoya,BHA,D,2,6.45,0.0,5.5,0.0,13.8,16.8,9.4,6.75,1.0,5.9,6.4,10.9,14.35,-0.6,6.9,3.1,30.8,0.0,15.1,1.4,6.35,0.0,7.5,7.15,12.55,,,,
73,74,Romaric Yapi,BHA,D,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
74,75,Shane Duffy,BHA,D,2,0.0,6.65,0.0,0.0,0.0,13.2,0.0,1.9,0.0,5.55,3.8,0.0,0.0,8.45,0.0,0.0,14.9,9.8,19.5,1.1,0.0,0.0,5.6,9.8,1.25,,,,
75,76,Tudor Baluta,BHA,D,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
76,77,Warren OHora,BHA,D,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
77,78,Andrew Crofts,BHA,M,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
78,79,Billy Arce,BHA,M,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
79,80,Dale Stephens,BHA,M,4,9.6,11.85,8.25,10.6,8.75,4.25,0.0,11.35,11.6,7.6,1.35,10.8,10.7,7.95,6.85,12.6,10.0,10.45,9.7,9.65,9.0,18.1,9.65,8.5,0.0,,,,
80,81,Davy Propper,BHA,M,4,16.75,0.0,7.25,12.25,0.0,10.95,9.25,13.15,7.1,7.6,7.6,0.0,9.6,6.35,8.0,9.25,16.1,11.25,16.2,7.6,14.85,15.25,10.85,9.85,8.95,,,,
81,82,Jack Spong,BHA,M,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
82,83,Jordan Davies,BHA,M,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
83,84,Peter Gwargis,BHA,M,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
84,85,Ryan Longman,BHA,M,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
85,86,Teddy Jenks,BHA,M,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
86,87,Aaron Mooy,BHA,"M,F",5,4.1,9.1,9.5,22.9,16.75,23.0,8.0,-1.0,6.25,0.0,8.45,8.2,9.0,0.0,0.0,0.0,0.0,2.5,0.0,22.15,10.75,5.0,1.0,0.0,8.0,,,,
87,88,Jose Izquierdo,BHA,"M,F",5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
88,89,Leandro Trossard,BHA,"M,F",5,10.75,2.25,2.0,2.0,0.0,19.25,11.75,0.0,19.1,10.45,6.75,0.0,0.0,8.0,7.0,7.75,22.25,0.0,0.0,1.25,8.0,13.25,14.0,13.5,8.6,,,,
89,90,Pascal Gross,BHA,"M,F",5,19.5,17.0,2.0,2.0,12.25,0.0,0.0,23.25,3.0,5.25,0.0,7.1,6.5,9.75,1.25,11.75,7.75,13.25,9.1,5.5,8.35,6.85,11.0,3.5,17.5,,,,
90,91,Solly March,BHA,"M,F",5,6.5,0.0,0.0,3.6,0.0,0.0,0.0,3.1,0.0,0.0,5.75,0.0,0.0,3.1,5.25,0.0,0.0,20.7,10.25,0.0,0.0,0.0,11.7,11.6,0.0,,,,
91,92,Steven Alzate,BHA,"M,F",5,0.0,11.7,0.0,9.45,7.5,3.1,9.45,2.5,7.25,4.5,0.0,5.6,7.0,12.85,0.0,10.5,14.5,0.0,0.0,7.7,4.5,9.6,0.0,0.0,1.5,,,,
92,93,Taylor Richards,BHA,"M,F",5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
93,94,Yves Bissouma,BHA,"M,F",5,0.0,3.75,3.0,0.0,2.25,15.8,2.25,0.0,0.0,0.0,1.0,4.85,2.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.75,0.0,0.0,0.0,11.75,,,,
94,95,Aaron Connolly,BHA,F,6,0.0,2.5,2.5,0.0,26.75,0.0,3.5,5.2,3.5,0.0,0.0,1.5,3.75,2.75,1.25,11.0,5.0,2.5,0.0,5.5,4.35,0.0,0.0,0.0,0.0,,,,
95,96,Alireza Jahanbakhsh,BHA,F,6,0.0,0.0,0.0,6.75,0.0,17.25,14.5,0.0,0.0,2.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,,,
96,97,Bojan Radulovic Samoukovic,BHA,F,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
97,98,Glenn Murray,BHA,F,6,15.95,0.0,2.5,0.0,0.5,2.0,0.0,0.0,1.0,2.75,1.0,0.0,0.0,1.5,1.25,1.6,0.0,5.05,3.25,0.0,0.0,0.75,4.25,2.25,0.0,,,,
98,99,Neal Maupay,BHA,F,6,0.0,1.25,4.0,11.75,18.5,15.25,3.75,8.85,10.5,4.25,4.5,3.25,5.25,3.5,4.5,17.25,7.25,12.5,12.0,16.05,1.0,19.25,3.25,6.25,13.35,,,,
99,100,Aaron Ramsdale,BOU,G,1,11.25,5.0,6.75,17.25,5.0,11.75,7.5,13.0,9.5,0.0,13.25,11.75,19.0,17.75,6.0,17.5,19.5,11.75,7.0,5.5,6.25,15.5,17.0,6.0,21.5,,,,
100,101,Artur Boruc,BOU,G,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
101,102,Asmir Begovic,BOU,G,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
102,103,Mark Travers,BOU,G,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
103,104,William Dennis,BOU,G,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
104,105,Adam Smith,BOU,D,2,7.05,0.0,0.0,8.4,0.0,0.0,0.0,14.35,10.65,6.6,4.3,0.0,0.0,7.65,8.35,17.3,21.65,0.0,2.9,11.65,0.0,0.0,7.2,3.0,0.0,,,,
105,106,Brad Smith,BOU,D,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
106,107,Brennan Camp,BOU,D,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
107,108,Charlie Daniels,BOU,D,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.85,0.8,0.0,,,,
108,109,Chris Mepham,BOU,D,2,0.0,4.5,9.15,0.0,0.0,7.55,8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.9,0.0,0.0,0.5,17.65,10.05,0.0,5.25,0.0,7.6,15.65,,,,
