GW,HOME,AWAY,HOME538,AWAY538,FIXTURE_CODE,HOME_SCORE,AWAY_SCORE
13,BRF,EVE,41,33,BRFEVE,1,0
13,CHE,MUN,61,17,CHEMUN,1,1
14,NEW,NOR,48,26,NEWNOR,1,1
14,LEE,CRY,42,31,LEECRY,1,0
14,WHU,BHA,50,24,WHUBHA,1,1
14,SOU,LEI,40,35,SOULEI,2,2
14,WOL,BUR,45,28,WOLBUR,0,0
14,WAT,CHE,12,69,WATCHE,1,2
14,AVL,MCI,11,73,AVLMCI,1,2
14,EVE,LIV,13,71,EVELIV,1,4
14,TOT,BRF,47,27,TOTBRF,2,0
14,MUN,ARS,45,30,MUNARS,3,2
15,WHU,CHE,25,50,WHUCHE,3,2
15,NEW,BUR,36,39,NEWBUR,1,0
15,SOU,BHA,34,37,SOUBHA,1,1
15,WOL,LIV,11,71,WOLLIV,0,1
15,WAT,MCI,8,77,WATMCI,1,3
15,MUN,CRY,57,20,MUNCRY,1,0
15,TOT,NOR,58,18,TOTNOR,3,0
15,LEE,BRF,46,28,LEEBRF,2,2
15,AVL,LEI,43,33,AVLLEI,2,1
15,EVE,ARS,32,41,EVEARS,2,1
16,BRF,WAT,45,29,BRFWAT,2,1
16,MCI,WOL,82,4,MCIWOL,1,0
16,CHE,LEE,69,11,CHELEE,3,2
16,LIV,AVL,79,8,LIVAVL,1,0
16,ARS,SOU,51,23,ARSSOU,3,0
16,NOR,MUN,20,57,NORMUN,0,1
16,BUR,WHU,27,48,BURWHU,0,0
16,LEI,NEW,53,24,LEINEW,4,0
16,CRY,EVE,42,31,CRYEVE,3,1
17,NOR,AVL,29,44,NORAVL,0,2
17,MCI,LEE,81,6,MCILEE,7,0
17,CRY,SOU,44,29,CRYSOU,2,2
17,BHA,WOL,48,22,BHAWOL,0,1
17,ARS,WHU,41,33,ARSWHU,2,0
17,CHE,EVE,70,11,CHEEVE,1,1
17,LIV,NEW,86,4,LIVNEW,3,1
18,LEE,ARS,28,46,LEEARS,1,4
18,WOL,CHE,19,57,WOLCHE,0,0
18,NEW,MCI,6,82,NEWMCI,0,4
18,TOT,LIV,14,68,TOTLIV,2,2
19,TOT,CRY,49,26,TOTCRY,3,0
19,MCI,LEI,82,6,MCILEI,6,3
19,WHU,SOU,53,22,WHUSOU,2,3
19,NOR,ARS,16,61,NORARS,0,5
19,AVL,CHE,21,55,AVLCHE,1,3
19,BHA,BRF,49,24,BHABRF,2,0
19,NEW,MUN,21,56,NEWMUN,1,1
20,CRY,NOR,56,18,CRYNOR,3,0
20,SOU,TOT,29,46,SOUTOT,1,1
20,WAT,WHU,31,44,WATWHU,1,4
20,LEI,LIV,15,68,LEILIV,1,0
20,CHE,BHA,63,14,CHEBHA,1,1
20,BRF,MCI,8,77,BRFMCI,0,1
20,MUN,BUR,58,19,MUNBUR,3,1
21,ARS,MCI,22,55,ARSMCI,1,2
21,WAT,TOT,25,52,WATTOT,0,1
21,CRY,WHU,32,42,CRYWHU,2,3
21,EVE,BHA,34,38,EVEBHA,2,3
21,LEE,BUR,44,30,LEEBUR,3,1
21,BRF,AVL,38,35,BRFAVL,2,1
21,CHE,LIV,33,44,CHELIV,2,2
21,MUN,WOL,55,19,MUNWOL,0,1
21,SOU,BRF,42,31,SOUBRF,4,1
21,WHU,NOR,67,13,WHUNOR,2,0
22,BHA,CRY,49,25,BHACRY,1,1
22,MCI,CHE,59,19,MCICHE,1,0
22,NEW,WAT,40,34,NEWWAT,1,1
22,WOL,SOU,44,26,WOLSOU,3,1
22,NOR,EVE,26,48,NOREVE,2,1
22,AVL,MUN,34,40,AVLMUN,2,2
22,LIV,BRF,81,6,LIVBRF,3,0
22,WHU,LEE,54,23,WHULEE,2,3
22,BHA,CHE,25,49,BHACHE,1,1
22,LEI,TOT,32,44,LEITOT,2,3
22,BRF,MUN,29,45,BRFMUN,1,3
23,WAT,NOR,51,23,WATNOR,0,3
23,EVE,AVL,38,37,EVEAVL,0,1
23,MUN,WHU,44,32,MUNWHU,1,0
23,LEE,NEW,51,24,LEENEW,0,1
23,BRF,WOL,35,35,BRFWOL,1,2
23,SOU,MCI,9,75,SOUMCI,1,1
23,ARS,BUR,64,14,ARSBUR,0,0
23,CRY,LIV,12,71,CRYLIV,1,3
23,LEI,BHA,37,38,LEIBHA,1,1
23,CHE,TOT,50,25,CHETOT,2,0
23,BUR,WAT,48,27,BURWAT,0,0
24,NEW,EVE,35,38,NEWEVE,3,1
24,WHU,WAT,56,21,WHUWAT,1,0
24,BUR,MUN,28,46,BURMUN,1,1
24,TOT,SOU,62,16,TOTSOU,2,3
24,MCI,BRF,84,4,MCIBRF,2,0
24,NOR,CRY,28,45,NORCRY,1,1
24,AVL,LEE,47,28,AVLLEE,3,3
24,LIV,LEI,77,10,LIVLEI,2,0
24,WOL,ARS,25,45,WOLARS,0,1
25,MUN,SOU,55,22,MUNSOU,1,1
25,EVE,LEE,42,34,EVELEE,3,0
25,WAT,BHA,27,45,WATBHA,0,2
25,BRF,CRY,39,34,BRFCRY,0,0
25,NOR,MCI,5,81,NORMCI,0,4
25,TOT,WOL,54,20,TOTWOL,0,2
25,NEW,AVL,35,39,NEWAVL,1,0
25,BUR,LIV,11,73,BURLIV,0,1
25,LEI,WHU,38,38,LEIWHU,2,2
25,MUN,BHA,44,29,MUNBHA,2,0
26,WHU,NEW,54,22,WHUNEW,1,1
26,ARS,BRF,64,14,ARSBRF,2,1
26,AVL,WAT,54,21,AVLWAT,0,1
26,BHA,BUR,52,21,BHABUR,0,3
26,CRY,CHE,20,57,CRYCHE,0,1
26,LIV,NOR,88,3,LIVNOR,3,1
26,SOU,EVE,43,32,SOUEVE,2,0
26,MCI,TOT,74,10,MCITOT,2,3
26,LEE,MUN,28,48,LEEMUN,2,4
26,WOL,LEI,43,30,WOLLEI,2,1
26,BUR,TOT,29,45,BURTOT,1,0
26,WAT,CRY,34,38,WATCRY,1,4
26,LIV,LEE,81,7,LIVLEE,6,0
26,ARS,WOL,56,17,ARSWOL,2,1
